,gene,gencodeId,tissue,age,gender,TPMs
0,HSPA1B,ENSG00000204388.6,Liver,20-29,male,"[16.28, 4.961, 660.1, 837.1]"
1,HSPA1B,ENSG00000204388.6,Liver,20-29,female,"[156.0, 5.54, 383.7]"
2,HSPA1B,ENSG00000204388.6,Liver,30-39,male,"[5.786, 53.97, 110.0, 22.86, 404.4, 171.1, 336.7, 47.27, 56.36, 153.4, 22.8, 158.1, 51.07, 35.7]"
3,HSPA1B,ENSG00000204388.6,Liver,30-39,female,"[5.003, 26.37, 11.57]"
4,HSPA1B,ENSG00000204388.6,Liver,40-49,male,"[6.992, 153.1, 94.69, 4.464, 30.86, 266.0, 9.79, 90.15, 57.86, 156.1, 78.33, 0.943, 46.88, 76.38, 12.94, 76.18, 3.405, 113.7, 4.883, 8.096, 4.851, 12.82, 51.72, 4.85]"
5,HSPA1B,ENSG00000204388.6,Liver,40-49,female,"[19.15, 34.8, 43.55, 29.9, 213.5, 50.88, 231.7, 518.9, 143.4, 9.46, 510.7]"
6,HSPA1B,ENSG00000204388.6,Liver,50-59,male,"[7.325, 231.0, 231.0, 29.97, 6.709, 171.8, 847.4, 13.56, 90.06, 281.5, 327.1, 312.7, 184.2, 115.5, 115.5, 14.14, 122.0, 202.1, 62.14, 72.49, 143.8, 75.21, 63.31, 5.906, 321.7, 58.4, 10.67, 238.0, 378.4, 13.72, 80.03, 42.26, 56.49, 116.8, 318.2, 64.99, 272.0, 29.37, 82.63, 130.0, 179.9, 500.1, 182.6, 66.83, 8.564, 55.25, 30.1, 7.361, 150.6, 460.4, 6.845, 78.88, 19.64, 83.45, 3.669, 80.47, 205.6, 119.9, 29.98, 79.48, 20.04, 4.344]"
7,HSPA1B,ENSG00000204388.6,Liver,50-59,female,"[267.9, 6.015, 248.2, 14.83, 231.0, 231.0, 55.54, 72.37, 490.9, 108.6, 86.88, 5.807, 115.5, 115.5, 46.25, 29.51, 10.82, 46.61, 258.4, 86.96, 230.5, 23.16, 23.42, 367.6, 6.519]"
8,HSPA1B,ENSG00000204388.6,Liver,60-69,male,"[62.51, 252.7, 146.4, 9.412, 264.7, 424.6, 7.159, 71.89, 67.66, 73.73, 172.0, 221.9, 200.4, 78.75, 101.7, 61.43, 86.54, 34.27, 205.2, 338.4, 56.89, 86.83, 11.66, 358.8, 9.014, 418.0, 12.89, 104.1, 188.3, 2.315, 39.33, 20.98, 147.7, 155.9, 120.5, 100.0, 267.6, 267.6, 59.83, 183.0, 202.9, 207.3, 375.2, 29.17, 112.1, 78.18, 65.95, 13.91, 40.33, 12.05, 45.58, 5.56, 45.16, 341.7, 11.76, 147.5, 118.4]"
9,HSPA1B,ENSG00000204388.6,Liver,60-69,female,"[304.0, 209.3, 267.6, 267.6, 168.5, 3.056, 110.8, 13.35, 7.85, 307.0, 7.54, 156.5, 5.815, 318.5, 170.5, 9.406, 484.9, 29.73, 10.11, 18.85, 309.1, 3.012, 279.5, 294.0]"
10,HSPA1B,ENSG00000204388.6,Liver,70-79,male,"[152.0, 129.4, 103.2]"
11,HSPA1B,ENSG00000204388.6,Liver,70-79,female,"[90.69, 11.02]"
