,gene,gencodeId,tissue,age,gender,TPMs
0,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,20-29,male,"[152.2, 114.4, 179.0, 162.3]"
1,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,20-29,female,[152.2]
2,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,30-39,male,"[165.7, 213.3, 132.7]"
3,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,30-39,female,"[98.39, 113.3]"
4,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,40-49,male,"[112.6, 125.4, 123.8, 15.14, 110.4, 112.6, 241.0, 124.3, 249.2, 156.5, 152.4, 100.9, 93.59]"
5,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,40-49,female,"[113.6, 159.0, 92.98, 77.99, 110.4]"
6,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,50-59,male,"[188.3, 78.79, 105.5, 57.98, 51.44, 161.5, 159.2, 120.4, 80.64, 84.39, 158.2, 64.83, 162.5, 134.5, 74.21, 72.51, 96.01, 95.01, 70.33, 53.89, 126.7, 105.6, 116.5, 131.2, 50.96, 67.81, 26.24, 120.9, 120.9, 59.68, 49.28, 65.59, 67.55, 223.4, 38.72, 49.28, 164.8, 170.3, 101.5, 27.07, 249.5, 123.9, 126.8, 52.6, 192.4, 237.1, 118.6]"
7,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,50-59,female,"[117.8, 32.04, 152.6, 106.1, 96.09, 88.43, 65.36, 166.2, 143.6, 129.7, 100.7, 41.88, 95.5, 120.9, 120.9, 145.0]"
8,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,60-69,male,"[135.9, 71.76, 37.07, 112.6, 90.68, 75.29, 94.47, 81.7, 54.29, 125.9, 43.06, 98.47, 162.9, 89.75, 127.8, 93.73, 57.13, 39.47, 62.46, 121.6, 88.32, 79.67, 18.83, 41.43, 106.9, 201.5, 104.6, 60.04, 122.9, 83.32, 76.67, 51.13, 119.6, 159.3, 77.45, 65.85, 136.9, 147.0, 57.25, 196.8, 168.5, 72.22, 47.79, 97.46, 126.1, 49.28, 110.4, 97.25, 142.7, 93.19, 30.42, 79.39, 180.6, 153.1, 112.6, 32.95, 152.2, 94.44, 49.28, 85.03, 107.1, 79.48, 61.08, 68.03, 163.2, 133.8, 109.7, 122.4, 58.66, 108.7, 25.06, 151.3, 137.2, 55.64, 66.88, 95.66, 43.67, 50.41]"
9,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,60-69,female,"[35.46, 96.45, 105.1, 53.0, 50.32, 79.27, 115.9, 45.15, 186.4, 150.0, 62.5, 66.08, 152.2, 46.73, 49.45, 101.3, 80.11, 82.52, 73.07, 50.42, 82.94, 138.7, 53.13, 131.5, 100.4, 203.6, 120.6, 301.8, 110.4, 73.97, 64.27]"
10,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,70-79,male,"[105.3, 157.7, 89.92, 120.7, 64.62, 66.25, 138.6, 90.97, 136.2]"
11,HSPA9,ENSG00000113013.12,Brain_Hypothalamus,70-79,female,"[102.4, 89.07, 27.33]"
