,gene,gencodeId,tissue,age,gender,TPMs
0,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[21.52]
1,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[20.76, 21.06, 32.36]"
2,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[29.56, 22.76, 27.52]"
3,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[17.69]
4,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[18.81, 15.38, 5.743, 13.35, 20.56, 23.76, 6.526, 21.12, 4.931, 28.42, 18.81, 12.45, 28.34, 20.98, 25.75, 32.43, 32.43, 25.82, 23.17]"
5,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[10.96, 20.23, 21.84, 11.34, 21.65, 30.88, 33.28]"
6,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[23.22, 13.58, 23.64, 17.3, 5.458, 14.04, 30.78, 13.65, 15.13, 25.57, 19.27, 15.13, 10.53, 11.14, 23.97, 22.45, 18.45, 14.92, 12.35, 32.05, 10.99, 27.75, 24.47, 14.76, 17.3, 14.5, 12.1, 22.1, 24.41, 10.9, 22.0, 32.43, 32.43, 28.49, 19.27, 26.68]"
7,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[4.861, 25.89, 23.32, 22.31, 15.4, 12.35, 26.53, 23.61, 15.13, 22.51, 29.17]"
8,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[18.81, 24.59, 8.457, 21.24, 18.79, 8.585, 23.87, 17.24, 16.01, 18.34, 15.13, 15.13, 11.31, 23.34, 24.8, 24.8, 19.27, 15.13, 15.13, 17.11, 22.09, 18.68, 10.6, 12.35, 6.217, 25.51, 16.27, 30.94, 9.492, 7.835, 15.73, 24.07, 25.84, 17.25, 14.3, 26.33, 14.3, 5.393, 25.7, 8.792, 16.36, 17.77, 21.46, 20.37, 16.01, 13.15, 21.49, 9.97, 6.654, 13.37, 21.3, 18.81, 10.28, 27.62, 13.6, 16.28, 25.17, 21.87, 14.65, 25.94, 26.44, 16.29, 20.59, 14.09, 24.12, 7.063, 27.89, 16.24, 21.14, 19.27, 21.18, 15.98, 10.84]"
9,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[11.87, 9.168, 10.14, 28.55, 17.22, 7.449, 20.12, 15.49, 24.93, 20.06, 28.82, 14.21, 16.29, 7.934, 12.35, 22.56, 22.56, 15.13, 15.13, 6.076, 13.41, 6.639, 18.64, 22.56, 22.56, 13.59, 24.8, 24.8, 32.29, 8.164, 16.7]"
10,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[17.3, 16.01, 6.93, 24.05, 18.61, 12.96, 6.844, 13.22, 5.943, 17.3, 14.3, 14.3, 16.01, 28.24, 16.29]"
11,HTRA2,ENSG00000115317.11,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[16.29, 21.36]"
