,gene,gencodeId,tissue,age,gender,TPMs
0,IGFBP2,ENSG00000115457.9,Kidney_Medulla,20-29,male,"[191.5, 206.0]"
1,IGFBP2,ENSG00000115457.9,Kidney_Medulla,20-29,female,[]
2,IGFBP2,ENSG00000115457.9,Kidney_Medulla,30-39,male,[]
3,IGFBP2,ENSG00000115457.9,Kidney_Medulla,30-39,female,[]
4,IGFBP2,ENSG00000115457.9,Kidney_Medulla,40-49,male,[]
5,IGFBP2,ENSG00000115457.9,Kidney_Medulla,40-49,female,[]
6,IGFBP2,ENSG00000115457.9,Kidney_Medulla,50-59,male,[88.53]
7,IGFBP2,ENSG00000115457.9,Kidney_Medulla,50-59,female,[73.99]
8,IGFBP2,ENSG00000115457.9,Kidney_Medulla,60-69,male,[]
9,IGFBP2,ENSG00000115457.9,Kidney_Medulla,60-69,female,[]
10,IGFBP2,ENSG00000115457.9,Kidney_Medulla,70-79,male,[]
11,IGFBP2,ENSG00000115457.9,Kidney_Medulla,70-79,female,[]
