,gene,gencodeId,tissue,age,gender,TPMs
0,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,20-29,male,"[0.3372, 0.7328, 0.5169, 1.191]"
1,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,20-29,female,[5.797]
2,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,30-39,male,"[1.385, 0.7014, 0.7293]"
3,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,30-39,female,"[0.5762, 10.0]"
4,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,40-49,male,"[0.6021, 0.3917, 0.5183, 11.9, 0.5423, 10.52, 2.649, 1.466, 7.044, 2.031, 28.82, 0.7865, 8.817, 1.65]"
5,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,40-49,female,"[0.7613, 2.706, 7.004, 1.259, 0.4369]"
6,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,50-59,male,"[0.9773, 0.7885, 0.5478, 0.3634, 0.7601, 0.8989, 3.852, 0.3827, 0.3519, 1.136, 1.332, 0.9868, 1.973, 0.3695, 1.848, 0.8971, 1.572, 0.4374, 0.5973, 0.5678, 1.54, 0.8468, 1.281, 2.889, 0.833, 3.558, 4.665, 0.619, 3.659, 1.224, 0.3359, 0.1794, 0.2535, 3.269, 0.8654, 1.314, 9.186, 0.7725, 3.271, 0.4275, 3.809, 1.795, 0.4743, 0.2497, 0.4151, 0.1351, 3.275, 11.67, 1.482, 1.066, 2.556, 0.833, 9.449, 2.168]"
7,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,50-59,female,"[0.9477, 2.993, 2.191, 1.646, 3.268, 24.06, 4.785, 16.05, 1.615, 1.427, 0.6016, 3.838, 0.2787, 0.4225]"
8,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,60-69,male,"[0.2865, 1.655, 0.4804, 0.6427, 0.5147, 0.6483, 4.377, 3.713, 1.326, 0.6934, 18.57, 0.4459, 0.7988, 0.9904, 2.224, 3.765, 1.355, 3.365, 5.256, 0.6858, 0.9897, 27.7, 6.388, 3.509, 7.757, 0.5683, 3.366, 0.7114, 7.328, 0.833, 3.93, 0.9543, 4.332, 1.963, 5.781, 3.116, 1.69, 5.137, 1.62, 0.8474, 8.338, 0.1492, 0.6958, 0.5181, 0.8791, 0.4336, 0.4805, 0.2239, 0.5489, 1.879, 1.608, 1.608, 13.39, 1.809, 0.8391, 0.9891, 3.686, 0.9609, 3.42, 9.466, 6.548, 1.187, 1.949, 1.761, 1.631, 2.74, 1.607, 1.634, 0.6981, 0.833, 2.488, 0.5256, 0.4642, 0.9963, 0.6253, 3.55, 2.483]"
9,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,60-69,female,"[0.6372, 1.608, 1.608, 1.719, 1.067, 4.957, 25.09, 6.323, 1.262, 1.026, 2.276, 1.494, 23.25, 8.36, 2.815, 3.715, 12.77, 1.004, 8.06, 22.16, 20.42, 2.112, 4.979, 6.616, 1.437, 3.992]"
10,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,70-79,male,"[1.361, 1.138, 2.14, 2.469, 3.489, 12.33, 1.068]"
11,IGFBP3,ENSG00000146674.14,Brain_Putamen_basal_ganglia,70-79,female,"[1.744, 1.051]"
