,gene,gencodeId,tissue,age,gender,TPMs
0,IGFBP3,ENSG00000146674.14,Liver,20-29,male,"[47.88, 77.89, 70.32, 144.7]"
1,IGFBP3,ENSG00000146674.14,Liver,20-29,female,"[159.7, 112.3, 464.3]"
2,IGFBP3,ENSG00000146674.14,Liver,30-39,male,"[96.7, 89.06, 291.7, 156.0, 192.8, 131.3, 405.4, 34.92, 116.2, 131.3, 26.41, 180.9, 187.7, 68.49, 149.0]"
3,IGFBP3,ENSG00000146674.14,Liver,30-39,female,"[60.54, 81.9, 143.7]"
4,IGFBP3,ENSG00000146674.14,Liver,40-49,male,"[111.8, 373.6, 309.2, 176.6, 108.7, 206.1, 124.9, 138.2, 204.1, 100.1, 272.3, 37.05, 234.9, 121.8, 168.0, 175.0, 125.4, 74.03, 69.6, 74.16, 220.6, 30.32, 67.09, 473.4, 94.11]"
5,IGFBP3,ENSG00000146674.14,Liver,40-49,female,"[200.3, 69.69, 138.6, 74.03, 251.3, 91.92, 160.1, 174.0, 345.5, 122.6, 78.19]"
6,IGFBP3,ENSG00000146674.14,Liver,50-59,male,"[227.0, 102.4, 152.6, 610.0, 25.79, 222.2, 179.0, 188.9, 120.9, 279.1, 169.6, 313.7, 141.3, 229.4, 108.4, 244.9, 329.6, 156.6, 138.1, 182.5, 56.13, 68.41, 95.1, 32.48, 85.56, 196.4, 297.8, 67.66, 84.36, 253.8, 139.0, 119.2, 359.3, 252.8, 352.8, 125.6, 51.43, 94.38, 394.5, 164.5, 323.1, 134.5, 94.58, 32.38, 202.4, 160.6, 90.84, 157.2, 334.9, 130.9, 117.5, 64.73, 166.3, 99.06, 142.1, 226.1, 190.9, 96.43, 150.0, 105.1, 63.11]"
7,IGFBP3,ENSG00000146674.14,Liver,50-59,female,"[189.5, 179.6, 30.47, 116.1, 296.5, 143.2, 202.4, 46.28, 314.5, 106.6, 114.5, 81.13, 235.6, 124.2, 213.4, 115.2, 37.55, 88.94, 206.0, 286.9, 166.2, 65.67, 213.4, 152.6, 72.78]"
8,IGFBP3,ENSG00000146674.14,Liver,60-69,male,"[197.0, 152.6, 469.1, 116.0, 236.8, 191.6, 85.38, 107.5, 146.4, 117.6, 412.9, 148.0, 133.9, 67.83, 145.9, 95.58, 142.6, 59.91, 122.5, 206.2, 355.6, 96.25, 131.3, 312.5, 206.3, 349.0, 143.1, 127.5, 194.9, 100.2, 162.4, 96.61, 90.05, 156.4, 342.1, 176.5, 92.62, 252.6, 366.3, 84.57, 203.3, 201.6, 95.29, 265.8, 182.1, 131.3, 298.1, 59.67, 155.8, 163.9, 202.4, 186.8, 79.02, 231.4, 827.3, 74.03, 85.2, 280.3]"
9,IGFBP3,ENSG00000146674.14,Liver,60-69,female,"[338.4, 331.2, 416.9, 252.4, 58.77, 196.3, 63.02, 44.69, 30.69, 202.4, 235.4, 45.76, 485.3, 74.03, 213.4, 98.57, 79.47, 131.9, 170.8, 43.45, 163.7, 108.9, 213.4, 388.0, 152.6, 592.0]"
10,IGFBP3,ENSG00000146674.14,Liver,70-79,male,"[327.3, 39.97, 113.0]"
11,IGFBP3,ENSG00000146674.14,Liver,70-79,female,"[106.5, 76.45]"
