,gene,gencodeId,tissue,age,gender,TPMs
0,IL2RG,ENSG00000147168.12,Spleen,20-29,male,"[267.6, 101.5, 234.1, 141.8, 246.9, 137.8, 140.4, 195.8, 231.0, 126.7, 198.1, 269.7, 166.9, 173.8]"
1,IL2RG,ENSG00000147168.12,Spleen,20-29,female,"[107.4, 177.5, 140.4, 234.1, 146.1, 137.6, 161.9, 183.5, 146.1, 155.9, 209.7]"
2,IL2RG,ENSG00000147168.12,Spleen,30-39,male,"[132.6, 182.7, 129.6, 202.9, 116.2, 142.9, 190.1, 113.6, 113.6, 125.6, 225.8, 194.4, 51.38, 152.0, 151.7, 139.0, 216.0, 227.7, 120.1, 200.9, 165.7, 208.7]"
3,IL2RG,ENSG00000147168.12,Spleen,30-39,female,"[236.1, 180.8, 202.9, 185.6, 113.6, 113.6, 142.9, 114.9, 184.8, 79.7, 90.43, 184.8, 220.5]"
4,IL2RG,ENSG00000147168.12,Spleen,40-49,male,"[154.7, 163.3, 338.8, 142.9, 168.4, 121.7, 254.8, 207.0, 111.0, 146.7, 94.9, 136.7, 119.0, 206.4, 319.4, 164.8, 202.2, 162.7, 193.2, 186.0, 143.2, 215.5, 266.0, 259.1, 130.6, 162.1, 155.3, 167.7, 152.7, 210.7]"
5,IL2RG,ENSG00000147168.12,Spleen,40-49,female,"[165.1, 217.8, 150.0, 127.6, 159.2, 172.1, 175.3, 129.5, 142.9, 153.4, 333.3, 210.0, 118.9, 172.5, 288.0, 130.1, 118.9, 181.6, 168.4, 135.4, 178.1, 208.4]"
6,IL2RG,ENSG00000147168.12,Spleen,50-59,male,"[149.5, 119.7, 145.2, 310.6, 132.0, 202.9, 166.4, 172.2, 256.2, 154.8, 173.1, 168.4, 109.2, 105.8, 163.0, 168.6, 152.6, 245.9, 157.0, 222.1, 259.4, 259.4, 89.52, 155.5, 131.4, 252.3, 158.0, 162.6, 131.8, 285.5, 145.4, 169.7, 105.8, 173.9, 173.9, 119.2, 168.6, 163.1, 213.8, 146.0, 191.1, 128.1, 290.4, 156.1, 193.6, 193.6, 117.8, 247.8, 173.9, 173.9, 159.6, 133.8, 265.5, 221.1, 224.4, 132.0, 135.5, 183.4, 104.4, 180.6, 260.5, 169.1, 220.0, 147.8, 193.6, 193.6, 112.9, 191.0, 175.6, 128.1]"
7,IL2RG,ENSG00000147168.12,Spleen,50-59,female,"[226.3, 132.3, 202.9, 259.4, 259.4, 146.0, 185.4, 153.7, 210.2, 100.6, 184.2, 164.0, 110.3, 194.8, 320.3, 160.0, 255.0, 146.1, 204.3, 146.1, 118.9, 183.3, 184.6, 180.3, 113.5, 118.6, 118.9, 168.4, 104.4, 175.7, 118.4, 179.5]"
8,IL2RG,ENSG00000147168.12,Spleen,60-69,male,"[93.7, 140.9, 132.0, 180.2, 129.9, 234.1, 168.6, 152.1, 271.0, 161.5, 190.4, 209.4, 142.3, 183.7, 133.2, 149.0, 207.7, 140.4, 168.6, 98.4, 157.4, 124.3, 146.0, 172.8, 128.1, 239.5, 216.8, 130.5, 148.9, 140.7, 223.9, 132.0, 104.4, 163.7, 128.1]"
9,IL2RG,ENSG00000147168.12,Spleen,60-69,female,"[180.9, 181.4, 143.6, 322.8, 189.1, 146.0, 150.9, 236.2, 174.2, 140.4, 184.9, 84.08, 271.9, 234.1, 145.3, 116.1, 157.3, 184.8, 184.8, 273.3, 104.4, 149.9, 153.3]"
10,IL2RG,ENSG00000147168.12,Spleen,70-79,male,"[161.0, 105.8, 105.8, 80.06]"
11,IL2RG,ENSG00000147168.12,Spleen,70-79,female,[243.2]
