,gene,gencodeId,tissue,age,gender,TPMs
0,IL7,ENSG00000104432.13,Heart_Left_Ventricle,20-29,male,"[0.1003, 0.05761, 0.1441, 0.1995, 0.1446, 0.1027, 0.1734, 0.07307, 0.1071, 0.06598, 0.1303, 0.04579]"
1,IL7,ENSG00000104432.13,Heart_Left_Ventricle,20-29,female,"[0.2252, 0.06712, 0.3396, 0.1091, 0.05079, 0.1766, 0.09105, 0.1009, 0.1512, 0.5168]"
2,IL7,ENSG00000104432.13,Heart_Left_Ventricle,30-39,male,"[0.06549, 0.1445, 0.2143, 0.07985, 0.08992, 0.06767, 0.2226, 0.111, 0.1844, 0.1914, 0.1196, 0.2733, 0.1163, 0.119, 0.2795, 0.02895, 0.1029]"
3,IL7,ENSG00000104432.13,Heart_Left_Ventricle,30-39,female,"[0.1134, 0.04439, 0.08312, 0.06669, 0.137, 0.1358, 0.1038, 0.05503, 0.2882]"
4,IL7,ENSG00000104432.13,Heart_Left_Ventricle,40-49,male,"[0.0756, 0.03413, 0.1162, 0.06914, 0.02226, 0.02597, 0.1195, 0.04599, 0.0, 0.1022, 0.1405, 0.0, 0.1281, 0.09776, 0.09836, 0.0, 0.0, 0.08198, 0.09519, 0.2633, 0.01877, 0.1349, 0.05744, 0.0, 0.00951, 0.04342, 0.04592, 0.0, 1.52, 0.0606, 0.06497, 0.3156, 0.03628, 0.2688, 0.1464, 0.01975, 0.109, 0.0431, 0.2561, 0.1477, 0.02453, 0.07566, 0.1679, 0.145, 0.0136, 0.05279, 0.3625, 0.03443, 0.1863, 0.01719, 0.0]"
5,IL7,ENSG00000104432.13,Heart_Left_Ventricle,40-49,female,"[0.0, 0.0, 0.2045, 0.1156, 0.0, 0.1642, 0.3546, 0.0, 0.07917, 0.051, 0.7224, 0.2633, 0.3622, 0.07839, 0.1721, 0.0851, 0.0, 0.07403, 0.0, 0.1192, 0.1156, 0.03196, 0.2402, 0.02827, 0.05702, 0.192, 0.0749, 0.0558, 0.07801]"
6,IL7,ENSG00000104432.13,Heart_Left_Ventricle,50-59,male,"[0.1128, 0.02729, 0.1082, 0.3162, 0.4233, 0.2791, 0.2439, 0.0504, 0.1858, 0.1282, 0.1867, 0.06229, 0.09782, 0.1869, 0.1661, 0.05366, 0.03986, 0.02583, 0.01743, 0.2237, 0.0, 0.0, 0.0, 0.0, 0.4065, 0.1695, 0.0, 0.0, 0.0, 0.0, 0.1114, 0.1178, 0.05119, 0.1024, 0.03198, 0.3062, 0.09821, 0.6641, 0.1976, 0.1976, 0.08949, 0.05523, 0.0, 0.0, 0.0, 0.0, 0.0695, 0.07407, 0.08559, 0.1401, 0.04405, 0.0, 0.0, 0.0, 0.0, 0.06498, 0.0151, 0.1976, 0.1976, 0.00979, 0.04912, 0.03338, 0.03703, 0.7867, 0.12, 0.06032, 0.05364, 0.09595, 0.0334, 0.2138, 0.2989, 0.1178, 0.0, 0.0, 0.0, 0.0, 0.1535, 0.03838, 0.02351, 0.1765, 0.09793, 0.0849, 0.0, 0.0, 0.0, 0.0, 0.1909, 0.241, 0.06242, 0.2348, 0.03446, 0.05471, 0.3541, 0.05443, 0.1725, 0.05418, 0.09377, 0.06392, 0.09638, 0.1131, 0.1707, 0.05608, 0.07324, 0.2378, 0.1424, 0.03147, 0.1297, 0.1689, 0.2957, 0.01861, 0.09845, 0.2501, 0.1214, 0.06457, 0.1381, 0.06648, 0.157, 0.03608, 0.02924, 0.0957, 0.08613, 0.02548, 0.09947, 0.01512, 0.05063, 0.1123, 0.105, 0.07693, 0.1277, 0.06672, 0.05859, 0.1012, 0.0, 0.0, 0.0, 0.0]"
7,IL7,ENSG00000104432.13,Heart_Left_Ventricle,50-59,female,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1365, 0.176, 0.1392, 0.02749, 0.1705, 0.06963, 0.03745, 0.05435, 0.1069, 0.0, 0.0, 0.0, 0.0, 0.1176, 0.03163, 0.1692, 0.0, 0.0, 0.0, 0.0, 0.04104, 0.6222, 0.044, 0.1518, 0.06649, 0.1676, 0.1395, 0.1187, 0.0298, 0.04371, 0.4107, 0.06594, 0.2446, 0.2546, 0.08065, 0.05842, 0.1726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3715, 0.2816, 0.1363, 0.2085, 0.03718, 0.06863, 0.1452, 0.07141, 0.1539, 0.0995, 0.1597, 0.2455, 0.1298, 0.06036, 0.03936, 0.1178, 0.1474]"
8,IL7,ENSG00000104432.13,Heart_Left_Ventricle,60-69,male,"[0.2858, 0.07493, 0.05755, 0.05755, 0.4949, 0.08375, 0.07375, 0.08899, 0.06056, 0.06268, 0.09056, 0.06051, 0.2022, 0.07859, 0.08631, 0.146, 0.08886, 0.08062, 0.08818, 0.4798, 0.07719, 0.02025, 0.05909, 0.07327, 0.01973, 0.329, 0.01912, 0.04528, 0.04789, 0.1036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1178, 0.1178, 0.00664, 0.01279, 0.03106, 0.07657, 0.8187, 0.2994, 0.211, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08609, 0.06955, 0.275, 0.06278, 0.07499, 0.049, 0.09029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1786, 0.2099, 0.1889, 0.08011, 0.04328, 0.09413, 0.0822, 0.1064, 0.03819, 0.2633, 0.2578, 0.05879, 0.1527, 0.8035, 0.03902, 0.113, 0.8037, 0.09982, 0.4471, 0.2373, 0.08007, 0.1002, 0.03232, 0.08012, 0.1324, 0.2009, 0.05667, 0.0409, 0.1178, 0.1178, 0.1575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.103, 0.2487, 0.01553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09262, 0.06, 0.07483, 0.04215, 0.1288, 0.204, 0.1656, 0.126, 0.3695, 0.0889, 0.01579, 0.05404, 0.2229, 0.1478, 0.1908, 0.2359, 0.1896, 0.07614, 0.1139, 0.1035, 0.04709, 0.1403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1476]"
9,IL7,ENSG00000104432.13,Heart_Left_Ventricle,60-69,female,"[0.09097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1043, 0.07912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1719, 0.02143, 0.07133, 0.1156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07442, 0.1507, 0.3036, 0.114, 0.1005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1347, 0.05278, 0.05301, 0.0508, 0.1329, 0.08605, 0.0728, 0.08415, 0.02218, 0.1175, 0.2633, 0.03639, 0.1615, 0.04753, 0.06379, 0.2176, 0.1828, 0.03149, 0.1168, 0.1236, 0.3379, 0.07428, 0.0924, 0.05755, 0.05755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06772, 0.2881, 0.1377, 0.1156, 0.1355, 0.05178, 0.08702, 0.1178, 0.1178]"
10,IL7,ENSG00000104432.13,Heart_Left_Ventricle,70-79,male,"[0.04914, 0.04708, 0.03796, 0.203, 0.1492, 0.08233, 0.05996, 0.2069, 0.2069, 0.08152, 0.1033]"
11,IL7,ENSG00000104432.13,Heart_Left_Ventricle,70-79,female,"[0.05015, 0.05468, 0.2069, 0.2069, 0.07168]"
