,gene,gencodeId,tissue,age,gender,TPMs
0,IL7R,ENSG00000168685.14,Artery_Aorta,20-29,male,"[0.6915, 2.978, 0.8771, 4.672, 0.7461, 1.611, 0.2979, 1.25, 0.5108, 2.906, 1.611, 0.9718, 0.9528, 3.329, 3.607, 2.216, 0.8337, 4.355, 0.6642, 2.736, 1.191, 2.712, 3.516, 1.067, 1.247]"
1,IL7R,ENSG00000168685.14,Artery_Aorta,20-29,female,"[1.524, 0.4648, 1.939, 4.66, 2.913, 0.1959, 1.283, 1.25, 1.446, 0.627, 1.379, 2.029, 7.232, 3.634]"
2,IL7R,ENSG00000168685.14,Artery_Aorta,30-39,male,"[3.462, 0.9014, 2.119, 0.2496, 1.077, 0.2981, 2.608, 0.9023, 1.611, 1.25, 3.182, 8.052, 1.611, 1.254, 0.9364, 35.65, 1.241, 0.2026, 0.7396, 3.667, 0.4597, 3.005, 9.6, 2.465, 4.068]"
3,IL7R,ENSG00000168685.14,Artery_Aorta,30-39,female,"[0.8819, 0.6599, 2.211, 0.6783, 0.9639, 0.228, 1.193, 1.25, 0.8986, 2.034, 2.352, 0.3767, 1.387, 10.99, 4.15]"
4,IL7R,ENSG00000168685.14,Artery_Aorta,40-49,male,"[0.6796, 2.856, 5.409, 3.81, 0.6912, 2.244, 0.3363, 0.7926, 1.28, 1.095, 3.89, 5.409, 11.91, 2.914, 1.559, 2.574, 6.105, 3.558, 2.63, 0.5636, 1.339, 2.931, 2.193, 3.493, 2.961, 1.284, 3.71, 0.1308, 0.5857, 1.76, 1.762, 2.34, 3.037, 1.028, 7.825, 0.677, 0.6513, 1.573, 1.502, 0.8722, 2.876, 8.607]"
5,IL7R,ENSG00000168685.14,Artery_Aorta,40-49,female,"[1.199, 0.2542, 0.8395, 2.174, 0.8114, 5.684, 2.5, 1.856, 2.874, 2.437, 1.152, 1.152, 7.91, 1.295, 1.299, 12.4, 3.328, 0.4055, 4.661, 0.9796, 5.31, 1.409, 2.987, 4.449, 1.635, 0.202, 0.5992, 2.829]"
6,IL7R,ENSG00000168685.14,Artery_Aorta,50-59,male,"[1.99, 1.812, 2.531, 0.9895, 0.6799, 5.248, 5.409, 0.8357, 4.024, 5.343, 1.433, 2.545, 8.54, 0.8705, 11.78, 1.192, 0.6675, 1.497, 6.733, 0.8598, 6.191, 3.314, 0.995, 0.5362, 0.4955, 1.782, 5.409, 10.94, 0.9429, 0.3666, 17.28, 1.844, 3.203, 1.795, 9.089, 1.055, 0.708, 7.566, 0.3981, 5.361, 0.5664, 1.843, 8.751, 7.507, 11.37, 1.477, 2.65, 1.812, 4.297, 3.679, 0.6307, 11.16, 0.4958, 1.204, 3.214, 24.1, 8.459, 0.3023, 4.831, 1.896, 0.2036, 1.837, 1.995, 0.7273, 5.179, 4.508, 12.25, 6.359, 1.815, 0.5914, 3.364, 2.606, 6.544, 2.286, 2.093, 1.909, 7.254, 2.287, 2.441, 19.55, 0.5413, 1.373, 6.032, 16.3, 1.672, 13.51, 4.113, 13.8, 9.68, 0.7279, 8.892, 1.107, 4.163, 5.492, 3.42, 3.877, 6.048, 1.211, 9.15, 2.802, 2.22]"
7,IL7R,ENSG00000168685.14,Artery_Aorta,50-59,female,"[1.107, 8.965, 0.8532, 6.512, 1.282, 2.994, 4.942, 3.628, 4.898, 6.496, 0.6879, 1.289, 1.281, 4.73, 0.6213, 1.338, 0.766, 19.52, 0.9548, 1.335, 4.07, 1.152, 1.152, 6.153, 2.567, 9.747, 1.063, 1.174, 2.911, 2.059, 1.769, 7.514, 5.205, 4.749, 8.06, 10.52, 1.162, 1.204, 0.4999, 1.232, 0.6386, 0.3782, 5.476, 1.465, 0.838, 1.664, 3.373, 6.973, 0.4436, 0.8216, 4.887, 2.181, 46.61]"
8,IL7R,ENSG00000168685.14,Artery_Aorta,60-69,male,"[1.061, 0.6778, 1.812, 0.9778, 3.828, 16.24, 2.629, 1.222, 2.23, 0.3021, 0.8087, 1.973, 0.7691, 1.23, 34.01, 2.345, 0.6906, 1.081, 6.662, 4.884, 2.745, 1.34, 5.078, 1.37, 13.22, 1.056, 1.656, 1.345, 1.921, 5.239, 9.451, 9.576, 2.763, 1.362, 7.126, 0.8664, 2.683, 3.708, 0.8004, 1.346, 0.4788, 2.891, 0.1933, 0.5756, 0.4567, 0.4945, 2.444, 2.115, 0.7593, 1.607, 1.423, 20.64, 2.241, 0.6852, 1.812, 0.3798, 8.526, 1.506, 19.7, 17.73, 6.242, 2.499, 1.204, 15.86, 1.819, 2.823, 1.696, 7.543, 0.6103, 2.294, 0.5426, 6.264, 1.32, 2.512, 3.942, 0.7426, 8.484, 0.4289, 1.107, 13.06, 6.515, 31.79, 3.611, 3.138, 1.638, 5.921, 2.331, 0.745, 5.235]"
9,IL7R,ENSG00000168685.14,Artery_Aorta,60-69,female,"[1.227, 2.921, 3.361, 21.56, 1.107, 0.9637, 0.5204, 1.697, 0.3627, 0.3639, 10.31, 0.8175, 7.415, 3.512, 1.198, 0.2085, 13.95, 1.11, 1.564, 2.463, 4.034, 1.456, 0.4074, 0.9291, 0.4805, 8.632, 2.015, 0.4304, 1.452, 2.455, 2.898, 6.819, 1.676, 1.145, 2.369, 1.208, 8.088, 1.204, 3.437, 0.4191, 1.651, 7.16, 16.39, 0.74, 2.296]"
10,IL7R,ENSG00000168685.14,Artery_Aorta,70-79,male,"[1.794, 1.068, 2.579, 1.578, 0.1578, 3.613]"
11,IL7R,ENSG00000168685.14,Artery_Aorta,70-79,female,"[2.811, 24.7, 0.7329]"
