,gene,gencodeId,tissue,age,gender,TPMs
0,JUND,ENSG00000130522.5,Artery_Aorta,20-29,male,"[230.3, 146.7, 244.6, 315.0, 320.3, 595.9, 617.5, 196.9, 355.2, 176.9, 375.0, 314.7, 400.3, 342.7, 535.5, 239.8, 303.3, 1623.0, 395.5, 323.0, 263.1, 538.4, 904.2, 243.8]"
1,JUND,ENSG00000130522.5,Artery_Aorta,20-29,female,"[514.1, 960.3, 327.1, 752.8, 141.4, 838.4, 891.2, 521.0, 336.0, 283.0, 264.3, 285.5, 622.9, 176.9]"
2,JUND,ENSG00000130522.5,Artery_Aorta,30-39,male,"[465.5, 739.7, 282.0, 1965.0, 292.2, 1043.0, 500.7, 555.3, 555.3, 217.7, 585.7, 133.5, 790.5, 635.9, 164.7, 132.0, 223.3, 808.6, 238.0, 334.1, 476.4, 403.0, 225.6, 374.5, 610.6]"
3,JUND,ENSG00000130522.5,Artery_Aorta,30-39,female,"[429.0, 378.4, 275.9, 304.4, 312.6, 188.2, 172.9, 844.2, 656.9, 412.1, 555.3, 555.3, 199.0, 502.1, 369.8]"
4,JUND,ENSG00000130522.5,Artery_Aorta,40-49,male,"[249.8, 173.5, 881.1, 474.6, 566.7, 735.9, 327.2, 924.4, 522.7, 388.0, 624.3, 527.0, 640.0, 373.4, 353.3, 305.7, 563.0, 290.1, 338.8, 759.6, 475.0, 221.6, 405.5, 164.0, 311.1, 665.8, 282.5, 144.0, 499.2, 310.8, 863.9, 488.9, 734.0, 359.2, 533.4, 707.6, 241.5, 532.3, 282.5, 744.5, 246.2, 249.5, 513.3]"
5,JUND,ENSG00000130522.5,Artery_Aorta,40-49,female,"[566.7, 631.9, 309.8, 312.1, 611.3, 310.5, 761.0, 314.5, 402.0, 418.3, 371.8, 579.5, 380.6, 143.0, 455.6, 221.6, 554.5, 765.0, 217.5, 580.9, 379.3, 474.6, 562.1, 285.0, 102.9, 792.2, 1462.0, 230.8, 259.8]"
6,JUND,ENSG00000130522.5,Artery_Aorta,50-59,male,"[892.5, 647.0, 651.8, 616.0, 366.8, 729.2, 496.6, 1345.0, 339.7, 510.2, 264.6, 616.1, 721.6, 532.4, 437.4, 1123.0, 503.1, 604.8, 414.9, 298.3, 238.5, 200.7, 200.7, 1677.0, 343.9, 572.9, 404.2, 339.8, 798.5, 404.3, 515.0, 409.8, 513.5, 576.9, 405.8, 654.4, 1058.0, 621.6, 395.8, 335.5, 906.8, 341.8, 781.2, 479.4, 205.5, 620.3, 247.8, 758.5, 508.2, 759.9, 462.9, 252.9, 911.5, 420.8, 651.0, 327.3, 819.8, 436.1, 540.6, 176.9, 306.0, 778.4, 402.9, 434.5, 552.5, 537.9, 221.6, 414.1, 613.4, 515.7, 398.2, 228.4, 417.6, 282.5, 390.9, 327.9, 546.7, 299.4, 525.9, 522.9, 157.0, 273.0, 584.7, 605.3, 797.9, 969.4, 341.4, 309.2, 844.6, 303.9, 161.1, 225.8, 237.2, 603.4, 282.5, 525.8, 580.5, 309.2, 216.3, 273.6, 557.2, 509.2, 437.0]"
7,JUND,ENSG00000130522.5,Artery_Aorta,50-59,female,"[210.0, 311.8, 638.9, 1562.0, 448.9, 441.8, 187.1, 218.1, 224.0, 511.3, 618.1, 569.1, 192.2, 428.0, 494.7, 529.3, 784.7, 363.1, 300.0, 438.3, 971.9, 321.3, 517.0, 245.0, 506.7, 331.4, 224.8, 579.4, 328.9, 450.0, 740.7, 221.6, 215.2, 605.7, 944.3, 225.3, 280.9, 570.7, 175.6, 372.5, 255.1, 646.7, 778.9, 141.2, 676.4, 796.4, 431.4, 322.7, 176.9, 369.6, 602.1]"
8,JUND,ENSG00000130522.5,Artery_Aorta,60-69,male,"[503.6, 587.0, 1112.0, 482.8, 563.3, 192.3, 1232.0, 361.9, 534.4, 536.3, 257.6, 730.6, 1101.0, 1021.0, 773.9, 343.6, 594.7, 355.4, 474.6, 287.0, 566.7, 447.1, 257.5, 558.7, 712.0, 485.1, 595.4, 501.1, 1013.0, 291.0, 200.7, 200.7, 321.1, 289.5, 297.4, 188.0, 560.6, 508.5, 430.6, 303.1, 572.1, 461.0, 493.8, 503.3, 458.2, 216.6, 610.5, 1296.0, 710.9, 754.4, 607.4, 448.6, 638.5, 430.6, 579.8, 573.1, 417.1, 896.5, 478.0, 1131.0, 347.3, 381.4, 825.4, 266.7, 382.8, 392.9, 436.0, 474.9, 565.0, 283.4, 316.3, 329.7, 394.5, 252.1, 269.1, 337.6, 633.3, 309.2, 659.2, 308.5, 418.2, 309.2, 192.4, 533.0, 892.8, 350.9, 413.9, 393.8, 599.4, 500.9]"
9,JUND,ENSG00000130522.5,Artery_Aorta,60-69,female,"[326.1, 279.7, 332.0, 639.1, 1203.0, 649.4, 417.4, 666.4, 566.7, 387.5, 853.5, 277.0, 286.5, 444.8, 634.4, 129.1, 215.4, 393.2, 463.8, 665.5, 390.6, 359.1, 711.0, 1086.0, 345.7, 680.3, 345.4, 305.3, 581.9, 670.2, 215.1, 430.4, 1034.0, 318.1, 356.5, 679.6, 647.2, 299.0, 268.8, 757.3, 474.6, 457.0, 286.2, 408.5, 404.1, 718.8]"
10,JUND,ENSG00000130522.5,Artery_Aorta,70-79,male,"[559.2, 340.5, 679.3, 430.6, 1149.0, 430.6, 202.9]"
11,JUND,ENSG00000130522.5,Artery_Aorta,70-79,female,"[214.7, 351.6, 626.5]"
