,gene,gencodeId,tissue,age,gender,TPMs
0,JUND,ENSG00000130522.5,Liver,20-29,male,"[74.44, 96.77, 236.6, 216.9, 216.9]"
1,JUND,ENSG00000130522.5,Liver,20-29,female,"[122.8, 51.39, 216.9, 216.9]"
2,JUND,ENSG00000130522.5,Liver,30-39,male,"[66.47, 55.83, 182.8, 34.19, 82.43, 143.8, 207.8, 152.1, 78.56, 217.8, 81.39, 90.71, 266.7, 41.33]"
3,JUND,ENSG00000130522.5,Liver,30-39,female,"[212.1, 70.5, 35.57]"
4,JUND,ENSG00000130522.5,Liver,40-49,male,"[182.5, 157.5, 87.1, 69.56, 147.3, 133.5, 134.6, 200.4, 620.8, 66.54, 134.6, 116.1, 102.7, 67.39, 101.6, 116.1, 477.8, 83.92, 84.09, 58.87, 24.95, 291.3, 204.1, 153.8, 361.3, 30.13]"
5,JUND,ENSG00000130522.5,Liver,40-49,female,"[38.22, 56.39, 43.06, 44.57, 207.5, 87.86, 109.0, 87.78, 115.8, 49.29, 127.7]"
6,JUND,ENSG00000130522.5,Liver,50-59,male,"[73.43, 139.7, 145.6, 145.6, 48.46, 130.0, 266.8, 29.78, 82.89, 235.4, 145.6, 145.6, 177.8, 382.7, 75.78, 106.8, 71.12, 138.1, 133.9, 223.2, 135.0, 273.8, 104.1, 104.1, 86.01, 239.1, 196.2, 63.76, 65.4, 303.2, 134.6, 157.9, 50.62, 407.9, 111.9, 80.53, 138.6, 211.9, 134.6, 91.47, 113.1, 118.9, 284.9, 117.6, 119.3, 95.37, 39.05, 108.6, 104.1, 104.1, 74.51, 96.39, 63.56, 220.1, 65.22, 178.8, 100.6, 90.87, 48.89, 44.0, 91.53, 163.7, 57.1, 54.48, 55.93, 89.5]"
7,JUND,ENSG00000130522.5,Liver,50-59,female,"[57.94, 175.6, 100.2, 74.71, 345.4, 62.58, 87.17, 196.6, 650.4, 272.2, 121.3, 58.44, 223.2, 107.4, 79.58, 80.76, 85.16, 104.1, 104.1, 93.14, 76.41, 107.4, 82.93, 39.7, 574.9, 98.61]"
8,JUND,ENSG00000130522.5,Liver,60-69,male,"[75.36, 130.2, 52.67, 270.8, 104.2, 104.2, 233.3, 47.35, 48.18, 32.72, 49.66, 69.29, 80.32, 204.6, 146.0, 59.44, 143.6, 223.2, 195.8, 80.39, 223.8, 98.51, 104.1, 113.2, 36.58, 135.6, 148.3, 142.0, 55.38, 51.7, 136.5, 136.5, 137.2, 76.28, 103.1, 339.8, 153.9, 139.6, 127.2, 380.2, 713.0, 73.45, 154.4, 100.8, 100.8, 342.7, 116.1, 105.9, 90.24, 67.92, 67.89, 116.1, 67.41, 55.1, 104.1, 241.0, 52.28, 105.7, 326.0, 51.37, 146.3, 142.2]"
9,JUND,ENSG00000130522.5,Liver,60-69,female,"[527.5, 364.2, 241.7, 247.7, 109.1, 77.04, 194.1, 100.8, 100.8, 210.0, 52.46, 62.4, 48.76, 226.2, 223.2, 107.4, 104.1, 173.7, 188.5, 107.4, 193.7, 508.9, 136.5, 136.5, 104.2, 104.2, 140.5, 248.9]"
10,JUND,ENSG00000130522.5,Liver,70-79,male,"[113.3, 150.9, 101.0]"
11,JUND,ENSG00000130522.5,Liver,70-79,female,"[99.17, 83.55]"
