,gene,gencodeId,tissue,age,gender,TPMs
0,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,20-29,male,"[2.528, 4.797, 3.545]"
1,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,20-29,female,[3.529]
2,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,30-39,male,"[1.2, 3.536, 2.484, 2.669]"
3,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,30-39,female,"[2.484, 2.331]"
4,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,40-49,male,"[2.014, 3.217, 0.4699, 11.07, 3.266, 3.52, 5.063, 3.757, 2.99, 1.307, 1.306]"
5,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,40-49,female,"[2.478, 3.362, 3.301, 1.645, 2.777]"
6,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,50-59,male,"[4.913, 1.341, 1.511, 0.8606, 0.7305, 1.679, 3.581, 2.187, 1.424, 2.241, 3.205, 1.903, 3.084, 3.549, 3.454, 2.033, 1.491, 2.345, 1.428, 8.138, 1.905, 8.017, 2.423, 2.759, 2.763, 1.592, 1.142, 0.5066, 2.006, 2.135, 1.429, 1.824, 3.552, 1.094, 1.786, 4.969, 1.956, 3.697, 1.164, 4.478, 3.24, 1.482, 0.8571, 2.485, 5.665, 2.369]"
7,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,50-59,female,"[2.58, 1.016, 3.413, 2.128, 3.17, 3.706, 3.531, 2.724, 2.033, 3.93, 3.433, 7.233, 1.275, 2.195, 2.203, 3.084]"
8,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,60-69,male,"[2.395, 0.9479, 0.7722, 2.188, 2.684, 2.598, 1.179, 1.826, 1.451, 2.911, 1.406, 2.433, 3.709, 3.419, 2.169, 2.914, 3.084, 1.186, 1.308, 2.418, 2.631, 2.033, 3.989, 0.8474, 1.454, 3.078, 3.844, 1.634, 1.964, 3.405, 2.41, 2.764, 1.49, 3.308, 2.259, 1.12, 1.82, 2.484, 2.335, 1.453, 3.25, 4.507, 1.078, 1.392, 4.365, 2.782, 1.048, 2.491, 2.088, 3.002, 6.27, 1.585, 1.807, 4.385, 3.129, 1.19, 4.866, 1.178, 2.192, 2.803, 2.467, 2.8, 1.526, 3.258, 2.247, 1.87, 1.618, 1.062, 3.477, 0.5689, 3.306, 5.674, 1.359, 1.408, 1.985, 1.425, 1.813]"
9,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,60-69,female,"[0.6469, 1.779, 2.886, 1.243, 0.9322, 3.024, 3.024, 1.744, 1.612, 4.461, 3.204, 0.885, 3.024, 3.024, 2.484, 2.033, 2.249, 2.09, 1.134, 2.044, 2.321, 1.788, 2.674, 3.415, 2.019, 4.596, 1.959, 3.313, 2.028, 3.084, 15.38, 1.517, 1.811]"
10,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,70-79,male,"[1.671, 5.207, 2.677, 3.476, 1.884, 1.942, 5.628, 1.934, 3.081]"
11,LMNB1,ENSG00000113368.11,Brain_Hypothalamus,70-79,female,"[5.062, 1.642, 0.8205]"
