,gene,gencodeId,tissue,age,gender,TPMs
0,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,20-29,male,"[13.23, 10.59, 10.28, 14.16, 15.55, 5.339, 7.696, 10.91, 12.32, 13.44, 4.359, 6.77, 7.608]"
1,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,20-29,female,"[18.19, 13.44, 8.84, 20.16, 6.749, 10.28, 9.489, 13.39, 9.865, 3.425, 10.13]"
2,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,30-39,male,"[10.47, 12.22, 6.95, 6.042, 7.396, 6.424, 13.21, 11.28, 7.208, 3.258, 9.583, 1.82, 11.02, 4.44, 9.83, 7.387, 4.75, 2.303]"
3,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,30-39,female,"[13.21, 11.36, 10.47, 9.141, 12.22, 9.38, 7.843, 12.29, 8.728, 7.107, 17.63]"
4,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,40-49,male,"[9.937, 5.143, 6.834, 8.487, 13.75, 6.648, 1.872, 10.04, 10.04, 2.758, 9.888, 5.708, 7.885, 6.341, 9.937, 10.04, 10.04, 3.547, 9.006, 8.312, 13.26, 17.65, 1.949, 6.584, 5.52, 51.96, 10.46, 7.082, 6.015, 11.3, 10.09, 15.45, 12.28, 5.139, 10.24, 8.623, 6.672, 6.672, 8.631, 14.71, 9.45, 13.44, 9.733, 9.123, 8.503, 8.527, 8.503, 6.337, 9.022, 8.094, 9.387, 7.284, 3.275]"
5,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,40-49,female,"[13.44, 9.879, 14.8, 9.728, 3.695, 14.18, 12.3, 10.64, 6.672, 6.672, 8.948, 6.242, 9.853, 19.1, 12.9, 6.74, 10.46, 18.56, 10.09, 8.631, 3.735, 9.318, 17.32]"
6,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,50-59,male,"[5.039, 7.525, 9.937, 10.54, 9.405, 8.836, 7.775, 3.7, 7.628, 2.269, 8.149, 6.305, 5.732, 8.268, 4.064, 5.238, 4.907, 2.943, 2.908, 7.638, 11.56, 1.909, 8.781, 5.161, 6.883, 5.728, 5.391, 10.75, 4.542, 28.45, 15.84, 9.937, 2.449, 17.01, 7.233, 8.875, 14.17, 5.848, 7.167, 4.978, 9.753, 5.8, 2.198, 9.17, 7.167, 11.64, 7.756, 15.8, 11.21, 4.23, 2.891, 10.55, 1.745, 7.435, 4.643, 8.167, 9.672, 9.842, 3.359, 4.316, 7.493, 1.835, 7.673, 9.188, 10.46, 10.63, 2.506, 10.28, 11.54, 6.794, 7.087, 5.193, 8.873, 6.752, 7.802, 8.394, 14.01, 18.05, 9.92, 10.44, 10.44, 11.39, 3.288, 7.618, 8.631, 10.34, 14.07, 6.165, 8.503, 13.32, 13.32, 2.448, 6.086, 12.96, 9.589, 1.98, 8.503, 3.181, 9.005, 6.349, 6.376, 5.441, 7.136, 6.62, 15.12, 11.37, 9.291, 8.803, 10.49, 9.452, 9.604, 3.858]"
7,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,50-59,female,"[11.67, 5.689, 8.149, 10.44, 10.44, 5.141, 15.63, 14.1, 11.17, 9.611, 10.71, 8.865, 7.944, 12.19, 11.66, 1.211, 1.478, 19.23, 5.432, 9.044, 7.1, 21.67, 13.77, 9.192, 10.22, 12.44, 14.94, 7.4, 10.28, 13.32, 13.32, 16.79, 12.38, 7.798, 11.87, 13.31, 7.827, 12.84, 14.97, 10.27, 10.46, 2.609, 6.638, 9.779, 6.645, 7.786, 13.22, 8.631, 10.21, 11.4, 2.244, 8.169, 11.42]"
8,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,60-69,male,"[8.595, 6.216, 2.164, 3.469, 10.47, 3.418, 12.22, 5.232, 10.37, 10.53, 2.842, 5.484, 10.87, 9.814, 9.316, 2.262, 3.089, 8.149, 3.407, 2.998, 13.08, 8.511, 10.15, 3.475, 3.569, 5.213, 9.675, 4.266, 13.21, 5.177, 3.466, 6.737, 2.674, 1.336, 9.991, 9.991, 1.177, 16.69, 2.329, 13.65, 32.06, 5.853, 13.68, 9.495, 2.637, 15.26, 4.35, 10.5, 5.377, 14.66, 7.167, 8.907, 7.916, 7.092, 9.553, 3.651, 2.682, 11.18, 9.58, 7.167, 5.046, 4.021, 3.107, 3.382, 10.25, 12.42, 9.538, 3.781, 36.07, 3.399, 8.852, 5.256, 2.461, 9.901, 4.545, 2.899, 11.03, 4.867, 5.9, 8.053, 11.15, 1.139, 11.32, 19.07, 12.34, 7.606, 2.485, 2.33, 9.835, 8.159, 6.76, 11.11, 10.62, 8.171, 7.959, 10.09, 8.098, 10.05, 33.71, 10.4, 9.159, 12.46, 8.486, 8.979, 8.613, 5.419, 9.179, 5.855, 6.285]"
9,MAPK14,ENSG00000112062.10,Heart_Left_Ventricle,60-69,female,"[9.603, 8.66, 6.249, 4.015, 13.21, 3.046, 8.149, 13.15, 4.659, 7.836, 14.24, 6.903, 9.224, 6.595, 6.002, 10.47, 7.483, 9.22, 25.93, 9.168, 3.889, 3.355, 2.778, 9.49, 4.357, 5.751, 3.493, 12.95, 12.22, 11.27, 13.79, 4.567, 6.363, 9.991, 9.991, 8.765, 3.772, 14.05, 9.365, 4.206, 3.482, 4.41, 6.057, 8.688, 7.152, 10.09, 9.601, 11.35, 9.364]"
