,gene,gencodeId,tissue,age,gender,TPMs
0,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,20-29,male,"[37.98, 40.99, 54.91, 41.71, 24.96]"
1,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,20-29,female,"[39.12, 39.22, 48.8]"
2,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,30-39,male,"[38.06, 40.05, 39.13, 38.06]"
3,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,30-39,female,"[45.96, 67.5]"
4,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,40-49,male,"[31.55, 8.849, 26.9, 31.93, 40.76, 36.4, 31.39, 70.12, 35.53, 34.97, 40.45]"
5,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,40-49,female,"[40.46, 29.88, 27.64, 5.945, 32.05, 44.8, 38.49]"
6,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,50-59,male,"[30.37, 39.52, 38.23, 36.24, 28.48, 37.4, 39.1, 39.1, 27.88, 20.78, 34.11, 40.41, 38.54, 40.24, 35.87, 19.03, 42.21, 28.64, 31.01, 25.07, 34.12, 38.1, 32.36, 39.19, 42.94, 46.84, 44.81, 34.57, 42.09, 32.96, 16.05, 22.88, 20.76, 29.8, 39.17, 24.39, 32.59, 22.82, 34.29, 31.31, 32.7, 8.371, 49.68, 39.01, 39.89, 25.22, 46.11, 32.92, 69.17, 36.42, 55.14, 29.98, 46.73, 39.32]"
7,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,50-59,female,"[30.87, 6.767, 32.96, 32.52, 25.92, 32.59, 9.274, 29.36, 34.82, 22.88, 17.45, 7.042, 34.26, 39.1, 39.1, 23.73]"
8,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,60-69,male,"[38.81, 42.38, 18.38, 41.94, 20.46, 38.06, 33.9, 32.49, 24.07, 39.2, 32.1, 6.584, 30.3, 14.17, 36.15, 27.21, 27.35, 32.95, 34.14, 19.41, 35.93, 22.87, 28.86, 24.14, 28.09, 29.19, 36.73, 32.24, 25.23, 11.81, 13.74, 23.74, 32.96, 33.47, 36.21, 32.75, 35.71, 29.73, 39.53, 34.17, 34.17, 23.45, 25.94, 46.95, 29.95, 32.59, 33.19, 27.34, 29.18, 31.52, 13.46, 34.17, 34.17, 39.75, 30.86, 31.07, 32.79, 26.3, 34.1, 25.46, 30.61, 11.1, 18.0, 26.5, 41.59, 24.69, 21.28, 40.91, 21.63, 31.53, 39.68, 35.6, 39.79, 35.0, 30.52, 38.06, 35.94, 35.64, 19.14, 8.686]"
9,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,60-69,female,"[22.46, 35.4, 30.08, 23.43, 20.5, 38.02, 36.98, 32.96, 12.65, 21.89, 29.57, 32.38, 16.06, 27.42, 37.59, 32.59, 21.07, 25.57, 32.16, 36.65, 27.0, 31.09, 23.29, 33.5, 11.17, 23.99, 12.87, 34.58, 44.17, 23.26, 28.92]"
10,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,70-79,male,"[26.42, 34.63, 31.24, 19.73, 16.66, 22.88, 28.99, 41.3, 21.7, 38.3, 30.8]"
11,MAPK8,ENSG00000107643.15,Brain_Cerebellar_Hemisphere,70-79,female,"[29.29, 21.71, 22.88]"
