,gene,gencodeId,tissue,age,gender,TPMs
0,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,20-29,male,"[5.029, 27.85, 34.83, 31.62]"
1,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,20-29,female,[27.09]
2,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,30-39,male,"[53.25, 37.56, 14.81]"
3,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,30-39,female,"[12.51, 12.51, 60.32]"
4,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,40-49,male,"[9.021, 19.11, 17.53, 36.03, 30.4, 4.204, 2.701, 11.35, 3.9, 46.58, 46.58, 9.831, 25.94, 42.46, 32.65]"
5,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,40-49,female,"[16.51, 5.46, 29.49, 26.53, 14.41]"
6,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,50-59,male,"[22.61, 22.24, 16.3, 35.45, 40.78, 49.05, 10.04, 21.93, 5.667, 24.35, 26.15, 21.56, 29.45, 3.608, 29.17, 13.45, 27.36, 30.43, 13.22, 11.47, 41.6, 31.47, 9.933, 36.23, 36.23, 20.92, 19.05, 7.845, 5.614, 12.07, 11.9, 2.694, 3.888, 3.421, 16.97, 35.2, 3.337, 6.652, 7.838, 2.46, 30.87, 19.97, 24.13, 16.92, 13.36, 3.474, 21.49, 14.18, 39.47, 54.56, 36.23, 36.23, 10.73, 4.116, 41.22]"
7,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,50-59,female,"[31.97, 12.17, 14.25, 18.93, 14.18, 48.64, 8.162, 7.309, 40.22, 21.13, 46.02, 9.731, 27.27, 7.232, 3.588]"
8,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,60-69,male,"[29.13, 31.14, 31.67, 28.84, 23.73, 6.703, 15.97, 13.57, 30.86, 24.57, 18.11, 2.201, 34.39, 8.467, 7.792, 16.6, 37.87, 8.889, 13.3, 9.421, 10.49, 45.4, 28.94, 10.48, 4.692, 9.292, 21.63, 59.04, 21.04, 53.95, 6.482, 17.24, 27.66, 3.746, 34.49, 30.41, 13.66, 27.19, 25.53, 22.05, 2.934, 14.84, 37.46, 4.571, 5.174, 15.99, 12.69, 10.25, 6.378, 28.97, 20.96, 9.405, 18.48, 29.97, 17.86, 7.265, 13.8, 41.58, 32.79, 24.04, 36.42, 18.22, 19.89, 18.03, 33.38, 4.503, 22.55, 8.953, 40.38, 12.52, 11.25, 7.671, 16.43, 4.585, 9.026]"
9,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,60-69,female,"[27.71, 33.43, 20.84, 45.07, 23.11, 7.089, 14.11, 18.25, 35.02, 3.266, 12.46, 12.51, 5.536, 5.556, 12.51, 17.18, 21.03, 2.203, 2.248, 28.42, 8.782, 11.26, 48.68, 13.01, 3.312, 19.53]"
10,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,70-79,male,"[15.0, 32.16, 6.824, 4.756, 14.07, 32.7, 46.58, 46.58, 14.18]"
11,MAPK9,ENSG00000050748.17,Brain_Putamen_basal_ganglia,70-79,female,"[14.18, 6.293]"
