,gene,gencodeId,tissue,age,gender,TPMs
0,MED1,ENSG00000125686.11,Heart_Left_Ventricle,20-29,male,"[5.806, 4.8, 7.471, 5.136, 5.599, 3.266, 7.821, 6.841, 4.067, 3.856, 5.136, 3.464, 2.861]"
1,MED1,ENSG00000125686.11,Heart_Left_Ventricle,20-29,female,"[7.239, 4.004, 8.412, 2.586, 3.907, 5.213, 5.646, 5.491, 1.41, 6.536]"
2,MED1,ENSG00000125686.11,Heart_Left_Ventricle,30-39,male,"[4.627, 3.203, 2.585, 3.636, 2.741, 6.209, 3.868, 2.575, 1.055, 3.104, 1.971, 4.149, 1.61, 3.911, 5.633, 2.001, 1.056]"
3,MED1,ENSG00000125686.11,Heart_Left_Ventricle,30-39,female,"[5.246, 3.605, 6.244, 4.443, 2.994, 6.787, 4.45, 4.566, 6.509]"
4,MED1,ENSG00000125686.11,Heart_Left_Ventricle,40-49,male,"[2.755, 1.932, 5.294, 4.789, 5.521, 0.7406, 6.932, 1.118, 3.268, 2.796, 5.982, 1.85, 2.106, 6.029, 1.285, 4.444, 4.584, 5.954, 2.834, 6.552, 0.5421, 2.572, 2.208, 11.89, 2.753, 3.011, 3.176, 5.915, 3.371, 2.639, 6.201, 4.143, 2.834, 6.329, 3.574, 4.926, 3.837, 3.679, 3.872, 2.957, 4.789, 3.259, 2.822, 4.981, 4.472, 1.108]"
5,MED1,ENSG00000125686.11,Heart_Left_Ventricle,40-49,female,"[6.441, 5.409, 7.714, 6.601, 1.243, 7.157, 5.662, 4.351, 2.854, 4.534, 3.677, 3.535, 9.675, 6.517, 4.502, 3.108, 7.638, 5.412, 3.114, 1.455, 5.281, 5.05]"
6,MED1,ENSG00000125686.11,Heart_Left_Ventricle,50-59,male,"[1.835, 5.855, 5.015, 4.7, 2.777, 3.302, 3.817, 1.349, 4.789, 4.372, 0.8265, 2.759, 4.305, 1.874, 3.425, 1.349, 2.236, 2.328, 2.55, 1.015, 1.075, 2.846, 5.958, 0.9566, 3.806, 2.19, 4.023, 2.308, 2.844, 3.702, 1.662, 5.241, 9.073, 1.19, 7.969, 2.734, 5.634, 8.848, 2.526, 4.008, 1.266, 4.341, 2.905, 0.955, 3.846, 5.327, 3.869, 6.94, 3.579, 1.219, 1.005, 4.292, 1.343, 2.558, 1.597, 3.309, 3.028, 6.8, 1.239, 1.163, 5.218, 0.9214, 2.294, 4.325, 4.03, 5.768, 0.8217, 6.3, 3.568, 2.808, 4.386, 2.262, 6.117, 3.831, 3.89, 3.963, 6.027, 8.158, 5.136, 3.493, 6.046, 6.53, 1.297, 4.854, 3.335, 3.719, 6.371, 2.678, 5.047, 9.13, 0.8012, 2.479, 5.136, 3.965, 0.7669, 1.002, 4.691, 3.362, 2.136, 4.093, 3.019, 4.789, 7.252, 5.473, 5.391, 5.949, 4.81, 5.812, 5.813, 2.27]"
7,MED1,ENSG00000125686.11,Heart_Left_Ventricle,50-59,female,"[4.965, 7.458, 1.894, 4.394, 2.445, 8.458, 4.073, 5.271, 6.328, 4.965, 3.457, 3.905, 4.678, 4.866, 0.4346, 0.521, 7.897, 2.457, 5.732, 1.936, 7.304, 7.481, 5.435, 4.633, 5.852, 5.32, 5.069, 7.05, 4.044, 4.564, 3.631, 3.923, 6.776, 7.628, 3.631, 5.537, 6.665, 6.319, 1.028, 2.057, 3.759, 2.081, 4.759, 4.878, 4.426, 5.721, 0.5011, 5.667, 6.979]"
8,MED1,ENSG00000125686.11,Heart_Left_Ventricle,60-69,male,"[3.913, 3.763, 0.9944, 1.958, 1.414, 4.183, 2.45, 4.841, 4.987, 1.513, 2.094, 7.783, 1.349, 3.615, 6.122, 0.6845, 1.135, 1.621, 1.131, 4.317, 5.366, 3.391, 1.349, 1.565, 1.506, 2.368, 1.01, 1.764, 1.541, 2.182, 0.8372, 0.4361, 6.361, 0.5697, 6.78, 0.6853, 7.499, 12.6, 2.788, 4.201, 3.604, 0.6696, 8.092, 1.698, 5.49, 1.913, 5.058, 3.445, 5.027, 3.042, 4.208, 0.9201, 0.9803, 5.148, 4.485, 2.718, 2.25, 3.059, 1.918, 1.098, 3.926, 3.298, 2.834, 0.9312, 10.69, 1.396, 3.056, 2.545, 0.8847, 4.242, 1.332, 0.8257, 7.125, 1.556, 2.512, 5.236, 3.621, 0.3593, 6.063, 5.137, 5.137, 5.771, 2.818, 1.129, 0.7926, 4.885, 3.682, 2.763, 3.488, 7.36, 2.962, 4.339, 4.859, 4.996, 5.137, 5.137, 12.67, 5.226, 2.89, 2.834, 5.941, 2.958, 5.989, 3.925, 2.712, 4.921, 2.206, 2.009]"
9,MED1,ENSG00000125686.11,Heart_Left_Ventricle,60-69,female,"[5.083, 4.965, 2.364, 1.305, 6.694, 1.052, 3.499, 5.609, 4.965, 1.739, 4.209, 5.853, 2.54, 5.276, 1.794, 2.417, 4.296, 5.341, 5.627, 9.282, 6.011, 1.661, 0.7276, 0.9564, 3.055, 1.994, 1.604, 1.734, 5.352, 5.215, 7.215, 1.246, 1.844, 5.056, 3.916, 1.021, 3.631, 4.253, 1.179, 1.423, 1.361, 3.631, 2.667, 3.231, 2.739, 4.309, 7.443, 4.941]"
10,MED1,ENSG00000125686.11,Heart_Left_Ventricle,70-79,male,"[1.951, 1.306, 1.187, 4.5, 2.414, 1.55, 0.8143, 5.017, 2.556, 5.25]"
11,MED1,ENSG00000125686.11,Heart_Left_Ventricle,70-79,female,"[6.299, 1.308, 1.081, 1.324]"
