,gene,gencodeId,tissue,age,gender,TPMs
0,MED1,ENSG00000125686.11,Kidney_Medulla,20-29,male,"[9.72, 7.725]"
1,MED1,ENSG00000125686.11,Kidney_Medulla,20-29,female,[]
2,MED1,ENSG00000125686.11,Kidney_Medulla,30-39,male,[]
3,MED1,ENSG00000125686.11,Kidney_Medulla,30-39,female,[]
4,MED1,ENSG00000125686.11,Kidney_Medulla,40-49,male,[]
5,MED1,ENSG00000125686.11,Kidney_Medulla,40-49,female,[]
6,MED1,ENSG00000125686.11,Kidney_Medulla,50-59,male,[5.622]
7,MED1,ENSG00000125686.11,Kidney_Medulla,50-59,female,[3.529]
8,MED1,ENSG00000125686.11,Kidney_Medulla,60-69,male,[]
9,MED1,ENSG00000125686.11,Kidney_Medulla,60-69,female,[]
10,MED1,ENSG00000125686.11,Kidney_Medulla,70-79,male,[]
11,MED1,ENSG00000125686.11,Kidney_Medulla,70-79,female,[]
