,gene,gencodeId,tissue,age,gender,TPMs
0,MIF,ENSG00000240972.1,Brain_Substantia_nigra,20-29,male,"[2.263, 1.295, 3.412]"
1,MIF,ENSG00000240972.1,Brain_Substantia_nigra,20-29,female,"[4.447, 2.669]"
2,MIF,ENSG00000240972.1,Brain_Substantia_nigra,30-39,male,"[3.282, 2.766]"
3,MIF,ENSG00000240972.1,Brain_Substantia_nigra,30-39,female,"[0.4272, 2.189]"
4,MIF,ENSG00000240972.1,Brain_Substantia_nigra,40-49,male,"[1.948, 3.908, 3.671, 4.22, 1.116, 1.062, 4.828, 0.6876, 3.356]"
5,MIF,ENSG00000240972.1,Brain_Substantia_nigra,40-49,female,"[3.883, 3.86, 2.376, 2.434, 2.417]"
6,MIF,ENSG00000240972.1,Brain_Substantia_nigra,50-59,male,"[4.105, 1.096, 1.496, 6.187, 2.492, 2.803, 5.439, 3.405, 2.255, 1.991, 1.082, 2.893, 0.5708, 3.8, 2.475, 1.063, 1.69, 1.28, 0.2493, 2.444, 1.985, 5.898, 7.539, 2.899]"
7,MIF,ENSG00000240972.1,Brain_Substantia_nigra,50-59,female,"[4.399, 1.774, 3.177, 0.9722, 2.009, 2.358, 3.698, 0.8732, 5.929, 2.516, 1.829]"
8,MIF,ENSG00000240972.1,Brain_Substantia_nigra,60-69,male,"[2.84, 2.156, 0.9885, 0.9295, 1.759, 4.326, 3.646, 2.323, 0.5672, 2.446, 4.478, 4.515, 0.866, 0.9521, 3.072, 2.235, 2.073, 3.371, 1.992, 4.595, 1.44, 4.429, 2.51, 3.59, 1.466, 2.483, 2.373, 0.9198, 2.786, 2.556, 3.785, 1.368, 2.292, 4.982, 0.6297, 2.762, 2.799, 0.3227, 1.05, 2.5, 6.411, 3.097, 1.941, 1.007, 3.172, 0.9136, 3.165, 2.123, 2.566, 1.561, 2.146, 4.578, 2.4, 5.809, 5.004, 2.173, 0.452, 0.4351, 2.262]"
9,MIF,ENSG00000240972.1,Brain_Substantia_nigra,60-69,female,"[2.152, 3.4, 1.513, 0.4424, 3.022, 1.167, 1.852, 2.997, 1.983, 4.035, 0.4665, 0.5521, 1.709, 3.02, 0.7763, 1.394, 1.556]"
10,MIF,ENSG00000240972.1,Brain_Substantia_nigra,70-79,male,"[1.884, 1.198, 3.167, 2.888]"
11,MIF,ENSG00000240972.1,Brain_Substantia_nigra,70-79,female,[2.685]
