,gene,gencodeId,tissue,age,gender,TPMs
0,MLH1,ENSG00000076242.14,Kidney_Medulla,20-29,male,"[23.72, 11.99]"
1,MLH1,ENSG00000076242.14,Kidney_Medulla,20-29,female,[]
2,MLH1,ENSG00000076242.14,Kidney_Medulla,30-39,male,[]
3,MLH1,ENSG00000076242.14,Kidney_Medulla,30-39,female,[]
4,MLH1,ENSG00000076242.14,Kidney_Medulla,40-49,male,[]
5,MLH1,ENSG00000076242.14,Kidney_Medulla,40-49,female,[]
6,MLH1,ENSG00000076242.14,Kidney_Medulla,50-59,male,[17.12]
7,MLH1,ENSG00000076242.14,Kidney_Medulla,50-59,female,[11.07]
8,MLH1,ENSG00000076242.14,Kidney_Medulla,60-69,male,[]
9,MLH1,ENSG00000076242.14,Kidney_Medulla,60-69,female,[]
10,MLH1,ENSG00000076242.14,Kidney_Medulla,70-79,male,[]
11,MLH1,ENSG00000076242.14,Kidney_Medulla,70-79,female,[]
