,gene,gencodeId,tissue,age,gender,TPMs
0,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,20-29,male,"[39.82, 34.42, 36.59, 36.2, 22.03]"
1,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,20-29,female,"[32.04, 40.34, 40.77]"
2,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,30-39,male,"[35.95, 39.18, 28.62]"
3,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,30-39,female,"[40.35, 28.8]"
4,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,40-49,male,"[37.05, 8.209, 30.88, 30.88, 34.46, 32.09, 36.23, 22.04, 31.43, 25.8, 22.04, 32.11, 32.58, 28.56]"
5,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,40-49,female,"[32.79, 23.28, 31.88, 5.539, 24.26, 32.17, 30.88]"
6,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,50-59,male,"[28.54, 28.61, 28.26, 31.72, 27.48, 42.59, 40.98, 25.86, 31.85, 35.85, 36.6, 31.09, 25.71, 35.71, 28.52, 13.58, 34.19, 39.21, 36.16, 24.09, 36.98, 34.78, 29.46, 30.88, 30.88, 30.88, 30.88, 40.94, 44.14, 32.88, 34.03, 25.71, 31.15, 16.56, 22.46, 28.02, 34.82, 28.21, 28.85, 23.13, 26.95, 28.84, 30.38, 9.171, 41.49, 32.89, 31.15, 38.16, 21.48, 31.44, 39.17, 45.36, 39.67, 26.7, 45.24, 36.07]"
7,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,50-59,female,"[36.82, 8.902, 22.93, 40.9, 23.18, 29.46, 6.807, 41.83, 20.25, 23.52, 15.89, 5.082, 34.14, 34.41, 30.88, 30.88, 25.71]"
8,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,60-69,male,"[31.53, 41.74, 15.06, 31.66, 17.15, 31.5, 32.39, 21.93, 33.29, 36.25, 6.073, 27.88, 11.3, 23.97, 41.55, 24.52, 30.06, 18.26, 20.55, 25.71, 25.71, 32.26, 22.2, 26.37, 29.86, 21.54, 32.62, 28.06, 26.28, 8.696, 13.6, 26.96, 25.71, 25.71, 29.63, 29.63, 36.85, 31.15, 26.79, 26.6, 49.79, 37.94, 30.19, 27.38, 26.72, 21.5, 28.0, 22.52, 28.43, 31.54, 11.76, 33.49, 25.72, 29.39, 22.04, 34.01, 27.57, 57.56, 20.42, 29.78, 9.439, 20.54, 23.26, 44.54, 19.65, 23.16, 31.15, 31.16, 31.49, 40.1, 40.01, 22.04, 32.99, 27.02, 29.63, 29.63, 18.59, 29.69, 34.58, 36.41, 21.32, 8.969]"
9,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,60-69,female,"[19.63, 29.22, 22.31, 35.5, 22.13, 33.63, 33.09, 12.09, 22.5, 28.46, 31.48, 15.5, 29.55, 27.63, 26.35, 24.38, 22.26, 33.82, 26.51, 19.53, 20.94, 15.62, 43.51, 7.37, 18.87, 10.62, 38.51, 28.89, 25.71, 25.71, 20.02, 26.36]"
10,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,70-79,male,"[26.04, 30.71, 28.07, 29.46, 20.84, 19.31, 19.88, 22.77, 26.26, 20.27, 33.22, 28.37]"
11,MSRA,ENSG00000175806.14,Brain_Cerebellar_Hemisphere,70-79,female,"[29.46, 23.8]"
