,gene,gencodeId,tissue,age,gender,TPMs
0,NBN,ENSG00000104320.13,Artery_Aorta,20-29,male,"[18.24, 25.57, 15.17, 15.69, 13.02, 13.02, 16.46, 16.2, 19.99, 15.17, 16.35, 19.91, 15.68, 11.86, 16.2, 18.21, 18.69, 22.45, 16.46, 19.86, 16.39, 17.54, 21.78, 19.2, 16.01, 16.35, 16.21, 13.02, 13.66, 12.85, 15.17]"
1,NBN,ENSG00000104320.13,Artery_Aorta,20-29,female,"[13.83, 18.7, 18.7, 16.2, 19.71, 16.56, 25.07, 18.7, 18.7, 18.7, 18.7, 19.86, 20.95, 21.12, 18.21, 15.36, 18.01, 20.31, 19.54, 15.02]"
2,NBN,ENSG00000104320.13,Artery_Aorta,30-39,male,"[15.91, 16.88, 20.72, 17.02, 16.12, 23.28, 21.02, 14.2, 15.91, 16.12, 18.83, 23.58, 19.57, 16.57, 19.95, 16.84, 20.49, 21.75, 19.1, 20.72, 20.78, 23.33, 22.24, 20.75, 19.57, 16.02, 23.19, 18.79, 20.75, 25.62, 25.62, 18.87, 18.25, 20.1]"
3,NBN,ENSG00000104320.13,Artery_Aorta,30-39,female,"[18.83, 16.9, 22.47, 22.68, 18.54, 20.78, 20.49, 18.25, 24.52, 16.57, 22.0, 19.41, 19.05, 21.75, 21.05, 12.19, 19.05]"
4,NBN,ENSG00000104320.13,Artery_Aorta,40-49,male,"[15.91, 15.17, 20.26, 20.69, 23.54, 19.84, 23.88, 17.86, 18.03, 17.45, 16.2, 18.42, 15.17, 19.47, 15.91, 19.89, 18.42, 15.79, 14.95, 17.97, 16.57, 19.53, 18.18, 23.31, 14.42, 15.5, 20.3, 18.05, 16.2, 29.41, 18.21, 20.78, 19.29, 9.471, 12.99, 16.29, 19.53, 19.56, 13.17, 13.38, 16.65, 15.5, 21.54, 19.15, 20.74, 17.75, 19.16, 25.62, 25.62, 18.64, 19.82, 15.81, 18.64, 21.26, 20.13, 14.71, 17.33, 25.74, 25.74, 18.05, 15.17]"
5,NBN,ENSG00000104320.13,Artery_Aorta,40-49,female,"[13.54, 12.11, 14.42, 16.2, 15.53, 17.97, 25.74, 25.74, 18.64, 20.29, 13.38, 18.42, 20.13, 13.74, 16.29, 17.04, 20.78, 19.84, 24.88, 16.57, 14.42, 18.18, 18.21, 17.86, 24.7, 15.44, 20.3, 24.97, 16.8, 23.43, 26.27, 31.48, 25.26, 25.26, 18.05, 25.26, 25.26, 16.48]"
6,NBN,ENSG00000104320.13,Artery_Aorta,50-59,male,"[14.68, 14.84, 24.95, 21.79, 11.85, 11.92, 15.05, 15.37, 15.37, 13.64, 19.38, 19.01, 13.8, 19.34, 19.34, 15.25, 15.33, 17.46, 13.36, 22.36, 13.02, 13.02, 17.86, 14.85, 16.46, 19.74, 21.79, 21.2, 16.2, 18.42, 16.67, 13.55, 26.86, 15.67, 13.72, 20.82, 18.83, 17.72, 18.34, 19.34, 19.34, 16.71, 18.48, 18.48, 15.04, 26.42, 18.42, 13.15, 19.94, 19.31, 21.23, 19.77, 20.5, 15.65, 18.96, 23.62, 24.8, 19.34, 19.34, 20.15, 14.0, 19.53, 18.18, 14.42, 14.42, 20.67, 20.3, 18.05, 12.43, 14.36, 21.28, 21.0, 15.71, 16.2, 22.23, 22.2, 25.27, 21.01, 18.17, 23.79, 18.62, 6.661, 14.86, 16.46, 19.86, 16.29, 12.73, 13.52, 19.53, 20.39, 16.67, 25.48, 13.38, 19.85, 19.85, 16.51, 19.73, 15.42, 17.18, 18.06, 22.16, 15.33, 14.45, 18.48, 18.48, 13.51, 12.07, 18.84, 20.38, 20.66, 18.93, 19.03, 24.48, 17.49, 20.13, 13.02, 13.15, 12.17, 14.55, 15.34, 25.38, 18.05, 20.22, 14.11, 14.41, 16.49, 13.15]"
7,NBN,ENSG00000104320.13,Artery_Aorta,50-59,female,"[20.81, 21.48, 18.83, 23.9, 18.82, 14.42, 14.42, 18.86, 16.2, 18.48, 18.48, 24.98, 17.09, 12.98, 23.62, 19.85, 19.85, 16.1, 13.25, 19.67, 13.38, 14.0, 18.42, 19.72, 18.53, 20.81, 20.13, 19.17, 16.29, 18.9, 17.07, 20.98, 20.98, 16.06, 16.06, 22.29, 25.48, 19.86, 13.88, 24.55, 19.25, 11.04, 15.37, 15.37, 18.94, 14.42, 14.42, 18.18, 12.43, 19.05, 17.86, 14.22, 23.45, 15.97, 22.84, 19.88, 10.86, 20.3, 20.98, 20.98, 22.97, 9.92, 20.03, 25.19, 18.05, 16.54, 19.93, 24.21, 15.98, 19.05]"
8,NBN,ENSG00000104320.13,Artery_Aorta,60-69,male,"[17.2, 14.75, 15.89, 17.91, 18.68, 21.79, 19.32, 18.14, 15.17, 20.72, 13.9, 17.95, 26.52, 10.29, 18.43, 15.2, 19.35, 16.12, 19.84, 17.31, 18.16, 19.34, 17.32, 15.33, 13.57, 17.67, 13.02, 13.02, 15.21, 17.3, 10.6, 21.79, 18.1, 18.42, 15.17, 16.67, 13.98, 22.55, 16.61, 17.22, 16.12, 15.41, 20.23, 15.39, 25.24, 19.34, 18.48, 16.79, 16.79, 19.57, 17.94, 17.94, 18.42, 23.56, 16.35, 13.15, 13.15, 17.94, 17.94, 17.97, 16.45, 18.33, 19.78, 23.62, 19.34, 29.68, 19.23, 20.49, 25.14, 15.5, 21.75, 16.79, 16.79, 20.11, 18.05, 12.43, 19.28, 20.72, 11.2, 23.61, 17.78, 20.75, 18.12, 17.83, 16.67, 19.57, 25.48, 15.5, 18.0, 19.09, 19.09, 15.33, 22.94, 16.18, 18.48, 20.75, 13.6, 18.64, 18.64, 16.35, 15.47, 18.64, 18.64, 19.09, 19.09, 15.52, 13.02, 13.15, 13.15, 14.77, 21.74, 18.05, 18.6, 18.6, 15.17, 15.75, 23.63, 11.45, 18.25, 13.15, 13.15]"
9,NBN,ENSG00000104320.13,Artery_Aorta,60-69,female,"[17.44, 18.6, 18.6, 20.81, 18.7, 14.74, 20.17, 11.42, 24.2, 19.62, 19.62, 27.85, 18.48, 21.35, 19.62, 19.62, 13.68, 17.17, 17.97, 33.3, 23.62, 15.56, 13.49, 13.91, 11.46, 18.64, 18.64, 22.66, 18.7, 18.42, 20.81, 18.7, 20.07, 16.06, 19.61, 16.06, 19.84, 20.93, 25.48, 21.16, 20.49, 16.6, 30.3, 18.25, 21.97, 12.63, 11.82, 18.66, 12.43, 21.75, 11.39, 18.76, 21.08, 16.22, 24.67, 19.7, 23.8, 18.05, 15.13, 17.23, 12.51]"
10,NBN,ENSG00000104320.13,Artery_Aorta,70-79,male,"[17.34, 14.05, 13.09, 18.46, 16.4, 29.13, 14.0]"
11,NBN,ENSG00000104320.13,Artery_Aorta,70-79,female,"[16.72, 14.0, 18.4]"
