,gene,gencodeId,tissue,age,gender,TPMs
0,NCOR1,ENSG00000141027.20,Artery_Coronary,20-29,male,"[32.92, 23.84, 29.31, 37.61, 31.08, 23.96, 21.11, 31.3]"
1,NCOR1,ENSG00000141027.20,Artery_Coronary,20-29,female,"[22.28, 11.82, 25.75, 26.39, 34.8, 19.39]"
2,NCOR1,ENSG00000141027.20,Artery_Coronary,30-39,male,"[16.43, 31.34, 21.55, 33.77, 26.29, 28.22, 25.12, 26.29]"
3,NCOR1,ENSG00000141027.20,Artery_Coronary,30-39,female,"[18.01, 26.29, 23.45, 30.95, 20.18, 30.9]"
4,NCOR1,ENSG00000141027.20,Artery_Coronary,40-49,male,"[24.18, 21.22, 27.25, 24.64, 25.66, 28.4, 26.78, 37.49, 20.9, 27.11, 26.73, 18.31, 21.29, 20.58, 26.23, 12.48, 22.52, 21.88]"
5,NCOR1,ENSG00000141027.20,Artery_Coronary,40-49,female,"[28.03, 25.34, 20.22, 30.63, 23.03, 23.23, 30.52, 37.05, 29.76, 28.21, 24.73, 28.03, 35.08, 27.95, 13.85, 36.22, 17.04, 21.52, 23.13, 25.32]"
6,NCOR1,ENSG00000141027.20,Artery_Coronary,50-59,male,"[19.25, 27.67, 27.76, 24.22, 24.13, 24.59, 21.43, 28.47, 23.64, 19.31, 24.71, 19.58, 18.63, 16.52, 16.52, 16.31, 23.27, 21.47, 29.33, 21.47, 30.41, 33.3, 37.99, 19.43, 24.97, 26.53, 31.79, 16.75, 20.12, 27.35, 25.13, 29.15, 26.46, 37.17, 26.09, 31.55, 24.97, 25.63, 29.52, 22.91, 33.68, 30.74, 23.5, 40.17, 26.24, 28.77, 31.94, 27.51, 24.68, 26.98, 26.68, 28.18, 19.33, 19.31, 27.47, 27.26, 30.23, 37.12, 25.89, 22.21, 30.88, 24.9, 23.57, 23.57, 20.53, 9.907, 18.81, 22.56, 29.52, 13.52, 19.1]"
7,NCOR1,ENSG00000141027.20,Artery_Coronary,50-59,female,"[23.85, 18.11, 20.76, 17.61, 16.84, 30.45, 22.21, 24.75, 22.53, 42.2, 25.87, 25.99, 29.46, 37.29, 28.98, 24.13, 20.13, 21.6, 31.42, 41.44, 30.1, 20.16, 34.88, 24.05, 29.58, 29.47, 23.57, 23.57, 21.4, 16.52, 16.52, 25.33, 23.05, 14.36]"
8,NCOR1,ENSG00000141027.20,Artery_Coronary,60-69,male,"[17.3, 31.64, 17.21, 19.95, 26.44, 24.13, 24.04, 20.74, 26.12, 19.31, 25.0, 18.36, 21.31, 32.71, 21.47, 32.83, 37.52, 21.47, 14.01, 28.45, 30.32, 22.62, 23.19, 24.88, 24.97, 22.0, 17.86, 28.3, 29.6, 27.49, 29.43, 37.82, 34.27, 24.97, 28.29, 26.29, 26.29, 19.0, 29.52, 17.8, 18.9, 27.66, 29.36, 20.1, 23.1, 28.73, 19.31, 22.21, 24.38, 29.52, 26.29, 26.29]"
9,NCOR1,ENSG00000141027.20,Artery_Coronary,60-69,female,"[24.87, 28.92, 32.65, 22.96, 21.38, 29.28, 28.03, 17.16, 28.69, 26.29, 26.29, 21.54, 29.9, 20.88, 22.21, 24.17, 21.98, 23.86, 24.44, 24.13, 32.44, 32.33, 28.72, 30.51, 28.03, 36.4, 31.53, 31.52, 25.26, 24.94, 16.64, 19.61, 21.33, 15.26, 26.94]"
10,NCOR1,ENSG00000141027.20,Artery_Coronary,70-79,male,"[22.54, 17.57, 22.66, 29.19, 25.62]"
11,NCOR1,ENSG00000141027.20,Artery_Coronary,70-79,female,[31.15]
