,gene,gencodeId,tissue,age,gender,TPMs
0,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,20-29,male,"[13.66, 21.75, 21.7, 13.82]"
1,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,20-29,female,"[21.75, 15.0, 15.0]"
2,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,30-39,male,"[14.49, 22.97]"
3,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,30-39,female,"[21.71, 34.49]"
4,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,40-49,male,"[10.29, 20.18, 15.12, 18.8, 18.8, 13.27, 23.52, 32.19, 13.93, 17.66, 21.39, 15.19, 9.828]"
5,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,40-49,female,"[21.19, 14.23, 12.27, 15.12, 27.3, 24.5]"
6,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,50-59,male,"[21.42, 18.26, 18.46, 20.97, 8.287, 11.78, 15.72, 7.712, 25.0, 14.19, 17.17, 13.8, 16.27, 16.49, 14.8, 10.91, 14.86, 12.0, 13.72, 11.21, 20.31, 20.75, 10.45, 15.98, 23.75, 12.91, 21.32, 12.0, 19.52, 13.49, 16.34, 18.25, 15.63, 15.42, 13.1, 10.48, 14.86, 11.88, 21.47, 12.8, 16.34, 16.17, 13.49, 12.96, 15.31, 19.45, 23.12, 23.08, 23.0, 27.86, 8.737, 35.52, 16.87, 15.39]"
7,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,50-59,female,"[16.87, 4.445, 13.67, 12.51, 13.45, 12.37, 15.99, 12.8, 13.12, 16.01, 16.87, 18.17, 15.0, 15.63, 15.97, 30.14, 15.0, 6.23]"
8,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,60-69,male,"[17.23, 17.23, 16.35, 13.83, 13.83, 13.83, 12.05, 11.14, 11.14, 9.661, 21.75, 18.06, 13.83, 13.83, 13.83, 13.53, 15.92, 15.92, 8.645, 16.63, 19.77, 9.56, 12.59, 12.59, 8.663, 18.3, 15.49, 6.243, 11.83, 14.86, 17.44, 9.019, 5.281, 6.417, 12.75, 17.06, 13.2, 20.88, 7.449, 25.4, 25.9, 8.041, 19.02, 12.45, 17.58, 14.17, 11.48, 15.8, 12.43, 11.79, 13.49, 13.48, 15.12, 22.98, 16.34, 10.86, 16.02, 15.63, 17.01, 12.12, 12.59, 12.59, 15.92, 15.92, 4.465, 11.14, 11.14, 18.8, 13.18, 18.8, 10.25, 16.29, 14.86, 17.23, 17.23, 8.9, 10.98, 12.8, 16.34, 18.98, 19.17, 13.6, 14.34, 13.49, 16.16, 30.78, 13.83, 13.83, 13.83, 24.8, 5.804, 17.75, 23.17, 16.87, 16.87, 17.9, 17.84, 20.53, 8.346]"
9,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,60-69,female,"[14.28, 9.927, 15.38, 11.8, 16.87, 16.87, 18.79, 11.43, 17.34, 11.27, 18.83, 21.75, 15.3, 13.41, 13.0, 12.8, 19.25, 16.87, 16.87, 15.63, 11.0, 5.587, 10.08, 8.22, 15.12, 14.51, 29.53, 6.054, 13.16, 34.32, 13.78, 13.05, 21.82, 10.68, 14.39]"
10,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,70-79,male,"[17.56, 7.854, 13.21, 12.0, 19.47, 12.0, 7.663, 20.08, 14.43, 30.99, 7.355]"
11,NCOR1,ENSG00000141027.20,Brain_Frontal_Cortex_BA9,70-79,female,"[15.85, 5.44]"
