,gene,gencodeId,tissue,age,gender,TPMs
0,NFE2L1,ENSG00000082641.15,Kidney_Cortex,20-29,male,[68.16]
1,NFE2L1,ENSG00000082641.15,Kidney_Cortex,20-29,female,[]
2,NFE2L1,ENSG00000082641.15,Kidney_Cortex,30-39,male,"[171.5, 127.0, 61.71, 137.0, 38.85, 104.8]"
3,NFE2L1,ENSG00000082641.15,Kidney_Cortex,30-39,female,"[129.8, 90.92]"
4,NFE2L1,ENSG00000082641.15,Kidney_Cortex,40-49,male,"[111.2, 62.07, 45.16, 63.64, 30.57, 145.1]"
5,NFE2L1,ENSG00000082641.15,Kidney_Cortex,40-49,female,"[64.97, 53.14]"
6,NFE2L1,ENSG00000082641.15,Kidney_Cortex,50-59,male,"[100.6, 70.88, 53.58, 123.0, 60.43, 131.8, 38.9, 56.53, 48.35, 85.17, 119.3, 67.5, 45.69, 30.29, 71.88, 98.5, 70.93, 172.7, 116.3, 130.0, 109.0, 131.7, 115.2]"
7,NFE2L1,ENSG00000082641.15,Kidney_Cortex,50-59,female,"[74.02, 56.8, 57.26, 42.81, 62.51, 113.9]"
8,NFE2L1,ENSG00000082641.15,Kidney_Cortex,60-69,male,"[75.75, 35.72, 114.6, 40.83, 120.7, 137.9, 68.37, 62.13, 171.3, 72.51, 76.63, 56.02, 57.64, 63.96, 67.66, 89.16, 38.72, 116.6, 167.1, 45.92, 60.97, 106.8, 42.04, 82.93, 33.37, 125.5]"
9,NFE2L1,ENSG00000082641.15,Kidney_Cortex,60-69,female,"[162.2, 191.6, 49.21, 69.46, 154.7, 134.9, 67.37, 67.79, 131.1]"
10,NFE2L1,ENSG00000082641.15,Kidney_Cortex,70-79,male,"[88.01, 86.2, 103.7, 121.5]"
11,NFE2L1,ENSG00000082641.15,Kidney_Cortex,70-79,female,[]
