,gene,gencodeId,tissue,age,gender,TPMs
0,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,20-29,male,"[3.055, 4.407, 5.539, 4.824]"
1,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,20-29,female,[3.1]
2,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,30-39,male,"[3.994, 6.493]"
3,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,30-39,female,"[6.121, 7.091]"
4,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,40-49,male,"[4.172, 4.037, 6.114, 4.221, 2.449, 4.811, 8.519, 4.655, 5.061, 4.172, 4.35, 3.668]"
5,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,40-49,female,"[5.406, 5.431, 3.446, 4.635, 6.003, 6.847]"
6,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,50-59,male,"[5.463, 5.789, 4.458, 4.637, 4.447, 2.906, 4.996, 2.19, 4.172, 4.641, 5.645, 3.91, 4.329, 4.888, 4.542, 3.066, 3.267, 3.36, 4.721, 5.232, 2.992, 5.247, 4.637, 5.259, 3.805, 5.242, 2.261, 4.402, 1.747, 3.77, 5.339, 3.601, 3.741, 2.459, 6.578, 4.072, 4.044, 3.338, 5.354, 3.653, 5.415, 5.717, 6.444, 5.271, 6.423, 4.172, 4.217, 11.4, 3.173]"
7,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,50-59,female,"[3.386, 1.052, 11.7, 3.133, 2.608, 3.541, 5.532, 3.528, 6.805, 4.852, 5.259, 5.274, 4.936, 9.006, 8.607, 5.684, 1.71]"
8,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,60-69,male,"[3.935, 3.996, 3.951, 4.637, 11.04, 3.158, 3.872, 5.025, 3.498, 3.629, 4.735, 1.916, 5.397, 6.019, 3.118, 3.146, 5.559, 17.74, 6.232, 1.878, 4.311, 4.311, 4.311, 4.311, 4.713, 3.746, 1.854, 2.641, 3.388, 4.51, 4.637, 5.259, 6.376, 2.135, 5.69, 6.153, 2.731, 5.243, 3.156, 5.139, 3.93, 2.094, 3.699, 2.63, 7.813, 3.507, 4.441, 20.95, 3.657, 4.391, 4.094, 5.338, 2.793, 3.647, 6.879, 2.348, 3.457, 3.457, 6.731, 4.207, 3.75, 4.259, 4.073, 3.051, 2.948, 2.767, 4.096, 4.386, 4.358, 3.971, 3.457, 3.457, 5.022, 4.123, 6.881, 4.364, 8.424, 1.68, 5.47, 9.31, 4.828, 4.377, 5.472, 5.473, 2.041]"
9,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,60-69,female,"[3.316, 4.406, 5.262, 2.969, 4.907, 2.836, 4.789, 7.328, 5.168, 5.216, 4.005, 14.85, 4.583, 4.809, 5.259, 4.069, 2.123, 3.799, 2.487, 4.181, 6.186, 3.963, 3.236, 7.29, 7.196, 4.316, 9.552, 2.983, 3.756]"
10,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,70-79,male,"[5.409, 3.176, 7.326, 3.356, 6.084, 2.942, 6.817, 4.563, 7.223, 2.067]"
11,NFKB1,ENSG00000109320.11,Brain_Frontal_Cortex_BA9,70-79,female,"[3.738, 1.941]"
