,gene,gencodeId,tissue,age,gender,TPMs
0,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,20-29,male,"[43.48, 26.36, 36.78, 150.9, 110.4, 28.19, 51.22, 51.05, 58.66, 64.47, 22.41, 87.39, 25.46, 26.44, 101.5, 112.8, 56.81, 54.51, 32.11, 63.27, 53.94, 56.81, 80.91, 49.49, 80.3, 36.05, 37.58, 43.46, 45.83, 98.66, 50.21]"
1,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,20-29,female,"[76.65, 49.54, 77.74, 54.51, 67.75, 71.85, 30.97, 28.2, 27.97, 21.81, 16.69, 76.44, 50.33, 30.87, 18.72, 32.61]"
2,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,30-39,male,"[17.34, 34.48, 35.13, 29.77, 44.06, 44.18, 79.1, 18.09, 34.01, 130.7, 57.26, 54.48, 55.53, 39.73, 43.02, 29.73, 45.65, 24.14, 63.51, 24.14, 51.32, 27.76, 18.3, 39.95, 28.82, 23.86, 26.37, 34.01, 60.14, 30.3, 61.37, 40.76, 29.01]"
3,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,30-39,female,"[32.96, 26.96, 40.55, 79.1, 24.94, 118.9, 41.22, 41.5, 65.45, 56.44, 29.49, 27.76, 52.61, 22.19, 63.88]"
4,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,40-49,male,"[33.27, 9.831, 36.1, 70.97, 39.58, 55.2, 16.91, 79.1, 41.51, 93.91, 38.15, 34.01, 33.9, 43.17, 29.19, 28.35, 76.1, 41.33, 42.16, 25.17, 27.95, 44.31, 41.16, 50.09, 51.89, 77.29, 23.72, 46.26, 45.61, 35.26, 32.04, 24.01, 22.99, 35.33, 42.16, 106.7, 37.24, 13.45, 34.01, 46.07, 38.22, 41.13, 53.71, 37.16, 19.1, 18.65, 41.18, 34.3, 32.09, 46.07, 33.9, 47.51, 29.36, 37.97, 31.28, 19.86, 56.39, 36.1]"
5,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,40-49,female,"[43.17, 46.08, 46.08, 75.99, 32.19, 21.97, 103.4, 37.48, 79.1, 47.09, 21.82, 21.9, 14.47, 28.28, 11.23, 24.92, 53.96, 37.16, 28.28, 21.97, 35.71, 38.26, 39.63, 27.16, 53.98, 38.59, 23.8, 30.85, 50.52, 63.02, 21.12, 25.17, 39.91, 94.59, 33.89, 33.41, 15.89, 44.31, 33.68, 14.82, 41.53]"
6,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,50-59,male,"[32.06, 60.84, 50.58, 70.52, 25.75, 30.71, 25.79, 41.72, 98.97, 36.03, 35.67, 19.69, 44.54, 42.59, 27.49, 41.03, 18.43, 37.72, 36.1, 39.09, 69.89, 20.55, 73.18, 41.1, 36.09, 24.49, 39.61, 32.97, 51.93, 35.28, 39.7, 42.35, 18.79, 30.27, 37.83, 37.83, 17.51, 23.44, 28.87, 23.99, 87.08, 36.17, 28.46, 35.6, 36.06, 25.79, 20.54, 36.97, 37.83, 37.83, 36.59, 26.4, 18.67, 42.43, 50.29, 179.7, 51.58, 16.39, 29.91, 57.93, 28.0, 36.81, 18.79, 118.5, 41.72, 35.21, 21.27, 59.92, 46.75, 24.11, 35.09, 66.46, 25.17, 44.37, 34.4, 49.27, 40.64, 36.08, 18.95, 27.11, 44.07, 24.02, 53.44, 58.41, 22.9, 21.07, 49.02, 21.22, 54.89, 42.18, 73.23, 71.02, 24.14, 28.95, 37.31, 12.43, 27.51, 39.24, 31.41, 24.14, 21.09, 27.9, 27.76, 36.44, 74.97, 44.38, 67.72, 83.75, 34.51, 34.15, 31.02, 25.13, 46.07, 17.21, 37.16, 34.44, 55.37, 19.39, 37.38, 88.57, 27.88, 40.54, 54.82, 29.3, 37.66, 26.08, 21.34, 36.13, 25.32, 35.91, 49.35, 46.07, 26.56, 29.88, 90.35, 40.16, 12.83, 36.1, 102.8, 60.52, 22.7, 39.4, 25.03]"
7,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,50-59,female,"[32.47, 51.69, 31.97, 47.33, 21.97, 49.28, 35.72, 24.48, 22.97, 32.05, 29.22, 76.16, 21.76, 41.64, 24.84, 39.31, 35.21, 28.25, 39.23, 42.35, 37.16, 35.08, 48.12, 21.97, 55.97, 39.24, 61.67, 11.37, 16.45, 90.33, 57.02, 38.98, 27.38, 61.59, 48.93, 22.51, 24.37, 42.25, 18.85, 38.75, 27.76, 66.97, 74.66, 25.17, 27.26, 63.48, 108.8, 28.36, 150.0, 61.84, 18.35, 44.62, 53.03, 23.84, 127.3, 26.02]"
8,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,60-69,male,"[23.67, 44.89, 38.51, 32.94, 36.24, 29.08, 25.79, 41.72, 40.01, 15.43, 21.3, 43.34, 26.88, 30.25, 27.01, 40.53, 21.45, 36.25, 74.93, 47.86, 24.08, 23.22, 43.94, 46.01, 25.72, 29.37, 103.3, 45.48, 60.76, 42.35, 18.79, 32.36, 32.36, 44.51, 35.98, 45.93, 25.79, 44.74, 32.26, 52.88, 33.9, 79.45, 36.31, 43.42, 43.17, 56.3, 29.61, 18.79, 73.4, 37.28, 89.83, 36.37, 66.77, 81.94, 41.72, 35.21, 31.27, 36.83, 42.16, 21.02, 29.21, 52.84, 44.81, 36.95, 40.37, 42.53, 27.46, 44.31, 48.5, 28.58, 39.67, 32.36, 32.36, 67.0, 38.43, 35.01, 32.36, 32.36, 53.46, 35.36, 37.86, 51.81, 29.97, 34.7, 51.16, 41.98, 46.11, 51.09, 23.77, 28.09, 31.36, 36.73, 31.87, 31.37, 52.37, 39.24, 16.24, 56.81, 70.21, 42.16, 45.56, 59.23, 54.51, 25.23, 49.8, 62.07, 61.41, 37.15, 42.92, 56.81, 66.83, 29.62, 40.63, 23.14, 50.64, 16.35, 65.12, 18.83, 33.9, 58.78, 34.2, 24.7, 23.46, 60.17, 32.21, 42.85, 60.35]"
9,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,60-69,female,"[37.21, 13.36, 43.81, 17.53, 48.75, 43.17, 46.08, 46.08, 22.04, 44.29, 32.1, 37.9, 54.51, 54.88, 41.91, 35.34, 19.81, 34.69, 29.2, 28.06, 45.14, 28.93, 22.44, 26.57, 20.91, 41.0, 28.28, 43.47, 35.21, 42.35, 28.28, 39.24, 46.46, 36.18, 34.59, 82.28, 43.63, 42.87, 25.15, 27.2, 50.25, 86.44, 45.63, 37.87, 50.87, 42.79, 23.5, 39.71, 44.31, 24.75, 43.41, 12.77, 34.95, 12.36]"
10,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,70-79,male,"[56.8, 124.1, 38.87, 84.83, 32.36, 48.96, 52.1, 35.66, 23.26, 20.56, 32.36, 91.07, 32.36, 95.28, 31.7, 52.97, 43.19]"
11,NFKB2,ENSG00000077150.18,Adipose_Visceral_Omentum,70-79,female,"[60.51, 43.06, 48.04, 19.67]"
