,gene,gencodeId,tissue,age,gender,TPMs
0,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[1.275]
1,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[1.942, 1.086, 1.886]"
2,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[2.143, 1.499, 1.486]"
3,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[1.625]
4,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[1.542, 1.712, 1.409, 0.3836, 0.9383, 1.458, 2.249, 0.4638, 1.687, 0.4266, 1.384, 0.963, 1.181, 1.159, 1.817, 1.35, 0.9077, 1.851]"
5,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[0.7121, 2.091, 0.6391, 0.6033, 0.8304, 1.736, 1.712]"
6,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[1.631, 1.063, 1.466, 0.101, 1.712, 1.222, 0.4411, 0.7864, 2.071, 1.699, 0.772, 1.127, 2.811, 1.544, 2.568, 1.27, 1.144, 1.911, 1.731, 1.392, 0.9239, 1.36, 1.439, 0.9977, 0.6995, 1.975, 1.624, 1.025, 1.21, 1.127, 2.742, 1.578, 2.507]"
7,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[0.3168, 0.5195, 1.624, 2.015, 0.7248, 2.247, 1.82, 2.052, 1.108, 2.068, 1.712]"
8,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[1.505, 0.4341, 1.62, 1.543, 1.543, 1.006, 2.197, 1.564, 1.421, 1.184, 1.095, 1.291, 1.397, 1.258, 1.223, 1.127, 1.727, 1.569, 0.4373, 0.653, 1.763, 0.7641, 2.17, 0.3192, 0.627, 1.105, 2.181, 2.0, 0.8863, 1.56, 1.56, 1.56, 1.56, 1.302, 1.461, 0.6264, 1.364, 1.624, 1.051, 1.572, 2.282, 0.4888, 2.042, 1.217, 0.2371, 1.24, 2.165, 1.131, 1.127, 2.398, 1.543, 1.543, 1.556, 2.077, 1.57, 1.348, 1.774, 0.9452, 1.437, 1.487, 1.488, 1.71, 0.3268, 1.626, 2.133, 2.179, 1.652, 1.269, 1.168, 1.303]"
9,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[0.6988, 0.3069, 1.003, 2.424, 1.213, 0.3047, 1.056, 1.753, 1.23, 1.624, 3.006, 1.161, 0.5714, 1.323, 1.465, 0.6821, 0.8246, 1.052, 0.6528, 1.932, 1.338, 0.7804, 0.6642, 10.97, 0.5806, 0.938]"
10,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[1.637, 0.3483, 3.067, 1.5, 0.3766, 0.27, 0.9819, 0.3743, 1.854, 0.9756, 2.441]"
11,NGF,ENSG00000134259.3,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[1.786, 1.417]"
