,gene,gencodeId,tissue,age,gender,TPMs
0,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,20-29,male,"[0.6887, 3.679, 0.1959]"
1,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,20-29,female,[0.2194]
2,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,30-39,male,[0.6706]
3,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,30-39,female,[0.2076]
4,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,40-49,male,"[0.9397, 0.07021, 0.1234, 0.3226, 1.142, 0.9489, 0.3101]"
5,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,40-49,female,"[0.2551, 0.8733, 0.06281, 0.09864, 0.05852, 0.4871, 0.3584, 0.06343, 0.7382]"
6,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,50-59,male,"[1.254, 0.6816, 0.1316, 0.1221, 0.6396, 0.386, 0.1095, 1.14, 0.8017, 0.7114, 0.364, 2.511, 0.4373, 0.4349, 0.1282, 1.059, 1.276, 0.7901, 0.3756, 0.1372, 1.716, 0.7473, 0.08365, 0.1658, 0.3455, 0.2633, 0.4487, 0.5301, 0.1516, 0.1927, 0.1936]"
7,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,50-59,female,"[0.1102, 0.09196, 0.05802, 1.321, 3.769, 0.5898, 0.6807, 0.608, 0.06036, 0.04869, 4.468, 0.1239, 0.4495, 0.2611, 1.329, 0.1474]"
8,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,60-69,male,"[0.2271, 0.1322, 0.1223, 0.4021, 1.421, 0.3826, 0.07372, 0.5167, 0.3809, 0.3655, 0.4702, 1.026, 0.187, 0.5622, 0.06185, 0.2794, 0.4562, 0.01426, 0.4895, 0.07214, 0.1124, 1.012, 0.254, 1.319, 0.2721, 0.05465, 0.07062, 3.134, 0.1054, 0.08571, 0.2679, 0.8769, 0.00754, 0.08182, 0.145, 0.2235, 0.07723, 0.8383, 3.846, 0.1253, 6.975, 0.3601, 0.2169, 0.4227, 0.5845, 0.1004, 0.102, 0.07471, 0.5482, 0.08888]"
9,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,60-69,female,"[0.1334, 0.8488, 0.4302, 0.5816, 0.3257, 0.1526, 0.2496, 0.1206, 1.335, 0.2918, 0.07941, 0.2217, 0.1289, 0.1089, 0.08389, 0.1958, 0.1553, 0.246, 0.4374, 0.2142, 0.7131, 0.141, 0.01234, 0.3005, 2.597, 1.364, 0.3104, 0.6838]"
10,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,70-79,male,"[0.1082, 0.468, 0.2699, 0.186, 0.1951, 0.1085, 0.1119, 1.151, 0.2488, 0.3661]"
11,NRG1,ENSG00000157168.18,Brain_Spinal_cord_cervical_c-1,70-79,female,"[0.1457, 0.1612]"
