,gene,gencodeId,tissue,age,gender,TPMs
0,PCK1,ENSG00000124253.10,Brain_Hypothalamus,20-29,male,"[0.08951, 0.1789, 2.147]"
1,PCK1,ENSG00000124253.10,Brain_Hypothalamus,20-29,female,[0.1417]
2,PCK1,ENSG00000124253.10,Brain_Hypothalamus,30-39,male,"[0.1628, 5.894, 0.1776]"
3,PCK1,ENSG00000124253.10,Brain_Hypothalamus,30-39,female,"[1.221, 0.4361]"
4,PCK1,ENSG00000124253.10,Brain_Hypothalamus,40-49,male,"[0.23, 0.2228, 0.189, 1.166, 0.06187, 1.913, 0.2854, 0.5721, 1.061, 0.455, 0.7758, 0.4955]"
5,PCK1,ENSG00000124253.10,Brain_Hypothalamus,40-49,female,"[0.2707, 1.166, 1.663, 0.7138, 0.3351, 0.189]"
6,PCK1,ENSG00000124253.10,Brain_Hypothalamus,50-59,male,"[2.884, 1.168, 2.687, 0.2294, 0.2959, 0.9871, 1.033, 0.3016, 0.6022, 0.3332, 1.188, 0.2713, 1.842, 1.955, 1.027, 0.2902, 0.04995, 2.427, 0.3684, 0.14, 1.031, 0.4251, 6.758, 0.6474, 1.119, 0.3277, 1.842, 0.9228, 0.189, 2.421, 0.4205, 0.1565, 1.585, 0.7223, 1.463, 0.2663, 0.4638, 8.133, 10.3, 1.595, 1.05, 0.1995, 1.108, 1.42, 27.73, 0.5278, 0.1644]"
7,PCK1,ENSG00000124253.10,Brain_Hypothalamus,50-59,female,"[0.2074, 1.137, 0.4813, 2.965, 2.16, 2.357, 1.152, 1.027, 0.4914, 2.009, 0.2757, 4.48, 0.2888, 0.8148, 1.078, 0.189]"
8,PCK1,ENSG00000124253.10,Brain_Hypothalamus,60-69,male,"[0.2437, 0.2025, 0.2349, 0.7891, 0.1643, 0.9431, 0.8073, 0.4273, 1.587, 0.05464, 0.4421, 0.3281, 2.037, 5.552, 3.194, 0.9826, 4.589, 1.842, 1.046, 0.7606, 1.262, 1.027, 0.8429, 0.588, 0.6864, 0.3629, 0.7347, 0.1391, 0.1729, 0.1575, 0.3369, 1.455, 0.7218, 2.155, 27.29, 0.3334, 0.4891, 0.3734, 0.06914, 1.842, 1.096, 0.212, 0.3802, 1.166, 0.337, 0.3099, 0.8831, 0.4082, 0.5111, 2.645, 0.7631, 1.39, 0.4305, 5.949, 0.672, 0.4442, 0.5806, 0.2924, 0.5953, 4.193, 0.273, 0.4834, 0.2926, 1.101, 0.9009, 0.1077, 1.741, 2.751, 0.7514, 0.7308, 0.3759, 1.512, 6.566, 0.04889, 0.2128, 1.88, 0.7435, 0.8356]"
9,PCK1,ENSG00000124253.10,Brain_Hypothalamus,60-69,female,"[1.91, 0.5332, 3.949, 0.5997, 0.2019, 1.035, 1.972, 1.265, 0.3693, 1.166, 0.4424, 0.4547, 1.027, 0.9778, 2.363, 3.069, 0.499, 2.25, 3.637, 1.272, 1.642, 1.622, 1.858, 0.3522, 0.9189, 21.22, 1.145, 5.723, 0.5656, 0.08649]"
10,PCK1,ENSG00000124253.10,Brain_Hypothalamus,70-79,male,"[2.024, 1.341, 0.4859, 0.343, 1.819, 1.598, 2.488, 0.1114, 4.694]"
11,PCK1,ENSG00000124253.10,Brain_Hypothalamus,70-79,female,"[0.8086, 0.3225, 0.216]"
