,gene,gencodeId,tissue,age,gender,TPMs
0,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,20-29,male,"[13.31, 15.27, 10.82, 8.906, 12.1, 11.35, 13.55, 10.17, 10.65, 9.46, 15.98, 12.35, 11.79, 14.26, 15.27, 12.12, 15.98, 11.29, 11.79, 7.042, 12.58, 13.31, 10.44, 7.461, 12.06, 14.09, 17.73, 12.58, 12.71, 12.06, 10.99, 10.82, 8.905, 10.65, 8.822, 12.35, 16.17, 15.88, 19.21, 10.88, 12.12, 10.88, 12.14, 14.84, 8.922, 15.52, 15.27, 14.26, 12.5, 12.12, 12.4, 10.67, 10.67, 12.71, 11.53, 11.35]"
1,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,20-29,female,"[7.414, 15.27, 9.766, 11.79, 10.99, 12.58, 12.5, 10.85, 12.71, 12.71, 14.07, 19.19, 14.07, 10.11, 13.31, 9.697, 12.08, 12.06, 6.553, 12.24, 17.23, 13.55, 10.39, 13.55, 10.84, 10.44, 12.12]"
2,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,30-39,male,"[14.5, 12.03, 15.27, 12.84, 12.38, 11.91, 12.23, 12.21, 13.3, 12.61, 12.21, 13.05, 12.87, 15.37, 13.59, 6.587, 13.82, 5.524, 14.04, 13.23, 13.23, 15.27, 11.7, 13.8, 15.83, 13.8, 10.79, 12.03, 12.57, 12.21, 14.5, 13.96, 12.68, 12.91, 12.91, 14.04, 13.3, 17.35, 12.64, 13.1, 15.57, 11.97, 10.79, 13.43, 12.7, 12.7, 12.7, 11.96, 11.96, 14.77, 17.35, 5.812, 13.05, 12.7, 12.7, 12.7, 15.79, 14.5, 12.56, 14.52, 16.53, 14.52, 5.251, 12.03, 6.668, 15.27, 11.96, 11.96, 12.37, 17.35, 12.56, 10.89, 13.43, 13.43, 12.72]"
3,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,30-39,female,"[15.27, 12.7, 12.7, 12.7, 15.37, 12.64, 12.7, 12.7, 12.7, 12.03, 14.52, 12.05, 13.77, 12.56, 13.98, 14.5, 12.84, 13.3, 15.01, 13.23, 13.23, 15.57, 12.37, 12.94, 11.97, 16.25, 12.05, 15.86, 11.7, 12.57, 12.57, 12.03, 13.54]"
4,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,40-49,male,"[11.04, 12.03, 15.27, 11.58, 12.84, 8.009, 11.16, 8.748, 12.18, 13.3, 10.01, 12.48, 14.42, 14.42, 11.14, 13.84, 11.85, 14.45, 9.911, 12.89, 9.894, 6.179, 11.16, 12.99, 14.26, 15.27, 9.432, 9.927, 13.29, 14.55, 10.9, 13.71, 10.04, 13.94, 14.82, 14.61, 12.8, 12.03, 10.04, 10.87, 9.08, 10.01, 13.17, 13.94, 10.6, 17.31, 12.48, 13.3, 12.64, 10.99, 13.28, 11.68, 15.57, 15.51, 11.97, 10.01, 13.43, 13.43, 8.721, 8.476, 14.99, 13.88, 18.59, 10.24, 13.4, 13.67, 11.24, 13.09, 11.06, 14.96, 16.29, 10.22, 13.42, 13.17, 15.26, 14.52, 16.37, 14.42, 14.42, 14.52, 12.03, 15.27, 15.17, 15.17, 14.26, 14.64, 14.82, 12.39, 12.39, 19.86, 15.64, 12.39, 12.39, 9.1, 11.68, 14.64, 8.532, 13.43, 13.43, 13.36, 13.36, 10.67, 13.43, 13.43, 18.66, 10.87, 10.67, 16.32, 11.58, 10.95]"
5,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,40-49,female,"[15.27, 12.66, 13.4, 12.59, 10.69, 12.64, 10.99, 13.71, 12.18, 11.68, 15.17, 15.17, 13.28, 11.47, 12.03, 14.52, 11.94, 13.29, 12.05, 12.39, 12.39, 11.68, 16.71, 11.08, 12.84, 14.42, 14.42, 13.37, 13.3, 12.99, 11.26, 7.659, 12.59, 14.96, 8.517, 15.57, 13.67, 16.14, 13.81, 13.42, 11.97, 13.79, 12.05, 10.6, 14.55, 15.26, 12.34, 14.61, 13.36, 13.36, 19.6, 9.116, 13.16, 12.03, 14.45, 8.673, 14.82, 11.85, 14.18, 16.14, 13.16]"
6,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,50-59,male,"[15.87, 12.47, 14.79, 11.54, 14.5, 12.03, 12.03, 11.42, 11.42, 11.58, 12.52, 12.52, 10.82, 15.16, 12.22, 12.21, 12.55, 12.55, 11.61, 10.59, 13.3, 15.99, 12.48, 11.98, 11.98, 11.98, 13.04, 13.04, 12.21, 13.04, 13.04, 14.42, 10.08, 14.17, 13.46, 14.14, 11.19, 15.37, 11.95, 12.54, 12.09, 13.85, 13.72, 10.07, 11.28, 11.76, 11.76, 11.63, 14.45, 10.57, 13.0, 13.0, 16.51, 16.51, 16.64, 10.55, 18.57, 4.713, 6.751, 10.61, 11.65, 12.35, 12.32, 11.79, 11.79, 14.71, 11.98, 11.98, 11.98, 15.19, 12.45, 12.45, 12.12, 12.12, 17.27, 17.27, 14.94, 16.59, 16.18, 5.62, 7.561, 13.83, 11.7, 12.74, 14.55, 16.81, 12.86, 20.41, 9.642, 12.6, 15.77, 15.8, 15.8, 11.79, 11.79, 12.15, 13.46, 12.58, 14.82, 14.82, 15.8, 15.8, 14.88, 11.89, 9.379, 12.47, 11.81, 14.61, 12.03, 12.03, 12.57, 13.08, 11.86, 12.21, 11.42, 11.42, 10.19, 10.33, 10.06, 12.52, 12.52, 15.92, 14.5, 11.76, 11.76, 10.08, 11.57, 14.14, 12.74, 7.939, 10.27, 8.594, 12.48, 10.08, 12.3, 13.3, 17.35, 17.35, 9.377, 12.58, 12.71, 12.71, 14.56, 14.41, 14.02, 10.82, 9.88, 13.28, 11.23, 11.68, 11.68, 9.613, 8.095, 17.27, 17.27, 12.45, 12.45, 14.3, 15.8, 15.8, 9.628, 13.83, 15.8, 15.8, 12.35, 12.45, 12.45, 17.35, 17.35, 10.88, 13.4, 15.33, 7.128, 17.04, 12.12, 12.12, 14.96, 9.745, 17.3, 10.88, 14.66, 15.24, 14.5, 14.8, 15.15, 12.52, 12.52, 20.38, 8.544, 13.42, 10.78, 15.26, 14.24, 13.08, 14.52, 14.42, 14.52, 12.03, 12.03, 12.33, 15.05, 14.24, 12.79, 12.79, 12.5, 14.64, 14.82, 14.82, 12.39, 14.53, 14.8, 12.37, 17.35, 17.35, 12.39, 14.37, 12.12, 12.12, 11.68, 11.68, 12.3, 15.03, 13.34, 13.34, 9.579, 12.65, 12.65, 14.22, 14.64, 15.73, 13.12, 13.0, 13.0, 14.21, 12.6, 16.79, 12.71, 12.71, 11.58, 13.69, 16.21, 12.55, 12.55, 12.74, 5.583]"
7,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,50-59,female,"[12.65, 12.65, 15.9, 13.4, 8.951, 9.28, 10.68, 10.68, 11.76, 11.76, 6.894, 15.37, 11.79, 11.79, 13.83, 14.01, 14.44, 16.24, 11.51, 9.974, 11.73, 12.58, 14.33, 11.68, 11.68, 13.53, 12.5, 13.28, 13.01, 11.89, 13.48, 12.03, 12.03, 14.52, 13.0, 13.0, 12.79, 12.79, 11.32, 14.15, 14.5, 12.39, 11.68, 11.68, 15.55, 13.86, 12.71, 12.71, 14.42, 10.7, 12.71, 12.71, 13.3, 14.07, 12.77, 11.65, 11.98, 11.98, 11.98, 11.42, 11.42, 14.07, 13.58, 13.34, 13.34, 14.39, 14.73, 14.96, 13.34, 13.34, 12.37, 16.51, 16.51, 16.14, 13.48, 20.61, 13.87, 13.42, 14.48, 18.52, 14.55, 13.47, 11.76, 11.76, 15.32, 15.26, 13.04, 13.04, 16.52, 14.61, 12.65, 12.65, 11.51, 11.7, 11.3, 12.57, 7.76, 14.17, 12.57, 13.16, 10.33, 12.03, 12.03, 9.492, 11.28, 10.68, 10.68, 14.45, 14.82, 14.82, 8.659, 9.201, 11.81, 9.765, 14.32, 16.14, 12.12, 12.12, 10.18, 13.16, 10.09, 10.27, 13.95]"
8,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,60-69,male,"[13.61, 13.25, 12.47, 15.63, 13.31, 13.31, 14.5, 12.03, 11.42, 15.27, 12.52, 9.251, 12.28, 11.16, 9.232, 8.639, 11.35, 13.55, 13.55, 14.62, 12.21, 10.03, 12.18, 10.2, 17.08, 10.01, 10.01, 10.3, 10.36, 16.04, 18.64, 13.04, 12.21, 13.04, 7.329, 9.863, 14.17, 14.23, 13.46, 13.05, 12.95, 14.14, 10.65, 10.52, 11.85, 8.655, 11.8, 11.28, 11.76, 11.76, 9.615, 9.153, 13.13, 7.791, 14.7, 14.7, 11.31, 11.31, 9.586, 9.586, 15.98, 11.16, 12.44, 11.65, 16.13, 14.04, 11.92, 11.92, 12.99, 10.46, 12.45, 5.967, 15.27, 12.12, 15.98, 15.11, 13.83, 13.83, 10.49, 10.49, 13.8, 12.74, 12.74, 12.16, 10.15, 13.29, 15.76, 16.35, 12.6, 15.8, 15.8, 11.17, 9.203, 10.04, 14.0, 14.0, 13.94, 13.8, 13.46, 12.58, 15.8, 15.8, 14.92, 10.79, 13.31, 13.31, 15.02, 15.02, 12.47, 11.81, 12.85, 12.03, 14.11, 10.04, 9.359, 7.698, 10.87, 10.44, 9.586, 9.586, 12.21, 9.518, 12.06, 12.06, 10.01, 10.01, 11.42, 10.33, 12.52, 13.17, 11.38, 9.889, 13.94, 13.03, 11.4, 10.77, 14.5, 11.76, 11.76, 11.62, 13.25, 9.942, 14.14, 10.6, 12.74, 12.74, 16.68, 17.18, 7.309, 12.91, 10.27, 15.22, 13.74, 16.05, 15.06, 18.75, 8.364, 12.3, 12.91, 14.04, 11.74, 9.524, 12.58, 12.71, 12.06, 12.06, 17.7, 15.39, 11.68, 14.08, 14.85, 8.729, 15.0, 10.65, 10.79, 10.01, 10.01, 12.45, 15.8, 15.8, 12.7, 13.83, 13.83, 15.8, 15.8, 8.607, 12.45, 12.81, 13.67, 15.02, 15.02, 12.42, 17.91, 13.05, 14.29, 12.12, 12.7, 15.45, 14.5, 14.8, 12.52, 10.28, 12.56, 12.56, 13.17, 10.23, 14.24, 10.37, 4.826, 17.36, 12.03, 15.27, 14.24, 14.8, 13.19, 13.19, 12.12, 11.68, 12.3, 13.34, 12.65, 6.419, 12.56, 12.56, 14.47, 6.94, 11.22, 11.22, 14.65, 13.39, 12.6, 6.93, 13.52, 10.87, 12.71, 14.7, 14.7, 12.74, 12.74, 11.8, 11.35]"
9,PDPK1,ENSG00000140992.18,Adipose_Subcutaneous,60-69,female,"[18.67, 12.65, 12.07, 11.48, 11.48, 13.78, 15.27, 12.11, 13.19, 13.19, 11.92, 11.92, 16.57, 12.93, 14.4, 12.59, 11.36, 12.7, 11.76, 11.76, 13.83, 13.83, 11.51, 16.39, 11.22, 11.22, 15.56, 14.78, 14.78, 12.58, 13.07, 14.19, 14.19, 8.889, 12.18, 12.53, 12.53, 12.63, 11.68, 16.31, 10.49, 10.49, 12.7, 8.655, 14.31, 11.9, 13.48, 12.03, 14.19, 14.19, 13.29, 12.56, 12.56, 14.5, 11.68, 9.989, 15.59, 14.72, 20.68, 8.25, 12.71, 12.53, 12.53, 12.71, 10.63, 10.96, 8.313, 12.99, 9.938, 11.48, 11.48, 11.65, 10.96, 11.31, 11.31, 12.59, 15.31, 12.98, 10.31, 11.42, 13.34, 13.31, 13.31, 14.0, 14.0, 13.34, 10.86, 13.67, 9.329, 12.06, 12.06, 13.48, 10.6, 11.76, 11.76, 13.04, 13.55, 13.55, 11.25, 12.65, 11.51, 9.726, 13.55, 13.55, 13.02, 14.17, 10.33, 12.03, 11.28, 11.85, 11.81, 17.11, 16.28, 11.11, 10.44, 12.12, 10.27, 14.78, 14.78]"
