,gene,gencodeId,tissue,age,gender,TPMs
0,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,20-29,male,11.79
1,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,20-29,male,16.14
2,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,20-29,male,8.619
3,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,20-29,female,12.88
4,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,30-39,male,9.711
5,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,30-39,female,11.27
6,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,male,6.935
7,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,male,9.0
8,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,male,5.421
9,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,male,7.035
10,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,male,8.723
11,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,male,10.07
12,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,male,12.27
13,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,female,4.792
14,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,female,10.73
15,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,female,2.822
16,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,female,6.087
17,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,female,3.311
18,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,female,11.21
19,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,female,10.39
20,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,female,3.825
21,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,40-49,female,15.09
22,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,50-59,male,10.37
23,PDPK1,ENSG00000140992.18,Brain_Spinal_cord_cervical_c-1,50-59,male,8.881
