,gene,gencodeId,tissue,age,gender,TPMs
0,PDPK1,ENSG00000140992.18,Liver,20-29,male,"[9.796, 6.399, 12.0, 6.343]"
1,PDPK1,ENSG00000140992.18,Liver,20-29,female,"[3.897, 5.886, 8.861]"
2,PDPK1,ENSG00000140992.18,Liver,30-39,male,"[6.761, 3.054, 6.668, 6.485, 5.729, 7.807, 6.177, 5.395, 3.17, 2.278, 7.502, 10.52, 7.49, 5.215]"
3,PDPK1,ENSG00000140992.18,Liver,30-39,female,"[9.898, 4.406, 5.57]"
4,PDPK1,ENSG00000140992.18,Liver,40-49,male,"[6.856, 8.027, 4.733, 8.13, 6.231, 3.84, 7.067, 2.336, 3.949, 7.969, 3.52, 5.254, 5.69, 4.172, 4.157, 7.852, 7.062, 6.409, 6.702, 6.547, 7.378, 7.64, 7.047, 6.157]"
5,PDPK1,ENSG00000140992.18,Liver,40-49,female,"[9.474, 6.266, 7.284, 7.071, 5.978, 5.771, 5.049, 9.741, 7.008, 8.653, 6.01]"
6,PDPK1,ENSG00000140992.18,Liver,50-59,male,"[4.968, 5.321, 6.473, 4.984, 9.8, 4.163, 6.161, 5.084, 6.535, 4.205, 14.82, 6.978, 4.277, 5.264, 2.947, 4.352, 3.348, 7.273, 4.802, 5.179, 7.639, 7.692, 7.74, 7.426, 4.897, 9.524, 3.931, 4.345, 6.546, 5.937, 4.303, 3.264, 4.941, 5.091, 4.776, 8.207, 6.885, 4.428, 6.557, 6.473, 7.024, 7.152, 3.714, 10.85, 7.51, 7.19, 6.696, 5.98, 5.292, 8.636, 5.954, 3.469, 4.711, 10.24, 6.427, 4.827, 6.793, 5.222, 7.608, 7.115, 6.728]"
7,PDPK1,ENSG00000140992.18,Liver,50-59,female,"[4.637, 9.645, 14.46, 7.448, 5.348, 8.309, 6.692, 4.941, 7.206, 4.485, 5.351, 9.361, 7.93, 6.772, 7.442, 9.081, 8.325, 10.37, 4.815, 5.337, 10.68, 4.88, 5.715, 8.15]"
8,PDPK1,ENSG00000140992.18,Liver,60-69,male,"[4.699, 3.948, 8.905, 3.238, 6.473, 4.389, 5.677, 4.721, 1.873, 5.97, 6.434, 5.366, 4.859, 6.113, 6.122, 5.713, 3.639, 2.828, 6.108, 3.552, 7.519, 6.066, 7.612, 5.982, 10.17, 6.976, 9.988, 5.761, 9.963, 6.832, 5.712, 6.611, 6.1, 3.933, 4.019, 3.903, 3.466, 5.009, 4.941, 4.219, 4.335, 7.183, 4.51, 4.653, 3.934, 6.473, 7.0, 3.432, 4.483, 8.488, 8.471, 6.293, 8.788, 3.95, 8.553, 6.481, 6.2, 4.738]"
9,PDPK1,ENSG00000140992.18,Liver,60-69,female,"[3.24, 4.799, 4.283, 4.376, 8.392, 5.113, 2.415, 7.197, 5.271, 6.289, 3.945, 8.59, 4.941, 5.268, 8.796, 8.356, 7.012, 4.334, 7.146, 7.699, 7.649, 6.9, 7.748]"
10,PDPK1,ENSG00000140992.18,Liver,70-79,male,"[4.009, 10.61, 7.025]"
11,PDPK1,ENSG00000140992.18,Liver,70-79,female,"[5.942, 9.813]"
