,gene,gencodeId,tissue,age,gender,TPMs
0,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,20-29,male,"[36.93, 36.93, 50.12, 62.77]"
1,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,20-29,female,[48.45]
2,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,30-39,male,[49.38]
3,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,30-39,female,[45.43]
4,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,40-49,male,"[51.72, 41.73, 25.42, 38.58, 24.76, 38.98, 33.84]"
5,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,40-49,female,"[38.15, 55.65, 38.13, 52.39, 40.31, 39.9, 57.38, 29.19, 42.19]"
6,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,50-59,male,"[34.1, 30.11, 48.23, 24.05, 26.24, 28.21, 23.34, 32.75, 46.72, 53.0, 20.51, 43.63, 62.85, 50.82, 34.8, 40.0, 29.38, 47.98, 38.76, 33.67, 29.59, 32.26, 46.54, 34.67, 31.44, 58.24, 28.73, 58.63, 33.76, 32.74, 43.62]"
7,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,50-59,female,"[32.94, 48.89, 45.26, 30.75, 33.78, 37.09, 44.03, 19.66, 24.99, 42.58, 50.52, 70.36, 34.36, 31.32, 58.45, 39.0]"
8,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,60-69,male,"[26.58, 36.93, 72.25, 32.63, 62.64, 31.94, 28.69, 18.04, 39.81, 53.43, 40.3, 39.92, 43.34, 36.03, 43.88, 43.94, 55.21, 57.69, 54.67, 36.4, 35.7, 28.62, 47.26, 28.12, 42.38, 51.67, 12.83, 26.05, 42.02, 36.35, 36.35, 29.32, 40.37, 36.87, 22.58, 22.61, 16.91, 36.93, 35.11, 35.41, 36.35, 36.35, 44.99, 31.47, 48.73, 34.26, 27.41, 36.11, 29.85, 48.64, 66.91, 59.52, 55.01]"
9,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,60-69,female,"[51.6, 26.31, 43.06, 30.72, 29.54, 73.06, 28.97, 33.74, 55.39, 33.9, 19.56, 59.86, 54.1, 56.22, 47.08, 26.78, 21.13, 66.71, 50.92, 47.22, 28.95, 31.73, 42.18, 35.63, 31.25, 38.35, 35.75, 37.77]"
10,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,70-79,male,"[52.37, 26.32, 35.12, 33.06, 43.83, 42.55, 27.17, 33.54, 53.95, 50.37]"
11,PEX5,ENSG00000139197.10,Brain_Spinal_cord_cervical_c-1,70-79,female,"[41.59, 50.7]"
