,gene,gencodeId,tissue,age,gender,TPMs
0,PIK3R1,ENSG00000145675.14,Artery_Coronary,20-29,male,"[44.55, 66.8, 39.3, 34.58, 42.14, 50.81, 15.35, 54.38]"
1,PIK3R1,ENSG00000145675.14,Artery_Coronary,20-29,female,"[39.33, 38.67, 42.67, 71.55, 110.2, 25.53]"
2,PIK3R1,ENSG00000145675.14,Artery_Coronary,30-39,male,"[44.91, 63.01, 30.97, 65.54, 38.89, 21.97, 60.99]"
3,PIK3R1,ENSG00000145675.14,Artery_Coronary,30-39,female,"[46.01, 38.16, 42.02, 101.1, 66.61]"
4,PIK3R1,ENSG00000145675.14,Artery_Coronary,40-49,male,"[52.13, 29.81, 49.74, 32.47, 22.53, 41.84, 94.12, 39.5, 48.56, 62.28, 46.18, 58.91, 26.33, 83.44, 58.24, 35.46, 36.41, 46.75]"
5,PIK3R1,ENSG00000145675.14,Artery_Coronary,40-49,female,"[75.79, 37.29, 49.32, 29.63, 47.63, 40.08, 35.38, 115.4, 62.03, 44.26, 86.07, 47.7, 28.12, 86.98, 58.26, 35.55, 70.27, 43.78, 87.67]"
6,PIK3R1,ENSG00000145675.14,Artery_Coronary,50-59,male,"[46.9, 61.22, 21.6, 35.88, 70.45, 54.52, 24.73, 41.34, 92.89, 44.95, 28.02, 58.55, 24.56, 38.22, 43.32, 46.65, 50.22, 57.18, 59.8, 107.7, 64.72, 35.84, 69.28, 36.8, 30.13, 66.02, 50.84, 36.17, 40.8, 55.87, 119.0, 20.31, 65.68, 31.13, 59.98, 68.33, 78.55, 56.45, 47.77, 58.06, 58.25, 55.08, 92.9, 57.09, 54.98, 37.77, 32.51, 7.924, 34.91, 42.83, 51.87, 54.32, 83.01, 76.64, 34.96, 77.76, 50.16, 111.5, 57.67, 24.01, 66.82, 67.94, 86.39, 24.44, 22.46]"
7,PIK3R1,ENSG00000145675.14,Artery_Coronary,50-59,female,"[88.63, 44.5, 19.37, 82.78, 54.2, 64.69, 58.05, 83.93, 24.15, 45.51, 54.97, 72.11, 26.24, 59.21, 61.15, 53.76, 43.65, 134.3, 109.0, 52.68, 52.91, 21.19, 65.38, 71.84, 54.9, 61.38, 36.57, 43.11, 55.87, 38.0, 42.56]"
8,PIK3R1,ENSG00000145675.14,Artery_Coronary,60-69,male,"[50.8, 81.0, 81.0, 41.98, 36.78, 64.01, 58.13, 64.59, 63.25, 64.93, 49.43, 31.81, 21.5, 59.02, 70.08, 75.55, 81.49, 29.06, 64.65, 62.15, 32.62, 35.48, 63.5, 41.81, 16.39, 52.2, 27.48, 46.76, 61.14, 59.74, 55.87, 71.62, 33.5, 69.73, 86.56, 73.94, 74.28, 33.48, 32.04, 60.71, 64.3, 55.78, 32.82, 84.69, 82.16]"
9,PIK3R1,ENSG00000145675.14,Artery_Coronary,60-69,female,"[43.56, 64.56, 93.62, 80.22, 83.74, 57.92, 32.69, 78.8, 88.21, 66.4, 83.84, 29.21, 90.5, 114.1, 67.48, 81.0, 81.0, 108.3, 47.88, 104.9, 103.8, 33.16, 81.88, 45.68, 93.7, 44.16, 88.89, 33.18, 23.22, 21.83, 54.45, 62.43, 55.87, 81.68]"
10,PIK3R1,ENSG00000145675.14,Artery_Coronary,70-79,male,"[38.69, 31.2, 29.87, 80.28, 15.39]"
11,PIK3R1,ENSG00000145675.14,Artery_Coronary,70-79,female,[24.84]
