,gene,gencodeId,tissue,age,gender,TPMs
0,POLB,ENSG00000070501.11,Spleen,20-29,male,"[17.15, 12.96, 13.17, 13.17, 10.71, 17.67, 12.55, 13.71, 10.5, 13.66, 17.53, 13.71, 14.42, 14.67, 11.35, 32.11, 14.67]"
1,POLB,ENSG00000070501.11,Spleen,20-29,female,"[12.77, 15.77, 10.71, 24.3, 13.13, 13.17, 11.53, 8.72, 10.51, 12.24]"
2,POLB,ENSG00000070501.11,Spleen,30-39,male,"[9.519, 10.73, 11.52, 10.58, 10.13, 12.17, 13.2, 13.77, 15.48, 10.19, 9.48, 13.57, 13.86, 18.95, 12.21, 18.21, 10.19, 16.6, 11.06, 13.92, 13.2, 11.21, 15.42, 13.27, 12.17, 12.35]"
3,POLB,ENSG00000070501.11,Spleen,30-39,female,"[14.28, 12.43, 12.2, 11.67, 11.45, 11.76, 13.27, 10.36, 12.43, 12.35]"
4,POLB,ENSG00000070501.11,Spleen,40-49,male,"[12.18, 12.53, 12.76, 9.879, 18.89, 12.17, 9.548, 10.05, 10.19, 13.96, 12.06, 11.99, 10.83, 11.48, 11.48, 12.06, 12.86, 12.33, 12.56, 10.19, 14.19, 28.14, 10.78, 16.52, 16.15, 11.48, 11.48, 13.35, 12.04, 11.23, 10.48, 15.32, 12.17, 12.86, 9.33, 13.68, 13.48, 11.72, 12.06, 10.83, 14.77]"
5,POLB,ENSG00000070501.11,Spleen,40-49,female,"[11.72, 11.94, 11.63, 13.53, 8.905, 9.665, 11.94, 9.915, 12.18, 12.86, 15.15, 11.79, 9.915, 11.65, 16.76, 16.08, 10.48, 14.8, 16.44, 16.15, 15.35, 12.76, 11.58, 10.67]"
6,POLB,ENSG00000070501.11,Spleen,50-59,male,"[10.72, 9.927, 10.24, 10.24, 16.56, 14.96, 11.19, 16.07, 14.09, 13.2, 13.12, 12.06, 21.22, 16.28, 13.17, 13.17, 14.94, 12.85, 13.17, 13.17, 13.01, 14.82, 13.32, 15.95, 12.92, 12.06, 12.11, 15.74, 9.627, 12.86, 10.62, 18.64, 15.54, 17.32, 17.75, 12.6, 13.71, 15.09, 14.85, 14.94, 15.16, 15.06, 18.29, 13.71, 16.92, 14.67, 16.13, 10.62, 10.24, 10.24, 13.2, 16.15, 10.52, 13.34, 15.26, 15.97, 10.48, 14.39, 13.27, 14.57, 15.09, 12.86, 11.88, 17.08, 12.22, 12.11, 12.35, 15.06, 8.407, 12.06, 14.67, 17.18, 10.27, 11.87]"
7,POLB,ENSG00000070501.11,Spleen,50-59,female,"[13.07, 12.43, 9.782, 14.27, 11.59, 12.59, 12.86, 10.46, 11.38, 13.83, 13.09, 15.17, 16.39, 10.31, 18.63, 10.54, 17.93, 13.4, 13.27, 13.17, 13.17, 14.78, 10.48, 11.03, 12.43, 12.35, 10.46, 13.47, 8.978, 16.15, 9.42, 6.842, 11.15, 10.59, 9.063, 8.266]"
8,POLB,ENSG00000070501.11,Spleen,60-69,male,"[16.61, 12.18, 12.76, 10.63, 13.91, 15.0, 14.17, 14.94, 16.7, 12.27, 10.83, 12.11, 12.86, 10.62, 14.93, 11.33, 13.79, 16.48, 17.82, 13.81, 13.42, 19.87, 14.94, 15.06, 16.23, 19.47, 20.14, 14.15, 10.62, 14.81, 12.01, 11.96, 12.86, 12.11, 11.72, 15.06, 10.83]"
9,POLB,ENSG00000070501.11,Spleen,60-69,female,"[11.72, 13.55, 11.94, 13.5, 19.46, 10.09, 12.5, 13.54, 14.64, 11.94, 9.915, 12.18, 12.86, 10.46, 22.1, 14.68, 23.54, 9.915, 15.71, 15.45, 10.46, 17.96, 12.76, 11.55, 12.45, 12.7]"
10,POLB,ENSG00000070501.11,Spleen,70-79,male,"[12.06, 15.58, 12.06, 10.71, 15.09, 15.09, 12.06]"
11,POLB,ENSG00000070501.11,Spleen,70-79,female,[10.71]
