,gene,gencodeId,tissue,age,gender,TPMs
0,PPARG,ENSG00000132170.19,Spleen,20-29,male,"[12.07, 13.76, 8.12, 14.05, 13.61, 7.737, 7.927, 14.37, 19.2, 13.59, 12.47, 7.801, 9.992, 7.123, 12.07]"
1,PPARG,ENSG00000132170.19,Spleen,20-29,female,"[9.992, 14.56, 13.59, 10.63, 12.05, 8.605, 16.31, 5.569, 6.039, 6.581]"
2,PPARG,ENSG00000132170.19,Spleen,30-39,male,"[17.36, 12.21, 12.15, 6.473, 8.445, 10.25, 14.66, 9.016, 5.041, 11.74, 11.73, 11.03, 12.03, 11.73, 11.54, 6.166, 10.21, 8.078, 11.54, 5.618, 15.98, 12.12, 8.184, 14.66, 10.71, 11.74]"
3,PPARG,ENSG00000132170.19,Spleen,30-39,female,"[9.318, 11.03, 16.82, 9.621, 7.673, 7.348, 9.429, 10.13, 9.642, 11.73]"
4,PPARG,ENSG00000132170.19,Spleen,40-49,male,"[15.31, 6.327, 25.96, 13.1, 6.355, 18.04, 8.462, 9.503, 8.133, 10.47, 10.47, 11.73, 13.24, 11.73, 10.19, 14.13, 8.874, 13.48, 11.84, 12.45, 9.672, 18.41, 9.116, 7.825, 14.21, 8.814, 9.524, 11.18, 10.16, 9.683, 13.0, 10.47, 21.19]"
5,PPARG,ENSG00000132170.19,Spleen,40-49,female,"[7.848, 10.14, 8.589, 5.81, 6.032, 10.65, 8.953, 8.953, 16.29, 12.57, 12.4, 6.4, 8.953, 8.953, 8.926, 9.503, 11.73, 14.95, 13.56, 7.604, 10.42, 10.5, 9.11]"
6,PPARG,ENSG00000132170.19,Spleen,50-59,male,"[7.01, 10.7, 12.07, 11.07, 8.512, 16.86, 11.49, 11.91, 11.51, 11.51, 13.42, 14.66, 6.26, 11.51, 11.51, 16.41, 11.22, 12.16, 14.04, 10.3, 9.503, 11.74, 13.27, 17.13, 10.47, 10.47, 10.47, 10.47, 14.14, 3.812, 15.18, 7.665, 11.03, 6.138, 10.32, 10.45, 16.28, 11.54, 13.34, 5.47, 10.06, 10.8, 6.218, 11.54, 13.2, 13.59, 18.19, 11.12, 18.55, 9.056, 14.66, 16.74, 14.47, 10.75, 11.17, 12.07, 12.11, 8.553, 9.837, 11.14, 9.755, 12.25, 11.77, 7.874, 8.372, 17.21, 10.47, 10.47, 11.74, 7.315, 16.47]"
7,PPARG,ENSG00000132170.19,Spleen,50-59,female,"[11.03, 13.8, 7.521, 6.424, 12.42, 9.989, 13.59, 6.97, 18.33, 10.61, 13.17, 18.15, 8.483, 9.494, 9.542, 11.69, 13.27, 11.71, 11.38, 9.503, 17.47, 13.45, 13.44, 9.657, 3.003, 5.864, 7.401, 9.191, 10.8, 10.31]"
8,PPARG,ENSG00000132170.19,Spleen,60-69,male,"[10.87, 7.771, 11.82, 12.38, 9.963, 11.16, 24.26, 5.712, 13.27, 12.32, 8.566, 11.73, 8.232, 15.99, 8.353, 11.73, 12.27, 12.85, 11.29, 13.05, 13.47, 10.8, 17.54, 12.39, 18.58, 10.88, 10.36, 19.11, 9.992, 10.9, 25.31, 16.66]"
9,PPARG,ENSG00000132170.19,Spleen,60-69,female,"[9.992, 14.22, 12.73, 9.063, 10.41, 12.74, 12.64, 6.331, 7.614, 4.761, 15.39, 5.455, 11.87, 5.907, 17.98, 9.038, 13.27, 9.713, 11.73, 8.833, 21.6, 15.88, 10.8]"
10,PPARG,ENSG00000132170.19,Spleen,70-79,male,"[18.09, 15.5, 11.93]"
11,PPARG,ENSG00000132170.19,Spleen,70-79,female,[10.38]
