,gene,gencodeId,tissue,age,gender,TPMs
0,PPARGC1A,ENSG00000109819.8,Artery_Aorta,20-29,male,"[0.4687, 0.4265, 0.7482, 0.7265, 0.3477, 0.2398, 0.2056, 0.2573, 0.7445, 0.4068, 0.2814, 0.5813, 0.3556, 0.3912, 0.1909, 0.1536, 0.4894, 0.2912, 0.8698, 0.8807, 0.8908, 0.5728, 0.2429]"
1,PPARGC1A,ENSG00000109819.8,Artery_Aorta,20-29,female,"[0.4471, 0.5893, 0.5675, 0.7817, 0.7044, 0.3207, 0.7417, 0.5344, 0.489, 0.4796, 0.2267, 0.4162, 0.829, 1.315]"
2,PPARGC1A,ENSG00000109819.8,Artery_Aorta,30-39,male,"[0.3328, 0.4512, 0.292, 0.5024, 0.4771, 0.4879, 0.2517, 0.3857, 0.4531, 0.5265, 0.2816, 2.489, 0.1557, 0.3307, 0.08908, 0.357, 0.7688, 0.2145, 0.389, 0.2416, 0.3287, 0.4971, 0.6781, 0.4735]"
3,PPARGC1A,ENSG00000109819.8,Artery_Aorta,30-39,female,"[0.1648, 0.9829, 0.444, 0.3357, 0.4833, 0.3482, 0.3509, 0.4169, 0.7277, 0.6203, 0.4147, 0.5078, 0.5733, 0.3381, 0.5078]"
4,PPARGC1A,ENSG00000109819.8,Artery_Aorta,40-49,male,"[0.3696, 0.2088, 0.4179, 0.3632, 0.1259, 0.09756, 0.3456, 0.2845, 0.3334, 0.225, 0.2199, 0.5387, 0.655, 0.6161, 0.2976, 0.5758, 0.3253, 0.477, 0.4442, 0.1916, 0.6958, 0.3248, 0.3894, 0.4016, 0.5643, 0.5085, 0.2915, 0.1755, 0.247, 0.2881, 0.2985, 0.3312, 0.6299, 0.5465, 0.3454, 0.7266, 0.1608, 0.5787, 0.4503, 0.3439, 0.5686, 0.5703]"
5,PPARGC1A,ENSG00000109819.8,Artery_Aorta,40-49,female,"[0.2881, 0.3487, 0.5391, 0.5568, 0.3065, 0.2651, 0.2915, 0.2898, 0.3209, 0.4343, 0.4406, 0.3219, 0.1949, 0.4766, 0.4676, 0.3587, 0.2915, 0.3847, 0.2841, 0.8861, 0.2253, 0.5436, 0.6377, 0.5869, 0.4075, 0.8692, 0.6166, 0.6544, 0.3543]"
6,PPARGC1A,ENSG00000109819.8,Artery_Aorta,50-59,male,"[0.3125, 0.3344, 0.49, 0.83, 0.969, 1.063, 0.5215, 0.4855, 0.5156, 0.2893, 0.4996, 0.2591, 1.131, 0.7606, 0.8186, 0.2858, 0.3742, 0.2569, 0.1952, 0.5094, 0.4652, 0.423, 0.4913, 0.3202, 0.6354, 0.3591, 2.3, 0.2886, 0.1967, 1.049, 0.3849, 0.4487, 0.4184, 0.4989, 0.423, 0.4755, 1.158, 0.765, 0.3748, 0.999, 0.8693, 0.1829, 0.6702, 0.1633, 0.39, 0.39, 0.39, 0.39, 0.3309, 0.429, 0.6792, 0.3258, 1.126, 0.305, 0.3251, 0.4118, 0.7142, 0.4492, 0.3078, 0.6592, 0.5297, 0.1192, 0.5019, 0.3963, 0.3864, 0.3952, 0.7412, 0.1019, 0.5589, 0.4191, 0.4944, 1.098, 0.4505, 0.4806, 0.1809, 0.5826, 0.3566, 0.3578, 0.2915, 0.3916, 0.6598, 0.2092, 0.2956, 0.3413, 0.861, 0.7129, 0.4948, 0.5713, 1.089, 0.5666, 0.384, 0.8749, 0.3895, 0.2052, 0.371, 0.2031, 0.8328, 0.6218, 0.3157, 0.6465, 0.4119, 0.1599]"
7,PPARGC1A,ENSG00000109819.8,Artery_Aorta,50-59,female,"[0.9074, 0.3957, 0.5165, 0.2064, 0.5099, 0.5853, 0.5063, 0.3663, 1.985, 0.3938, 0.286, 0.2096, 0.8519, 0.2915, 0.226, 0.5957, 0.6953, 4.916, 0.6348, 0.2866, 0.4778, 0.9045, 1.001, 0.4448, 1.345, 0.4122, 0.2222, 0.3431, 0.4959, 0.8588, 0.2585, 0.5508, 0.2915, 0.4641, 0.9866, 0.5078, 1.202, 0.5926, 0.2629, 0.3362, 0.5233, 0.2728, 0.6116, 0.5241, 0.625, 0.5078, 0.322, 1.006, 0.6791, 0.3768, 0.5411, 0.9683, 0.6791, 1.244]"
8,PPARGC1A,ENSG00000109819.8,Artery_Aorta,60-69,male,"[0.276, 0.2998, 0.3192, 0.4502, 0.6595, 0.1865, 0.4511, 0.3277, 0.6976, 0.2724, 0.2006, 0.5551, 0.09684, 0.5162, 0.4001, 0.4001, 0.3492, 0.552, 0.6237, 0.2572, 0.4494, 0.426, 0.2314, 0.7131, 0.5866, 0.4658, 0.6505, 0.3208, 0.9785, 0.3318, 0.4819, 0.423, 1.292, 0.2465, 0.5625, 0.3813, 0.1985, 0.4334, 3.927, 0.4936, 0.1786, 0.3003, 0.5996, 0.2969, 0.6297, 0.423, 0.419, 1.01, 0.4385, 0.7047, 0.3326, 1.334, 0.3939, 0.2394, 0.2179, 0.4132, 0.2772, 0.529, 0.5695, 0.394, 1.24, 1.601, 0.685, 0.2223, 0.4282, 0.8034, 0.2977, 0.3435, 0.1034, 0.6268, 0.7147, 0.2589, 0.2915, 1.153, 0.5203, 0.1822, 0.2881, 0.2083, 0.5107, 0.2302, 0.2323, 0.5009, 0.3075, 0.4001, 0.4001, 0.392, 0.4624, 0.4436, 1.224, 0.3305, 0.3861]"
9,PPARGC1A,ENSG00000109819.8,Artery_Aorta,60-69,female,"[0.09143, 0.5064, 0.4651, 0.7426, 0.2881, 0.5628, 0.2871, 0.6988, 0.482, 0.6873, 0.9144, 0.1545, 0.7754, 0.1787, 0.7773, 0.3989, 0.4885, 0.3281, 0.3051, 0.1638, 0.4639, 0.5735, 0.2915, 0.4524, 0.4194, 0.9155, 0.2348, 0.4743, 0.9945, 0.3484, 0.6587, 0.9552, 0.5301, 0.5192, 0.2915, 0.2566, 0.1501, 1.252, 0.1982, 0.2874, 0.5755, 1.06, 0.6438, 0.6791, 0.494, 0.2559, 0.6791]"
