,gene,gencodeId,tissue,age,gender,TPMs
0,PSEN1,ENSG00000080815.18,Liver,20-29,male,"[12.46, 6.255, 13.98, 5.358]"
1,PSEN1,ENSG00000080815.18,Liver,20-29,female,"[2.837, 4.975, 10.11]"
2,PSEN1,ENSG00000080815.18,Liver,30-39,male,"[7.387, 2.045, 4.049, 6.746, 2.893, 4.597, 5.007, 3.385, 4.597, 1.638, 2.611, 3.769, 5.47, 9.705, 3.829]"
3,PSEN1,ENSG00000080815.18,Liver,30-39,female,"[7.997, 6.291, 7.723]"
4,PSEN1,ENSG00000080815.18,Liver,40-49,male,"[5.8, 4.205, 4.205, 4.631, 7.713, 4.06, 3.167, 6.938, 3.03, 5.124, 6.948, 2.328, 3.758, 6.223, 2.677, 4.158, 6.624, 7.306, 2.354, 5.334, 9.829, 4.99, 6.896, 6.806, 9.065]"
5,PSEN1,ENSG00000080815.18,Liver,40-49,female,"[7.738, 4.158, 2.965, 6.347, 5.082, 4.133, 5.61, 2.645, 7.49, 5.403, 8.649, 4.236, 4.236]"
6,PSEN1,ENSG00000080815.18,Liver,50-59,male,"[5.185, 3.391, 4.145, 4.371, 6.919, 2.492, 7.458, 2.703, 4.989, 5.994, 4.989, 6.78, 4.432, 3.168, 3.2, 1.67, 2.293, 2.259, 5.296, 4.742, 4.653, 6.071, 6.737, 6.194, 4.869, 3.46, 8.865, 4.311, 2.622, 6.175, 6.201, 4.408, 1.694, 4.981, 4.565, 3.825, 4.458, 5.009, 3.874, 6.288, 4.952, 4.559, 4.722, 4.809, 10.97, 7.32, 7.613, 6.643, 2.97, 3.347, 5.355, 5.306, 1.691, 2.749, 8.039, 3.024, 3.188, 8.263, 2.985, 6.755, 6.771, 5.942]"
7,PSEN1,ENSG00000080815.18,Liver,50-59,female,"[3.301, 9.502, 11.55, 6.974, 6.576, 8.785, 3.837, 5.246, 4.918, 4.918, 4.833, 9.389, 3.856, 5.87, 5.542, 9.009, 5.728, 9.48, 2.79, 4.145, 10.86, 6.89, 4.918, 4.918, 5.891]"
8,PSEN1,ENSG00000080815.18,Liver,60-69,male,"[3.186, 2.878, 4.817, 4.075, 4.145, 3.57, 3.835, 3.108, 0.9475, 4.906, 5.556, 4.989, 3.821, 4.989, 3.401, 2.755, 6.101, 3.353, 3.839, 3.533, 3.497, 6.37, 4.811, 5.898, 4.597, 8.15, 4.069, 6.962, 3.056, 5.291, 5.349, 6.418, 5.652, 4.074, 2.644, 3.681, 4.533, 3.062, 4.666, 2.654, 2.982, 3.65, 6.052, 4.594, 3.88, 4.546, 4.597, 1.985, 2.815, 7.348, 6.874, 6.874, 5.949, 4.158, 7.362, 2.887, 6.876, 4.647, 6.029, 3.574]"
9,PSEN1,ENSG00000080815.18,Liver,60-69,female,"[2.247, 3.377, 3.159, 3.917, 6.404, 2.704, 3.138, 5.875, 2.87, 4.821, 4.357, 8.6, 4.158, 3.864, 6.874, 6.874, 5.982, 5.256, 4.145, 4.365, 6.117, 4.236, 4.236, 7.314, 4.405, 6.863]"
10,PSEN1,ENSG00000080815.18,Liver,70-79,male,"[4.205, 4.205, 5.784, 5.782]"
11,PSEN1,ENSG00000080815.18,Liver,70-79,female,"[2.876, 6.497]"
