,gene,gencodeId,tissue,age,gender,TPMs
0,PTEN,ENSG00000171862.10,Artery_Aorta,20-29,male,"[44.24, 27.67, 42.48, 33.07, 36.36, 39.17, 40.83, 32.03, 30.44, 30.44, 21.46, 36.36, 37.91, 35.34, 42.03, 44.18, 44.24, 34.03, 42.72, 33.64, 31.04, 34.75, 64.35, 36.51, 36.21, 30.56, 31.04, 25.33]"
1,PTEN,ENSG00000171862.10,Artery_Aorta,20-29,female,"[22.67, 29.42, 31.59, 36.65, 34.03, 39.17, 33.6, 31.01, 31.74, 31.66, 25.34, 33.87, 32.13, 27.67, 34.77, 30.44, 30.44]"
2,PTEN,ENSG00000171862.10,Artery_Aorta,30-39,male,"[26.08, 37.89, 26.1, 42.36, 38.35, 38.66, 38.66, 28.87, 31.57, 38.66, 38.66, 37.14, 51.92, 29.37, 34.76, 28.21, 42.36, 46.51, 34.35, 39.98, 31.04, 38.93, 38.21, 35.56, 31.04, 42.16, 47.24, 33.04]"
3,PTEN,ENSG00000171862.10,Artery_Aorta,30-39,female,"[30.45, 31.55, 46.11, 31.38, 38.76, 27.78, 28.87, 28.2, 30.45, 36.43, 27.68, 31.3, 29.4, 41.63, 36.73, 25.04, 41.63]"
4,PTEN,ENSG00000171862.10,Artery_Aorta,40-49,male,"[34.23, 29.58, 29.81, 39.17, 31.12, 31.44, 28.84, 38.94, 32.34, 39.84, 36.78, 35.38, 38.98, 32.08, 32.06, 32.51, 26.06, 45.89, 31.03, 41.79, 33.85, 37.21, 33.83, 23.94, 53.87, 32.08, 30.97, 37.3, 34.29, 32.06, 33.19, 43.35, 32.08, 35.82, 54.6, 31.87, 37.38, 37.38, 34.05, 37.38, 37.38, 33.65, 37.44, 34.22, 39.1, 33.26, 28.39, 47.87, 36.46, 40.75]"
5,PTEN,ENSG00000171862.10,Artery_Aorta,40-49,female,"[31.12, 35.38, 27.69, 29.34, 40.73, 39.17, 36.15, 32.18, 35.13, 31.98, 35.13, 32.25, 42.57, 30.53, 33.9, 43.98, 24.74, 31.44, 38.56, 41.63, 38.27, 30.29, 39.26, 37.3, 33.65, 41.63, 30.43, 52.78, 43.4, 37.38, 37.38, 54.74, 26.88]"
6,PTEN,ENSG00000171862.10,Artery_Aorta,50-59,male,"[27.97, 24.94, 40.16, 27.67, 27.21, 54.08, 25.54, 27.62, 38.91, 47.51, 25.06, 36.85, 29.95, 31.12, 33.24, 40.46, 53.84, 42.36, 34.79, 48.55, 32.16, 27.56, 28.87, 47.95, 29.5, 40.53, 38.52, 34.2, 41.55, 24.18, 32.08, 32.06, 55.08, 31.49, 39.6, 34.59, 49.34, 27.62, 47.51, 24.17, 43.8, 30.77, 44.28, 38.39, 41.69, 50.84, 26.92, 33.84, 43.16, 33.8, 52.79, 34.42, 28.18, 46.15, 42.18, 36.54, 40.11, 27.0, 36.79, 36.79, 44.12, 21.94, 31.9, 39.91, 27.37, 49.41, 34.86, 27.76, 42.28, 42.36, 29.12, 14.78, 25.73, 30.88, 26.74, 28.94, 32.08, 37.3, 32.06, 26.45, 34.03, 27.22, 24.51, 32.08, 30.82, 37.0, 40.06, 35.99, 46.71, 24.15, 33.88, 28.3, 32.61, 37.38, 25.2, 30.19, 37.38, 29.48, 50.99, 32.01, 39.42, 41.43, 45.99, 38.22, 37.26, 28.95, 33.88, 30.42, 45.38, 29.71, 32.96, 22.61, 41.51]"
7,PTEN,ENSG00000171862.10,Artery_Aorta,50-59,female,"[34.86, 32.14, 37.6, 31.12, 34.61, 33.11, 42.08, 33.66, 36.79, 36.79, 24.89, 34.03, 31.58, 31.93, 24.76, 43.37, 38.74, 29.38, 43.03, 56.21, 50.18, 60.9, 35.64, 28.87, 28.3, 31.78, 44.55, 26.21, 17.19, 41.21, 32.79, 37.79, 35.17, 42.8, 34.24, 25.54, 34.6, 42.44, 39.25, 36.47, 31.06, 30.58, 34.9, 38.17, 39.59, 37.3, 26.43, 27.67, 41.86, 45.86, 37.38, 30.95, 52.15, 28.56, 36.1]"
8,PTEN,ENSG00000171862.10,Artery_Aorta,60-69,male,"[28.14, 35.02, 35.02, 34.5, 30.69, 44.24, 37.52, 31.02, 30.22, 40.77, 25.54, 27.44, 27.62, 36.36, 26.54, 40.14, 31.96, 47.51, 33.51, 41.5, 32.84, 27.09, 38.71, 52.06, 26.03, 37.18, 38.4, 31.44, 30.64, 35.11, 45.64, 30.3, 36.12, 27.06, 32.29, 35.67, 30.79, 32.08, 22.59, 32.85, 32.85, 26.89, 52.48, 27.62, 28.13, 47.51, 33.59, 44.47, 37.82, 40.97, 27.8, 25.97, 29.32, 46.07, 46.08, 35.46, 36.35, 45.15, 35.29, 40.45, 42.89, 32.39, 35.78, 40.57, 32.57, 32.35, 36.36, 27.92, 29.43, 34.86, 33.98, 44.24, 38.29, 32.08, 40.78, 27.26, 35.02, 35.02, 34.56, 32.08, 27.41, 49.58, 33.88, 28.3, 32.67, 26.34, 26.34, 33.65, 24.79, 34.8, 39.29, 39.29, 33.88, 51.09, 44.05, 35.88, 28.58, 32.4, 53.48, 40.41, 48.27]"
9,PTEN,ENSG00000171862.10,Artery_Aorta,60-69,female,"[25.17, 36.14, 30.45, 34.86, 31.42, 31.09, 19.15, 53.72, 36.19, 46.57, 32.85, 32.85, 26.34, 26.34, 36.4, 25.93, 43.91, 63.65, 31.5, 47.81, 31.81, 20.66, 28.77, 41.34, 35.13, 35.13, 42.6, 38.55, 28.3, 40.31, 39.55, 39.44, 38.95, 35.2, 30.45, 45.36, 44.0, 46.75, 43.59, 25.54, 31.44, 28.24, 40.76, 37.81, 29.7, 39.29, 39.29, 33.65, 35.26, 25.15, 28.74, 40.7]"
