,gene,gencodeId,tissue,age,gender,TPMs
0,PTGS2,ENSG00000073756.11,Kidney_Cortex,20-29,male,[1.275]
1,PTGS2,ENSG00000073756.11,Kidney_Cortex,20-29,female,[]
2,PTGS2,ENSG00000073756.11,Kidney_Cortex,30-39,male,"[1.161, 7.525, 2.11, 2.513, 0.5419, 12.31]"
3,PTGS2,ENSG00000073756.11,Kidney_Cortex,30-39,female,"[2.665, 2.202]"
4,PTGS2,ENSG00000073756.11,Kidney_Cortex,40-49,male,"[4.746, 3.741, 2.182, 1.32, 1.181, 5.114]"
5,PTGS2,ENSG00000073756.11,Kidney_Cortex,40-49,female,"[0.9182, 2.451]"
6,PTGS2,ENSG00000073756.11,Kidney_Cortex,50-59,male,"[11.3, 10.21, 2.028, 12.25, 4.909, 31.11, 5.743, 3.215, 3.624, 4.8, 18.09, 3.377, 0.4851, 2.306, 2.731, 5.997, 4.66, 6.225, 0.823, 28.09, 2.666, 0.9373, 2.266]"
7,PTGS2,ENSG00000073756.11,Kidney_Cortex,50-59,female,"[1.42, 3.377, 3.52, 0.9857, 0.7015, 0.7305, 53.63]"
8,PTGS2,ENSG00000073756.11,Kidney_Cortex,60-69,male,"[2.649, 1.592, 10.86, 0.9289, 5.286, 0.7465, 0.4427, 1.738, 19.36, 0.8773, 10.83, 12.59, 2.505, 4.495, 1.641, 3.377, 22.22, 1.208, 0.7647, 3.439, 1.806, 6.531, 0.7516, 0.1744, 0.4802, 1.539, 10.9]"
9,PTGS2,ENSG00000073756.11,Kidney_Cortex,60-69,female,"[43.34, 3.377, 8.516, 0.6137, 11.37, 21.85, 0.5742, 1.852, 1.008]"
10,PTGS2,ENSG00000073756.11,Kidney_Cortex,70-79,male,"[0.7097, 3.853, 20.11, 5.349]"
11,PTGS2,ENSG00000073756.11,Kidney_Cortex,70-79,female,[]
