,gene,gencodeId,tissue,age,gender,TPMs
0,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,20-29,male,"[3.352, 11.01, 13.77, 14.58]"
1,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,20-29,female,[12.87]
2,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,30-39,male,"[13.6, 21.23, 10.01, 9.492]"
3,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,30-39,female,"[8.811, 21.23]"
4,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,40-49,male,"[6.005, 8.609, 10.02, 11.54, 24.01, 10.07, 10.02, 7.984, 3.521, 16.16, 9.204, 13.81, 12.84, 10.02, 11.8, 18.29, 12.67]"
5,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,40-49,female,"[10.46, 7.12, 17.35, 12.84, 8.83]"
6,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,50-59,male,"[14.55, 9.017, 11.19, 10.12, 14.93, 11.62, 6.104, 12.52, 3.418, 13.2, 5.175, 12.95, 10.63, 10.17, 10.03, 6.527, 15.05, 17.76, 12.21, 12.21, 10.59, 10.02, 10.02, 6.552, 12.21, 12.21, 10.61, 10.52, 16.51, 16.59, 10.02, 10.02, 8.824, 7.738, 8.786, 9.755, 10.6, 4.495, 4.144, 5.744, 10.97, 12.26, 7.276, 6.412, 6.287, 3.418, 18.27, 8.384, 10.2, 12.94, 9.968, 7.439, 3.647, 10.6, 10.02, 10.02, 15.01, 12.09, 16.65, 8.337, 7.862, 7.288, 6.783]"
7,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,50-59,female,"[8.378, 33.74, 7.495, 12.94, 14.89, 13.2, 9.714, 15.77, 8.489, 11.32, 5.849, 16.55, 6.262, 3.802]"
8,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,60-69,male,"[9.637, 8.885, 8.495, 9.147, 11.22, 5.797, 8.93, 7.743, 15.3, 9.556, 13.4, 3.418, 13.2, 6.455, 9.87, 13.07, 11.06, 8.817, 31.06, 9.942, 9.405, 19.41, 16.29, 11.4, 4.524, 6.273, 9.64, 26.88, 12.54, 17.53, 10.49, 8.013, 17.98, 7.033, 12.05, 10.6, 6.513, 27.88, 6.72, 11.74, 5.26, 7.831, 10.7, 4.837, 6.864, 8.149, 7.624, 8.106, 6.037, 21.23, 13.04, 15.33, 12.22, 8.739, 3.418, 9.86, 12.84, 11.92, 12.94, 18.75, 12.91, 10.5, 6.944, 12.03, 13.05, 13.91, 5.268, 10.6, 9.045, 4.638, 18.24, 8.4, 5.421, 8.572, 8.873, 5.244, 7.544]"
9,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,60-69,female,"[11.12, 17.46, 11.48, 12.69, 12.92, 9.985, 8.153, 13.24, 14.23, 4.538, 12.94, 9.12, 9.842, 13.2, 4.691, 10.72, 17.85, 21.54, 3.155, 4.402, 14.18, 7.91, 9.334, 12.84, 21.23, 14.59, 6.96, 5.006, 14.12]"
10,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,70-79,male,"[7.396, 22.32, 4.416, 6.329, 13.35, 22.6, 15.23]"
11,PTPN1,ENSG00000196396.9,Brain_Putamen_basal_ganglia,70-79,female,"[9.452, 8.282]"
