,gene,gencodeId,tissue,age,gender,TPMs
0,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[12.19]
1,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[17.61, 8.759, 11.76]"
2,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[25.41, 27.83, 12.95]"
3,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[22.94]
4,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[18.68, 16.62, 17.75, 6.807, 19.93, 31.66, 17.04, 11.03, 24.22, 3.29, 14.44, 13.89, 12.58, 15.96, 21.44, 13.67, 17.85, 21.18, 17.75]"
5,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[16.66, 19.87, 19.18, 12.53, 15.25, 12.5, 13.89]"
6,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[13.93, 11.24, 13.27, 5.595, 15.37, 15.13, 10.97, 17.26, 14.58, 13.92, 17.75, 14.69, 9.708, 17.16, 24.07, 13.61, 11.75, 10.77, 8.99, 13.18, 16.52, 16.52, 9.91, 17.37, 18.91, 9.281, 14.24, 15.87, 14.65, 17.58, 13.49, 13.49, 16.52, 16.52, 14.66, 17.75]"
7,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[10.32, 10.4, 14.28, 17.76, 14.47, 18.0, 15.24, 12.47, 10.57, 17.58]"
8,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[15.32, 12.08, 15.19, 12.37, 17.02, 6.836, 17.99, 13.99, 16.42, 19.46, 16.22, 15.91, 15.82, 11.3, 16.28, 19.19, 19.67, 17.2, 9.128, 19.06, 22.29, 22.2, 6.142, 6.928, 13.91, 16.95, 12.65, 17.62, 11.11, 17.0, 8.512, 15.99, 11.17, 11.95, 13.4, 16.37, 19.51, 18.35, 19.37, 17.58, 12.34, 5.653, 15.79, 14.32, 14.09, 10.8, 16.99, 11.36, 13.89, 19.68, 15.75, 13.49, 16.68, 13.26, 9.109, 16.21, 12.61, 13.49, 15.77, 5.132, 24.91, 16.18, 14.97, 13.82, 17.17, 16.35, 9.186]"
9,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[18.95, 12.75, 13.11, 16.46, 13.74, 10.56, 18.36, 13.83, 21.99, 13.38, 12.94, 12.23, 8.364, 10.69, 15.19, 17.87, 6.404, 10.99, 7.773, 20.48, 16.19, 13.59, 28.72, 4.36, 13.89, 9.043, 17.58]"
10,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[15.19, 5.902, 13.85, 14.8, 10.01, 7.567, 11.58, 7.672, 15.85, 23.76, 20.82]"
11,RGN,ENSG00000130988.12,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[13.16, 19.75, 15.19]"
