,gene,gencodeId,tissue,age,gender,TPMs
0,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,20-29,male,"[39.1, 42.22, 54.35, 41.71, 25.25]"
1,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,20-29,female,"[44.04, 40.4, 45.57]"
2,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,30-39,male,"[42.11, 42.34, 44.79, 36.73]"
3,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,30-39,female,"[8.432, 42.34]"
4,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,40-49,male,"[47.16, 42.36, 12.55, 29.08, 34.68, 44.51, 43.39, 34.04, 51.22, 45.62, 46.96, 47.16]"
5,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,40-49,female,"[49.09, 25.02, 43.21, 6.702, 43.26, 47.76, 45.62, 38.6]"
6,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,50-59,male,"[37.5, 47.16, 37.57, 42.21, 27.7, 47.63, 49.71, 41.3, 36.85, 41.62, 52.94, 37.13, 45.24, 31.07, 15.3, 40.33, 43.56, 35.2, 38.7, 43.53, 47.37, 34.4, 38.88, 46.49, 46.4, 56.36, 52.71, 39.58, 19.94, 20.46, 22.27, 40.14, 34.3, 40.91, 21.61, 35.05, 46.34, 34.0, 46.49, 8.972, 56.39, 43.03, 36.25, 34.82, 32.98, 36.64, 45.64, 53.34, 49.64, 35.0, 53.52, 38.81, 47.16]"
7,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,50-59,female,"[46.99, 8.357, 42.25, 45.15, 21.8, 7.715, 44.16, 37.77, 30.87, 20.66, 8.792, 33.81, 40.64, 26.23]"
8,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,60-69,male,"[40.8, 50.68, 27.47, 27.47, 42.9, 26.47, 39.04, 37.86, 23.75, 47.04, 45.79, 12.53, 30.84, 13.82, 47.05, 41.4, 27.88, 38.65, 26.28, 18.55, 42.48, 22.58, 36.18, 40.47, 36.39, 25.82, 41.24, 46.49, 30.76, 26.22, 15.42, 15.16, 38.33, 44.14, 51.19, 50.72, 34.24, 43.89, 29.04, 53.11, 40.66, 26.65, 37.32, 34.69, 35.08, 43.89, 36.31, 39.43, 32.73, 36.87, 23.97, 38.63, 46.49, 24.92, 27.47, 27.47, 45.45, 32.57, 48.49, 29.81, 45.07, 17.6, 28.44, 30.69, 30.81, 28.17, 20.73, 43.19, 28.86, 44.05, 39.98, 39.98, 34.57, 39.0, 45.62, 41.12, 34.47, 39.71, 45.4, 33.28, 27.86, 8.246]"
9,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,60-69,female,"[23.9, 48.87, 39.98, 39.98, 29.52, 30.72, 42.7, 32.31, 19.58, 30.89, 34.87, 56.64, 17.17, 43.13, 40.27, 37.87, 27.27, 38.82, 43.0, 25.67, 21.99, 26.77, 24.82, 50.85, 15.04, 37.03, 12.41, 33.6, 45.62, 19.81, 33.57]"
10,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,70-79,male,"[29.61, 42.34, 45.72, 30.77, 15.38, 25.17, 43.89, 38.74, 43.89, 23.4, 40.26, 34.98]"
11,RGN,ENSG00000130988.12,Brain_Cerebellar_Hemisphere,70-79,female,"[46.45, 26.52, 42.34]"
