,gene,gencodeId,tissue,age,gender,TPMs
0,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,20-29,male,"[21.91, 24.07, 29.45]"
1,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,20-29,female,[30.56]
2,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,30-39,male,[14.01]
3,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,30-39,female,[30.9]
4,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,40-49,male,"[10.79, 18.37, 12.06, 13.98, 14.06, 23.55, 31.41]"
5,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,40-49,female,"[12.17, 19.22, 7.698, 10.63, 7.929, 22.87, 17.88, 8.663, 23.97]"
6,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,50-59,male,"[16.54, 18.2, 18.91, 8.797, 13.99, 18.97, 7.225, 10.96, 24.43, 15.42, 10.1, 22.14, 21.68, 28.8, 34.24, 26.61, 18.3, 24.68, 27.44, 19.91, 19.5, 26.61, 18.28, 20.39, 18.86, 17.31, 11.06, 11.06, 15.61, 14.24, 23.02, 11.65, 16.03, 21.47]"
7,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,50-59,female,"[10.58, 19.91, 18.92, 14.57, 22.09, 15.79, 22.88, 11.06, 11.06, 9.451, 16.45, 23.86, 24.08, 20.32, 8.258, 23.86, 31.65, 6.83]"
8,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,60-69,male,"[11.02, 23.71, 17.06, 23.72, 17.27, 18.06, 3.922, 18.7, 28.67, 9.64, 22.49, 26.61, 25.12, 29.59, 40.76, 18.65, 23.78, 23.14, 22.11, 19.91, 8.394, 20.74, 21.62, 16.08, 20.01, 20.01, 23.45, 3.159, 7.628, 26.61, 21.49, 14.86, 11.45, 17.67, 4.529, 7.014, 11.2, 11.2, 20.01, 20.01, 15.75, 5.728, 19.9, 17.14, 7.33, 21.36, 29.11, 22.98, 15.69, 20.01, 20.01, 10.87, 32.37, 21.98, 24.94, 15.63]"
9,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,60-69,female,"[16.5, 12.97, 11.4, 19.85, 19.91, 30.52, 21.84, 12.07, 11.2, 11.2, 19.03, 28.93, 23.86, 7.255, 15.83, 19.68, 25.99, 10.88, 8.091, 9.024, 15.31, 18.83, 29.55, 17.32, 21.21, 11.26, 18.68, 23.86, 26.73, 15.44, 19.51]"
10,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,70-79,male,"[21.19, 12.0, 9.516, 19.0, 23.7, 16.94, 20.01, 4.86, 31.34, 20.01, 24.63, 20.01]"
11,RPA1,ENSG00000132383.11,Brain_Spinal_cord_cervical_c-1,70-79,female,"[25.71, 15.59]"
