,gene,gencodeId,tissue,age,gender,TPMs
0,S100B,ENSG00000160307.9,Liver,20-29,male,"[0.7864, 1.08, 6.55, 0.327]"
1,S100B,ENSG00000160307.9,Liver,20-29,female,"[0.7818, 0.6023, 0.2586, 0.7818]"
2,S100B,ENSG00000160307.9,Liver,30-39,male,"[1.378, 0.5314, 2.376, 1.332, 1.311, 2.837, 1.168, 4.983, 0.6049, 1.977, 0.4836, 1.908, 0.8262, 0.7468]"
3,S100B,ENSG00000160307.9,Liver,30-39,female,"[0.5301, 1.56, 3.39]"
4,S100B,ENSG00000160307.9,Liver,40-49,male,"[0.7091, 0.4034, 0.9849, 2.472, 0.5594, 0.528, 2.353, 1.108, 0.7028, 0.9798, 3.105, 1.677, 0.6542, 2.357, 0.9228, 1.182, 0.6774, 0.4385, 1.605, 1.699, 0.7219, 1.037, 1.228, 0.6781]"
5,S100B,ENSG00000160307.9,Liver,40-49,female,"[0.7818, 2.104, 0.6856, 0.4209, 1.336, 0.6439, 0.6439, 2.776, 0.9453, 2.438, 0.321, 0.5099, 0.7818]"
6,S100B,ENSG00000160307.9,Liver,50-59,male,"[1.128, 0.9272, 0.9272, 0.7302, 1.006, 0.3809, 2.538, 0.6658, 1.29, 0.6056, 2.528, 1.461, 0.9545, 0.7118, 0.09599, 2.325, 1.515, 0.6492, 0.6465, 3.757, 0.9272, 0.9272, 0.4146, 0.2145, 0.7192, 0.1493, 0.4824, 0.7359, 0.7287, 0.7707, 0.7834, 0.4263, 1.181, 0.7202, 0.6317, 0.5392, 0.7519, 0.344, 0.6412, 2.703, 0.6007, 0.4435, 0.3747, 0.5658, 0.3113, 1.248, 1.008, 0.8642, 0.3204, 0.4014, 2.129, 0.2795, 0.5215, 0.9606, 5.002, 1.298, 0.2186, 1.129, 0.2329, 1.121, 2.347, 0.6257, 2.975]"
7,S100B,ENSG00000160307.9,Liver,50-59,female,"[0.7062, 1.461, 0.7355, 7.24, 1.158, 0.6984, 0.2839, 0.7516, 0.2797, 0.5225, 0.3045, 0.4977, 1.392, 3.276, 0.702, 0.3985, 0.5543, 0.6539, 0.809, 1.255, 0.8437, 1.145, 1.744]"
8,S100B,ENSG00000160307.9,Liver,60-69,male,"[0.3223, 0.9879, 1.895, 1.369, 0.3597, 0.7178, 0.1551, 0.8362, 0.3319, 0.4884, 0.6482, 1.383, 0.5773, 0.03629, 0.6234, 1.461, 0.5488, 0.2231, 11.58, 0.3865, 3.858, 1.213, 2.854, 0.5979, 1.495, 2.172, 2.391, 0.4894, 2.089, 0.79, 0.7758, 0.3948, 0.7227, 1.553, 1.003, 0.6127, 0.4296, 0.8778, 0.4616, 0.1915, 0.6973, 6.294, 1.183, 1.42, 0.1889, 0.9146, 0.4353, 1.78, 3.85, 0.299, 0.6237, 0.959, 0.8594, 0.3023, 0.4318, 1.646]"
9,S100B,ENSG00000160307.9,Liver,60-69,female,"[0.9431, 0.7642, 1.559, 1.802, 1.461, 0.6169, 2.373, 0.4203, 1.252, 0.3, 0.7889, 0.9037, 1.288, 1.013, 0.419, 0.5633, 0.6439, 0.6439, 0.233, 0.7414, 0.1873, 0.4663, 0.7203, 1.263, 2.715]"
10,S100B,ENSG00000160307.9,Liver,70-79,male,"[2.178, 1.462, 0.484]"
11,S100B,ENSG00000160307.9,Liver,70-79,female,"[0.08403, 0.6657]"
