,gene,gencodeId,tissue,age,gender,TPMs
0,SIRT3,ENSG00000142082.14,Brain_Amygdala,20-29,male,"[17.81, 16.92, 14.13]"
1,SIRT3,ENSG00000142082.14,Brain_Amygdala,20-29,female,"[10.36, 14.86, 10.36]"
2,SIRT3,ENSG00000142082.14,Brain_Amygdala,30-39,male,"[17.16, 9.423]"
3,SIRT3,ENSG00000142082.14,Brain_Amygdala,30-39,female,"[10.77, 14.79, 10.77]"
4,SIRT3,ENSG00000142082.14,Brain_Amygdala,40-49,male,"[11.8, 13.43, 16.89, 19.33, 8.609, 8.903, 19.01, 11.91]"
5,SIRT3,ENSG00000142082.14,Brain_Amygdala,40-49,female,"[16.18, 9.894, 11.49, 18.57, 15.68]"
6,SIRT3,ENSG00000142082.14,Brain_Amygdala,50-59,male,"[10.57, 12.25, 6.385, 6.77, 8.592, 18.52, 10.84, 16.29, 6.271, 5.745, 6.45, 4.488, 13.8, 10.82, 4.27, 13.82, 11.55, 16.46, 6.97, 7.624, 5.895, 5.897, 14.55, 5.813, 15.54, 9.653, 18.44, 9.188, 8.74, 10.16, 13.68, 12.38, 15.37, 19.34]"
7,SIRT3,ENSG00000142082.14,Brain_Amygdala,50-59,female,"[7.175, 12.83, 16.13, 7.869, 10.95, 10.53, 2.188, 15.8, 6.625, 4.27, 14.52, 13.35]"
8,SIRT3,ENSG00000142082.14,Brain_Amygdala,60-69,male,"[9.194, 2.953, 6.734, 3.703, 7.612, 6.275, 6.269, 4.603, 15.55, 9.562, 11.77, 7.248, 13.71, 11.96, 7.525, 4.27, 5.036, 10.46, 3.25, 12.57, 14.7, 12.33, 21.92, 18.05, 12.5, 7.778, 8.019, 6.619, 8.563, 14.15, 9.724, 6.204, 13.08, 11.18, 5.991, 16.93, 10.3, 9.147, 11.57, 18.89, 7.49, 2.63, 2.974, 14.37, 11.76, 9.088, 11.17, 8.183, 9.55, 8.34, 20.74, 6.278, 3.217]"
9,SIRT3,ENSG00000142082.14,Brain_Amygdala,60-69,female,"[11.22, 12.03, 15.92, 12.3, 14.29, 14.24, 13.36, 3.389, 12.85, 7.817, 13.41, 10.36, 10.77, 3.475, 3.455, 12.78, 5.406, 9.818, 12.56, 4.27, 20.31, 15.9, 12.84, 10.36, 10.77]"
10,SIRT3,ENSG00000142082.14,Brain_Amygdala,70-79,male,"[9.401, 12.96, 5.845, 8.914, 12.31, 2.466, 6.082, 14.6]"
11,SIRT3,ENSG00000142082.14,Brain_Amygdala,70-79,female,"[9.271, 1.735]"
