,gene,gencodeId,tissue,age,gender,TPMs
0,SOD2,ENSG00000112096.16,Kidney_Cortex,20-29,male,[57.51]
1,SOD2,ENSG00000112096.16,Kidney_Cortex,20-29,female,[]
2,SOD2,ENSG00000112096.16,Kidney_Cortex,30-39,male,"[130.3, 107.5, 19.24, 236.1, 78.04, 27.09]"
3,SOD2,ENSG00000112096.16,Kidney_Cortex,30-39,female,"[77.83, 65.68]"
4,SOD2,ENSG00000112096.16,Kidney_Cortex,40-49,male,"[63.26, 92.75, 48.28, 20.32, 232.6, 117.5]"
5,SOD2,ENSG00000112096.16,Kidney_Cortex,40-49,female,"[273.5, 96.26]"
6,SOD2,ENSG00000112096.16,Kidney_Cortex,50-59,male,"[20.16, 22.86, 16.46, 70.74, 34.48, 153.2, 17.06, 20.97, 27.05, 303.2, 270.1, 18.47, 129.2, 46.69, 22.69, 69.75, 31.43, 79.48, 145.2, 28.27, 45.53, 98.16, 46.19]"
7,SOD2,ENSG00000112096.16,Kidney_Cortex,50-59,female,"[183.8, 28.98, 84.29, 18.56, 386.6, 30.79]"
8,SOD2,ENSG00000112096.16,Kidney_Cortex,60-69,male,"[32.75, 15.61, 108.8, 176.9, 184.5, 142.4, 202.4, 30.31, 231.9, 335.8, 21.24, 20.04, 163.7, 98.15, 44.75, 59.13, 72.39, 586.7, 73.12, 72.1, 23.67, 155.6, 61.74, 112.6, 11.42, 57.8]"
9,SOD2,ENSG00000112096.16,Kidney_Cortex,60-69,female,"[350.4, 83.4, 16.63, 110.5, 661.9, 515.1, 133.9, 25.54, 71.25]"
10,SOD2,ENSG00000112096.16,Kidney_Cortex,70-79,male,"[24.38, 23.03, 53.16, 684.5]"
11,SOD2,ENSG00000112096.16,Kidney_Cortex,70-79,female,[]
