,gene,gencodeId,tissue,age,gender,TPMs
0,SP1,ENSG00000185591.9,Spleen,20-29,male,"[37.49, 32.92, 41.61, 27.87, 32.22, 29.41, 36.72, 31.86, 38.35, 37.32, 36.02, 30.82, 27.93, 21.96]"
1,SP1,ENSG00000185591.9,Spleen,20-29,female,"[39.47, 48.72, 54.61, 36.72, 36.96, 31.59, 32.88, 17.33, 33.81, 37.49]"
2,SP1,ENSG00000185591.9,Spleen,30-39,male,"[37.49, 36.51, 40.79, 25.09, 28.3, 22.27, 34.11, 22.04, 30.42, 37.78, 37.78, 46.01, 39.8, 40.79, 28.21, 37.78, 37.78, 33.06, 21.91, 37.86, 40.73, 21.83, 28.31, 25.96]"
3,SP1,ENSG00000185591.9,Spleen,30-39,female,"[36.21, 28.69, 34.4, 33.52, 24.69, 31.22, 28.69, 23.98, 25.87, 33.28, 37.49]"
4,SP1,ENSG00000185591.9,Spleen,40-49,male,"[25.88, 16.79, 48.41, 34.18, 34.18, 36.0, 42.41, 31.87, 31.65, 37.4, 34.85, 39.49, 37.93, 43.92, 26.94, 59.91, 30.27, 31.53, 19.72, 30.55, 34.47, 28.22, 27.31, 40.03, 33.24, 30.44, 34.24, 35.58, 34.0, 34.01, 31.58, 38.79]"
5,SP1,ENSG00000185591.9,Spleen,40-49,female,"[28.69, 34.18, 34.18, 28.95, 21.32, 19.72, 30.75, 40.91, 29.43, 34.18, 34.18, 22.87, 34.57, 28.69, 30.97, 20.9, 34.33, 42.95, 30.9, 34.38, 34.81, 28.85, 29.55]"
6,SP1,ENSG00000185591.9,Spleen,50-59,male,"[33.56, 27.08, 40.79, 28.39, 45.95, 37.68, 31.2, 39.57, 34.18, 46.4, 31.34, 36.91, 34.65, 36.99, 35.53, 47.92, 42.47, 32.27, 41.18, 56.32, 28.17, 44.6, 33.89, 33.89, 48.49, 31.38, 39.35, 40.51, 30.15, 40.79, 36.89, 47.29, 36.72, 21.33, 32.34, 27.97, 29.19, 26.57, 46.52, 33.89, 33.89, 28.28, 35.39, 19.72, 30.12, 27.49, 58.32, 33.86, 49.4, 30.2, 34.67, 34.84, 46.37, 38.56, 29.6, 31.69, 38.96, 27.8, 30.37, 46.96, 36.88, 29.22, 32.6]"
7,SP1,ENSG00000185591.9,Spleen,50-59,female,"[34.18, 32.71, 45.94, 33.25, 23.6, 19.72, 29.23, 31.49, 36.72, 37.7, 55.68, 33.42, 34.18, 51.85, 25.11, 46.19, 36.43, 46.95, 36.57, 28.16, 30.09, 38.72, 36.95, 33.16, 31.92, 12.37, 28.0, 27.6, 27.07, 32.09]"
8,SP1,ENSG00000185591.9,Spleen,60-69,male,"[40.4, 33.18, 33.18, 27.65, 35.85, 33.61, 49.66, 35.75, 23.83, 42.12, 50.98, 22.95, 19.01, 50.06, 27.12, 39.68, 30.72, 28.24, 17.9, 23.21, 33.18, 33.18, 44.33, 28.78, 45.82, 37.76, 26.16, 32.11, 32.76, 34.1, 38.68]"
9,SP1,ENSG00000185591.9,Spleen,60-69,female,"[39.39, 36.85, 41.75, 41.47, 25.28, 32.54, 39.29, 30.98, 38.82, 22.28, 46.84, 23.8, 45.77, 24.02, 44.76, 43.48, 29.26, 42.62, 40.04, 37.5, 34.52]"
10,SP1,ENSG00000185591.9,Spleen,70-79,male,"[25.08, 48.2, 29.57]"
11,SP1,ENSG00000185591.9,Spleen,70-79,female,[31.48]
