,gene,gencodeId,tissue,age,gender,TPMs
0,STUB1,ENSG00000103266.10,Spleen,20-29,male,"[76.93, 77.99, 66.52, 80.21, 93.22, 73.65, 68.14, 80.55, 40.32, 66.64, 104.7, 50.49, 76.21]"
1,STUB1,ENSG00000103266.10,Spleen,20-29,female,"[62.25, 76.93, 75.3, 93.66, 62.98, 55.47, 77.65, 51.07, 85.72, 67.69]"
2,STUB1,ENSG00000103266.10,Spleen,30-39,male,"[57.44, 55.21, 52.57, 60.91, 63.31, 60.85, 65.78, 69.07, 67.31, 43.63, 65.17, 62.79, 79.65, 53.48, 84.73, 54.1, 73.93, 54.94, 79.08, 85.82, 81.76, 68.44, 57.44]"
3,STUB1,ENSG00000103266.10,Spleen,30-39,female,"[67.31, 73.1, 69.05, 55.56, 68.48, 49.75, 45.3, 63.1, 67.72]"
4,STUB1,ENSG00000103266.10,Spleen,40-49,male,"[62.45, 49.04, 80.01, 80.01, 61.05, 57.87, 67.31, 57.06, 70.0, 69.14, 89.95, 71.12, 80.01, 80.01, 78.99, 85.33, 93.08, 70.39, 73.74, 80.88, 60.5, 70.14, 70.14, 71.53, 73.6, 78.66, 68.71, 68.71, 62.07, 62.8, 70.14, 70.14, 79.76, 76.97]"
5,STUB1,ENSG00000103266.10,Spleen,40-49,female,"[67.31, 57.32, 68.71, 68.71, 73.84, 41.64, 38.93, 69.66, 53.44, 74.77, 59.26, 61.6, 71.6, 71.6, 71.6, 71.6, 37.74, 71.65, 71.32, 73.99, 70.3, 70.33, 87.3, 56.08]"
6,STUB1,ENSG00000103266.10,Spleen,50-59,male,"[62.96, 47.52, 57.44, 76.93, 65.05, 86.96, 58.05, 45.76, 86.43, 60.27, 74.1, 49.74, 66.84, 60.48, 53.45, 84.34, 80.29, 77.33, 57.21, 107.7, 57.76, 63.47, 50.42, 52.13, 56.81, 64.64, 89.04, 70.09, 101.3, 90.06, 53.41, 74.55, 55.83, 63.34, 83.45, 53.23, 75.78, 65.16, 79.46, 64.34, 88.71, 48.63, 69.03, 91.31, 84.5, 72.57, 80.48, 86.69, 75.92, 79.67, 73.46, 97.33, 74.94, 57.44, 57.35, 56.79, 75.23, 73.94, 96.42, 76.34, 79.1]"
7,STUB1,ENSG00000103266.10,Spleen,50-59,female,"[89.0, 76.83, 65.77, 74.17, 76.93, 72.53, 35.7, 71.73, 58.58, 77.52, 61.3, 63.3, 90.18, 41.49, 121.0, 52.02, 72.51, 51.32, 69.43, 77.85, 71.69, 53.93, 33.58, 47.29, 55.02, 57.31, 61.69]"
8,STUB1,ENSG00000103266.10,Spleen,60-69,male,"[88.97, 65.59, 66.37, 56.74, 83.67, 71.33, 66.8, 69.09, 93.07, 60.17, 58.32, 64.37, 68.28, 47.85, 74.3, 117.7, 77.02, 57.79, 86.51, 105.7, 83.74, 82.16, 61.73, 64.31, 54.81, 73.37, 68.3, 72.32, 76.11]"
9,STUB1,ENSG00000103266.10,Spleen,60-69,female,"[71.79, 60.23, 64.98, 87.31, 75.1, 56.3, 62.67, 81.61, 73.4, 44.93, 52.05, 48.04, 95.09, 85.45, 87.18, 85.39, 73.2, 83.22, 68.66, 62.81, 65.07]"
10,STUB1,ENSG00000103266.10,Spleen,70-79,male,"[80.7, 69.76, 60.71]"
11,STUB1,ENSG00000103266.10,Spleen,70-79,female,[76.2]
