,gene,gencodeId,tissue,age,gender,TPMs
0,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,20-29,male,"[8.222, 12.95, 12.69]"
1,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,20-29,female,[10.92]
2,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,30-39,male,[6.437]
3,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,30-39,female,[14.47]
4,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,40-49,male,"[7.01, 15.77, 5.235, 8.902, 7.415, 10.19, 12.52]"
5,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,40-49,female,"[5.934, 10.32, 3.453, 7.51, 2.994, 14.36, 11.91, 3.444, 13.55]"
6,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,50-59,male,"[18.15, 8.078, 11.28, 6.126, 7.801, 11.59, 3.672, 4.945, 13.31, 12.88, 7.28, 11.21, 11.21, 10.48, 11.02, 19.3, 15.69, 18.07, 12.36, 15.23, 17.48, 9.451, 11.59, 8.093, 9.876, 9.544, 9.357, 6.811, 8.021, 4.493, 11.73, 5.051, 6.149, 14.44]"
7,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,50-59,female,"[5.895, 11.02, 8.662, 8.864, 8.138, 9.269, 13.74, 5.572, 4.953, 12.75, 14.78, 13.09, 11.21, 11.21, 3.586, 12.75, 23.09, 4.057]"
8,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,60-69,male,"[5.231, 11.59, 17.95, 7.178, 16.13, 8.781, 7.451, 1.978, 9.268, 15.72, 5.514, 11.02, 12.16, 18.64, 21.96, 10.46, 13.97, 10.87, 8.827, 10.34, 4.803, 6.766, 7.608, 5.883, 11.7, 11.59, 2.338, 2.001, 14.64, 15.19, 9.431, 5.953, 8.386, 1.355, 2.73, 4.155, 10.17, 3.542, 9.886, 8.46, 3.531, 11.09, 14.9, 6.123, 7.555, 12.11, 5.785, 12.6, 11.5, 12.0, 8.434]"
9,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,60-69,female,"[7.648, 6.612, 6.612, 5.09, 9.647, 11.02, 10.03, 12.15, 6.612, 6.612, 7.702, 9.686, 10.79, 12.75, 2.52, 7.381, 9.417, 10.4, 8.623, 5.506, 5.506, 5.506, 5.506, 8.076, 11.35, 12.75, 9.045, 14.27, 6.064, 8.681, 11.05, 8.689, 4.587, 7.377]"
10,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,70-79,male,"[13.88, 8.866, 10.09, 8.005, 12.73, 7.65, 3.502, 16.8, 8.449, 12.81]"
11,TBP,ENSG00000112592.13,Brain_Spinal_cord_cervical_c-1,70-79,female,"[10.1, 9.748]"
