,gene,gencodeId,tissue,age,gender,TPMs
0,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,20-29,male,"[7.958, 7.156]"
1,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[7.958, 4.527, 5.066]"
2,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[5.532, 11.13, 6.009]"
3,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[9.968]
4,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[7.057, 6.995, 4.501, 6.628, 8.706, 6.196, 8.908, 4.368, 9.203, 3.447, 8.41, 6.061, 15.27, 10.68, 8.054, 8.306, 7.293, 7.71]"
5,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[8.341, 10.33, 6.628, 6.258, 7.093, 6.938, 6.893]"
6,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[6.897, 8.311, 5.936, 4.765, 6.913, 7.62, 7.353, 8.686, 7.432, 8.575, 7.541, 7.282, 6.628, 8.22, 11.12, 7.961, 6.533, 7.048, 6.438, 5.626, 8.273, 5.577, 9.481, 6.283, 4.589, 8.07, 4.782, 5.8, 7.633, 6.879, 10.27, 6.582]"
7,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[3.15, 5.767, 6.758, 9.516, 9.728, 6.628, 6.672, 8.021, 8.414, 5.35]"
8,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[6.395, 5.573, 7.034, 7.63, 7.592, 5.637, 7.654, 7.958, 8.198, 7.414, 16.36, 15.57, 11.15, 9.787, 9.229, 8.703, 6.994, 5.715, 5.215, 8.244, 9.444, 6.111, 5.593, 7.64, 10.15, 6.36, 7.894, 4.752, 6.535, 3.68, 8.048, 4.969, 5.894, 8.385, 7.008, 9.029, 7.618, 8.559, 5.596, 4.96, 7.015, 6.562, 9.395, 5.655, 8.873, 5.111, 5.6, 7.677, 6.882, 6.309, 8.784, 4.748, 4.88, 7.454, 6.302, 12.46, 2.685, 10.42, 10.73, 8.811, 6.772, 8.885, 8.381, 7.359]"
9,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[6.472, 4.859, 6.296, 7.199, 6.999, 5.257, 8.33, 8.078, 9.987, 8.081, 8.253, 7.381, 6.003, 6.351, 7.958, 8.296, 8.644, 6.451, 5.04, 4.681, 8.439, 13.01, 6.569, 5.774, 14.46, 5.502, 6.781]"
10,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[5.952, 4.828, 8.283, 7.943, 6.5, 4.137, 5.602, 3.891, 7.861, 10.55, 9.706]"
11,TCF3,ENSG00000071564.14,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[7.428, 7.995]"
