,gene,gencodeId,tissue,age,gender,TPMs
0,TCF3,ENSG00000071564.14,Kidney_Cortex,20-29,male,[8.047]
1,TCF3,ENSG00000071564.14,Kidney_Cortex,20-29,female,[]
2,TCF3,ENSG00000071564.14,Kidney_Cortex,30-39,male,"[15.45, 21.65, 6.677, 16.77, 7.454, 23.42]"
3,TCF3,ENSG00000071564.14,Kidney_Cortex,30-39,female,"[33.52, 11.92]"
4,TCF3,ENSG00000071564.14,Kidney_Cortex,40-49,male,"[11.61, 8.526, 7.086, 12.59, 6.117, 26.13]"
5,TCF3,ENSG00000071564.14,Kidney_Cortex,40-49,female,"[11.27, 8.953]"
6,TCF3,ENSG00000071564.14,Kidney_Cortex,50-59,male,"[5.592, 23.01, 23.01, 13.25, 6.074, 23.01, 23.01, 6.265, 10.58, 27.63, 6.673, 6.733, 8.027, 12.1, 12.91, 10.58, 5.294, 5.592, 7.339, 14.41, 8.717, 36.79, 7.607, 42.58, 10.95, 16.97, 18.14]"
7,TCF3,ENSG00000071564.14,Kidney_Cortex,50-59,female,"[13.91, 6.476, 9.533, 9.364, 10.21, 26.11]"
8,TCF3,ENSG00000071564.14,Kidney_Cortex,60-69,male,"[11.76, 5.592, 19.84, 8.432, 17.63, 11.42, 6.75, 10.4, 24.0, 11.67, 9.773, 7.974, 7.952, 9.928, 7.551, 5.592, 9.428, 4.525, 15.52, 22.99, 11.3, 9.655, 9.479, 4.555, 6.56, 7.24, 34.62]"
9,TCF3,ENSG00000071564.14,Kidney_Cortex,60-69,female,"[22.09, 28.68, 7.875, 13.2, 22.65, 19.9, 10.07, 7.663, 14.08]"
10,TCF3,ENSG00000071564.14,Kidney_Cortex,70-79,male,"[10.58, 13.99, 10.58, 23.22, 14.83]"
11,TCF3,ENSG00000071564.14,Kidney_Cortex,70-79,female,[]
