,gene,gencodeId,tissue,age,gender,TPMs
0,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,20-29,male,"[8.216, 13.04, 10.63, 12.89]"
1,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,20-29,female,"[15.86, 13.74, 13.56]"
2,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,30-39,male,"[17.94, 12.94, 14.15, 17.94]"
3,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,30-39,female,"[12.45, 12.8]"
4,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,40-49,male,"[10.98, 6.708, 3.222, 13.11, 16.01, 13.81, 14.8, 15.78, 11.6, 3.227, 9.795, 2.252, 18.21, 14.8, 17.75, 19.48, 13.81, 15.64, 11.68, 12.24]"
5,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,40-49,female,"[14.79, 10.73, 2.718, 10.5, 10.72, 16.01, 12.26]"
6,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,50-59,male,"[13.05, 10.62, 13.82, 10.05, 14.57, 11.42, 11.42, 5.183, 13.05, 8.788, 17.99, 10.62, 5.62, 15.0, 13.6, 12.43, 14.6, 15.71, 15.71, 18.2, 17.54, 14.83, 11.42, 11.42, 6.403, 15.97, 6.491, 15.51, 16.56, 13.81, 16.92, 10.33, 10.33, 13.87, 12.92, 17.76, 8.47, 2.83, 6.98, 1.21, 11.53, 14.59, 5.448, 6.806, 13.98, 4.593, 18.62, 10.57, 9.882, 21.01, 3.764, 9.272, 12.08, 9.779, 3.385, 11.17, 18.79, 18.79, 13.81, 18.61, 15.44, 15.3, 4.232, 16.13, 14.13]"
7,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,50-59,female,"[14.51, 2.879, 13.65, 15.71, 15.71, 15.01, 18.78, 10.33, 10.33, 16.28, 11.59, 9.309, 14.94, 6.072, 16.36, 15.95, 9.873, 18.79, 18.79, 5.592, 3.807]"
8,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,60-69,male,"[13.05, 14.18, 11.62, 10.62, 9.884, 11.18, 8.515, 6.04, 8.256, 13.05, 10.1, 15.31, 11.23, 3.361, 10.62, 8.481, 13.12, 7.715, 14.36, 16.01, 9.914, 7.403, 2.361, 17.17, 6.636, 12.14, 2.034, 11.88, 10.95, 15.05, 16.55, 20.4, 7.276, 14.8, 3.351, 17.94, 3.687, 12.99, 13.47, 3.513, 13.52, 15.84, 12.7, 24.49, 12.41, 14.87, 10.76, 12.11, 3.586, 11.77, 13.92, 9.874, 15.94, 10.77, 9.758, 10.87, 5.966, 19.49, 14.2, 4.783, 12.15, 8.261, 10.34, 9.821, 8.21, 10.89, 11.64, 14.67, 7.117, 18.25, 5.317, 13.64, 7.605, 14.8, 13.4, 6.533, 4.781, 12.51, 10.28, 17.63, 18.05, 18.05, 3.634, 17.04, 14.35, 1.593, 17.94, 10.0, 13.72, 9.923, 11.2, 9.441, 6.262, 9.646]"
9,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,60-69,female,"[9.748, 8.34, 18.05, 18.05, 13.15, 11.79, 7.98, 17.02, 16.19, 4.767, 12.1, 9.055, 1.956, 15.91, 6.527, 3.977, 5.181, 11.86, 2.001, 12.76, 3.666, 5.855, 15.09, 14.68, 8.452, 12.63, 16.01, 21.36, 12.55, 11.69, 34.87, 4.601, 9.788]"
10,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,70-79,male,"[8.745, 3.326, 17.18, 9.216, 5.231, 15.8, 5.617, 8.112, 15.1, 17.89, 11.32, 15.88]"
11,TERF2,ENSG00000132604.10,Brain_Nucleus_accumbens_basal_ganglia,70-79,female,"[13.76, 9.933, 2.431]"
