,gene,gencodeId,tissue,age,gender,TPMs
0,TOP2A,ENSG00000131747.14,Liver,20-29,male,"[0.4519, 0.2482, 8.14, 0.09662]"
1,TOP2A,ENSG00000131747.14,Liver,20-29,female,"[0.136, 0.745, 0.5198]"
2,TOP2A,ENSG00000131747.14,Liver,30-39,male,"[3.394, 0.06318, 4.549, 6.421, 0.01059, 0.4047, 0.1718, 2.027, 0.2017, 0.1934, 0.0524, 0.372, 0.9206, 0.05324]"
3,TOP2A,ENSG00000131747.14,Liver,30-39,female,"[4.747, 4.864, 0.2179]"
4,TOP2A,ENSG00000131747.14,Liver,40-49,male,"[2.886, 1.065, 0.1011, 0.322, 1.518, 0.1033, 0.07092, 0.8301, 0.4093, 0.3461, 7.248, 0.3212, 0.1011, 0.06713, 0.07478, 0.06628, 0.4723, 0.3545, 0.1334, 0.3221, 38.59, 0.1351, 0.1948, 0.6383, 0.3017]"
5,TOP2A,ENSG00000131747.14,Liver,40-49,female,"[0.5045, 0.1661, 1.444, 0.2468, 0.1192, 7.813, 0.1507, 2.316, 2.762, 5.2, 0.09041]"
6,TOP2A,ENSG00000131747.14,Liver,50-59,male,"[2.03, 0.1348, 0.6759, 0.1692, 0.2449, 0.2109, 0.1292, 0.9003, 0.1032, 0.2321, 0.3038, 0.1987, 0.2777, 0.3188, 0.06132, 0.1705, 0.3715, 0.1602, 0.1395, 0.2552, 0.06037, 0.1064, 0.2968, 0.01226, 0.2899, 3.661, 0.2752, 0.1481, 0.2551, 0.7048, 1.634, 0.07739, 0.2633, 0.1574, 0.0944, 0.5995, 0.2106, 0.5689, 0.6213, 0.4131, 0.1384, 0.6583, 2.354, 0.2548, 0.5312, 0.7731, 1.506, 0.07061, 0.3481, 1.327, 0.1336, 0.2191, 0.4875, 7.097, 2.166, 0.1933, 0.1434, 0.2621, 0.6697, 3.274, 0.4027]"
7,TOP2A,ENSG00000131747.14,Liver,50-59,female,"[0.1504, 0.2579, 1.311, 9.034, 0.4544, 0.2809, 0.2564, 0.1041, 0.06887, 0.06095, 0.135, 0.2451, 2.948, 0.3174, 4.603, 0.271, 1.553, 0.05176, 0.09376, 0.3338, 1.53, 0.1064, 1.449]"
8,TOP2A,ENSG00000131747.14,Liver,60-69,male,"[0.0496, 0.08515, 0.2159, 0.2991, 0.2547, 0.2291, 0.04457, 0.1183, 0.06538, 0.07476, 0.1969, 0.1453, 0.3199, 0.3351, 0.3127, 0.9128, 0.09958, 0.06278, 1.786, 0.1011, 0.8615, 0.05432, 0.4473, 0.2715, 1.353, 1.202, 2.369, 0.1112, 0.1429, 0.2694, 10.09, 0.2755, 3.03, 0.3694, 0.1565, 2.0, 0.1058, 0.1015, 0.2463, 0.1449, 0.1717, 1.572, 0.01618, 0.1014, 0.1011, 0.1728, 0.2272, 0.2315, 34.04, 0.2925, 0.06749, 0.4977, 0.05527, 0.7125, 0.1218, 0.2814, 0.1483]"
9,TOP2A,ENSG00000131747.14,Liver,60-69,female,"[0.3906, 0.1882, 0.3988, 1.05, 0.0633, 0.1111, 0.05914, 0.0, 0.1182, 1.155, 0.1535, 0.4387, 0.2773, 0.3424, 0.3097, 0.08394, 0.2066, 0.1355, 0.5016, 0.1237, 0.3837, 0.2771, 0.1918]"
10,TOP2A,ENSG00000131747.14,Liver,70-79,male,"[0.1064, 0.07662, 0.2615]"
11,TOP2A,ENSG00000131747.14,Liver,70-79,female,"[0.1759, 0.2148, 0.1064]"
