,gene,gencodeId,tissue,age,gender,TPMs
0,TP53,ENSG00000141510.16,Adipose_Subcutaneous,20-29,male,"[20.7, 11.06, 20.02, 26.61, 21.87, 19.81, 42.62, 18.35, 20.2, 16.31, 25.98, 11.67, 25.98, 26.61, 13.89, 16.31, 16.64, 20.31, 21.87, 28.22, 11.87, 20.42, 17.12, 19.24, 19.81, 10.79, 21.84, 15.9, 17.12, 19.8, 39.89, 41.35, 16.91, 15.26, 18.28, 23.39, 21.72, 24.46, 24.75, 18.42, 14.57, 14.57]"
1,TP53,ENSG00000141510.16,Adipose_Subcutaneous,20-29,female,"[15.47, 21.87, 33.41, 15.9, 21.89, 19.85, 15.47, 14.81, 14.81, 21.86, 14.64, 16.31, 12.71, 13.63, 21.86, 8.866, 29.61, 20.74, 25.74, 23.22, 27.67, 26.61, 14.57, 14.57, 26.66]"
2,TP53,ENSG00000141510.16,Adipose_Subcutaneous,30-39,male,"[14.47, 12.98, 17.35, 28.38, 16.09, 20.34, 17.67, 17.72, 19.81, 18.49, 23.79, 23.57, 37.79, 14.18, 20.47, 21.17, 21.17, 25.01, 21.36, 17.19, 22.13, 17.35, 16.38, 36.55, 40.81, 23.57, 13.73, 19.32, 27.52, 15.37, 20.44, 19.81, 18.44, 18.68, 21.63, 14.63, 11.04, 8.585, 9.797, 18.06, 32.91, 27.37, 27.11, 26.36, 30.51, 8.112, 15.05, 32.46, 20.47, 16.94, 26.31]"
3,TP53,ENSG00000141510.16,Adipose_Subcutaneous,30-39,female,"[22.13, 14.47, 20.41, 20.88, 20.66, 23.59, 21.17, 21.17, 14.73, 14.87, 14.16, 16.02, 15.6, 23.2, 20.34, 20.41, 17.67, 20.66, 20.88, 21.36, 12.43]"
4,TP53,ENSG00000141510.16,Adipose_Subcutaneous,40-49,male,"[24.86, 29.72, 20.34, 26.62, 26.61, 23.04, 28.65, 23.03, 32.74, 23.4, 24.04, 21.37, 21.37, 22.46, 29.98, 13.97, 19.72, 23.63, 23.63, 19.67, 22.59, 16.31, 16.31, 19.67, 15.48, 21.2, 26.61, 23.6, 23.6, 25.83, 23.52, 21.37, 21.37, 16.31, 16.31, 13.0, 20.92, 22.59, 32.84, 21.37, 21.37, 26.22, 18.55, 22.14, 16.39, 20.39, 17.12, 26.22, 24.55, 15.93, 9.111, 21.39, 17.12, 23.69, 16.39, 26.14, 21.85, 48.18, 25.59, 22.91, 30.28, 23.38, 22.64, 23.61, 27.38, 27.61, 28.5, 11.52, 24.67, 25.51, 22.22, 18.11, 19.52, 23.04, 28.07, 23.92, 25.15, 24.55, 12.89, 24.43, 28.71, 25.83, 18.11, 28.79, 21.41, 24.0, 19.19, 24.1, 32.16, 23.03]"
5,TP53,ENSG00000141510.16,Adipose_Subcutaneous,40-49,female,"[19.28, 27.63, 24.82, 23.38, 26.64, 29.57, 22.46, 23.61, 13.84, 25.68, 34.67, 15.73, 21.58, 24.2, 25.15, 19.08, 22.59, 24.1, 33.06, 32.68, 23.6, 23.6, 19.28, 33.59, 17.05, 16.31, 16.31, 16.16, 20.34, 11.32, 21.27, 35.33, 19.28, 24.03, 29.44, 29.57, 14.59, 29.79, 26.27, 23.23, 23.63, 23.63, 21.58, 23.03, 22.14, 35.9, 22.71, 26.61, 11.41, 27.33, 21.2]"
6,TP53,ENSG00000141510.16,Adipose_Subcutaneous,50-59,male,"[26.72, 26.72, 14.47, 37.87, 27.99, 19.92, 27.79, 21.59, 23.11, 17.67, 21.44, 25.85, 25.85, 20.68, 20.68, 19.43, 40.23, 17.53, 20.54, 44.28, 31.25, 13.86, 20.68, 20.68, 31.24, 22.74, 27.43, 26.71, 23.31, 21.83, 21.05, 26.28, 25.85, 25.85, 23.78, 26.09, 23.66, 34.07, 26.44, 20.3, 24.98, 19.45, 24.47, 22.92, 22.92, 12.23, 22.19, 28.47, 15.77, 22.59, 19.55, 22.24, 24.94, 28.19, 28.76, 31.68, 17.27, 27.28, 15.49, 17.33, 18.33, 25.62, 30.42, 33.84, 26.83, 16.27, 18.88, 23.3, 27.79, 14.41, 22.75, 28.17, 23.93, 23.93, 13.87, 23.93, 23.93, 28.1, 17.71, 26.53, 26.53, 26.53, 26.53, 22.13, 23.97, 22.74, 22.59, 21.94, 35.71, 19.15, 42.15, 13.92, 30.34, 18.94, 24.44, 26.22, 35.89, 25.08, 28.1, 22.62, 22.62, 23.46, 12.21, 16.39, 32.25, 15.31, 24.85, 18.34, 19.37, 22.19, 23.16, 23.84, 31.71, 26.22, 27.27, 22.36, 23.91, 25.45, 21.38, 25.78, 16.39, 21.59, 21.51, 26.76, 23.33, 39.84, 29.3, 18.9, 18.9, 17.09, 27.96, 33.17, 33.48, 23.38, 21.01, 23.61, 35.83, 25.9, 25.49, 22.95, 29.22, 27.8, 21.88, 21.88, 28.98, 23.27, 17.54, 23.84, 19.39, 16.89, 26.13, 20.89, 15.96, 20.98, 20.98, 14.02, 27.68, 15.42, 27.02, 25.15, 30.25, 27.13, 24.7, 11.14, 22.41, 22.41, 22.61, 28.95, 24.1, 23.33, 30.58, 20.16, 25.43, 22.95]"
7,TP53,ENSG00000141510.16,Adipose_Subcutaneous,50-59,female,"[12.23, 19.28, 22.98, 22.13, 21.44, 20.19, 23.38, 18.57, 26.15, 23.93, 23.93, 20.98, 20.98, 14.47, 29.51, 15.11, 19.62, 29.57, 20.41, 19.64, 33.24, 23.61, 23.41, 15.53, 31.34, 30.42, 20.66, 33.58, 19.87, 26.48, 31.4, 22.53, 22.92, 22.92, 29.42, 25.15, 26.82, 22.59, 24.1, 19.21, 11.91, 20.49, 21.88, 21.88, 19.01, 13.22, 14.89, 19.28, 21.86, 11.63, 29.78, 10.18, 24.33, 25.18, 29.08, 21.86, 22.62, 22.62, 23.7, 22.19, 27.06, 26.41, 21.82, 28.85, 19.28, 20.41, 17.67, 19.01, 29.57, 18.9, 18.9, 13.86, 21.31, 20.66, 26.48, 23.54, 19.05, 17.41, 18.79, 17.98, 26.03, 30.57, 21.23, 26.95, 15.81, 25.33, 26.75, 22.41, 22.41, 22.28, 14.32, 16.4, 20.62, 14.96]"
8,TP53,ENSG00000141510.16,Adipose_Subcutaneous,60-69,male,"[26.72, 31.0, 22.23, 22.23, 15.46, 26.72, 25.09, 33.34, 20.93, 17.35, 26.97, 22.29, 21.59, 22.86, 19.73, 31.13, 15.13, 26.61, 20.24, 21.44, 32.4, 21.87, 21.87, 23.85, 20.82, 21.42, 28.91, 17.45, 17.45, 23.04, 35.73, 30.22, 29.18, 25.94, 23.03, 18.61, 21.18, 16.33, 20.17, 13.86, 22.74, 28.97, 21.0, 20.08, 18.87, 15.22, 34.79, 12.92, 12.92, 21.37, 22.46, 24.45, 19.0, 16.43, 10.41, 23.07, 12.23, 22.19, 22.19, 19.67, 24.23, 24.23, 56.38, 22.59, 18.53, 12.36, 20.47, 15.22, 19.67, 25.98, 24.48, 22.23, 22.23, 36.32, 21.36, 22.72, 24.64, 26.68, 30.42, 25.98, 32.72, 21.2, 23.71, 23.72, 30.59, 26.61, 30.36, 22.81, 34.13, 23.12, 23.12, 21.55, 23.93, 23.93, 17.92, 25.83, 28.55, 28.1, 32.6, 22.51, 21.37, 18.8, 27.22, 24.61, 18.52, 23.62, 17.35, 31.66, 22.74, 22.59, 17.49, 37.95, 24.15, 17.45, 17.45, 28.82, 27.34, 18.24, 24.39, 15.38, 29.63, 21.37, 22.4, 28.56, 32.3, 15.98, 21.87, 21.87, 21.07, 20.79, 15.76, 27.14, 31.37, 22.42, 21.91, 22.14, 28.1, 35.38, 17.56, 20.13, 22.19, 22.19, 28.67, 34.6, 23.84, 20.84, 17.08, 18.16, 24.55, 22.18, 15.9, 24.92, 27.82, 21.59, 21.35, 23.33, 35.77, 19.83, 19.83, 36.89, 34.23, 23.12, 23.12, 25.6, 22.95, 22.15, 15.56, 17.96, 19.49, 19.76, 27.25, 23.84, 27.03, 18.11, 20.47, 23.04, 19.25, 15.16, 24.55, 20.71, 27.73, 22.54, 25.83, 20.83, 19.7, 34.06, 19.86, 18.11, 23.33, 20.11, 22.95, 23.03]"
9,TP53,ENSG00000141510.16,Adipose_Subcutaneous,60-69,female,"[19.23, 12.23, 19.28, 15.06, 15.47, 24.79, 21.44, 21.87, 21.87, 16.82, 24.37, 21.5, 25.07, 14.04, 24.23, 24.23, 23.93, 18.24, 20.0, 14.12, 30.85, 19.83, 19.83, 22.46, 15.9, 28.87, 26.4, 24.73, 26.19, 17.01, 20.61, 30.42, 20.88, 15.47, 19.5, 14.81, 26.48, 37.11, 22.59, 17.76, 30.43, 29.74, 36.57, 14.85, 26.57, 18.13, 19.01, 11.29, 28.52, 19.28, 18.63, 14.81, 15.04, 24.8, 31.23, 17.18, 7.701, 38.9, 32.61, 22.19, 22.19, 23.18, 18.76, 24.4, 19.35, 19.28, 19.97, 19.01, 21.43, 13.86, 29.66, 26.48, 15.57, 33.61, 20.88, 21.36, 23.03, 32.43, 17.06, 22.14, 26.61, 15.75, 20.78, 11.19, 12.92, 12.92, 21.2]"
