,gene,gencodeId,tissue,age,gender,TPMs
0,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,20-29,male,"[5.289, 7.565, 10.81, 4.217, 8.993, 4.493, 6.097, 6.265, 4.358, 6.546, 4.202, 4.359]"
1,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,20-29,female,"[8.407, 5.731, 6.793, 4.064, 5.422, 6.833, 9.328, 7.71, 1.766, 9.973]"
2,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,30-39,male,"[5.948, 4.772, 4.754, 5.943, 3.806, 8.483, 6.921, 4.914, 1.593, 4.28, 4.914, 0.8824, 5.904, 2.201, 5.96, 12.3, 1.969, 1.029]"
3,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,30-39,female,"[1.593, 6.092, 4.299, 10.32, 5.561, 4.562, 6.606, 4.472, 6.828, 7.734]"
4,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,40-49,male,"[2.832, 2.021, 5.53, 7.432, 5.417, 0.5881, 18.56, 0.7894, 3.66, 3.037, 8.058, 2.334, 2.431, 7.277, 1.569, 5.785, 7.521, 7.789, 13.17, 0.641, 2.616, 1.948, 19.16, 3.448, 3.94, 4.709, 8.185, 3.617, 2.784, 8.458, 5.258, 4.798, 8.252, 5.511, 5.795, 6.225, 4.594, 4.95, 5.797, 3.919, 3.984, 5.451, 7.636, 1.086]"
5,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,40-49,female,"[9.17, 8.234, 10.92, 5.494, 0.844, 12.89, 6.48, 1.086, 8.71, 6.013, 5.626, 3.956, 5.116, 10.42, 8.149, 4.197, 4.083, 12.46, 7.671, 4.573, 1.328, 5.709, 9.084]"
6,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,50-59,male,"[2.676, 4.648, 4.648, 6.289, 5.799, 3.682, 4.322, 6.139, 1.292, 7.575, 0.8357, 5.909, 4.757, 1.608, 4.88, 2.762, 2.715, 2.845, 0.7711, 0.7983, 1.861, 8.799, 1.052, 4.52, 1.799, 7.175, 2.629, 3.322, 8.311, 1.849, 13.4, 11.52, 1.251, 11.27, 3.423, 8.33, 7.001, 2.424, 3.835, 1.537, 5.158, 3.68, 0.9838, 5.662, 5.092, 4.405, 12.94, 6.935, 1.009, 0.731, 8.586, 0.652, 4.402, 1.544, 4.453, 5.205, 9.954, 1.211, 1.501, 7.025, 1.312, 3.017, 6.089, 6.236, 8.214, 0.84, 6.77, 6.77, 5.958, 4.939, 4.314, 2.978, 6.867, 4.175, 5.566, 4.435, 6.551, 10.78, 4.234, 8.326, 10.16, 1.364, 5.188, 3.859, 7.625, 5.612, 3.658, 6.318, 12.61, 0.8387, 3.717, 8.418, 5.294, 0.7261, 0.9933, 6.77, 6.77, 3.213, 3.996, 5.669, 3.391, 4.805, 12.06, 7.638, 5.822, 8.616, 6.456, 7.249, 6.257, 2.511]"
7,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,50-59,female,"[10.82, 2.48, 7.301, 3.012, 14.46, 9.981, 5.002, 6.103, 5.838, 4.834, 6.561, 5.142, 11.04, 0.2674, 0.4084, 15.8, 3.102, 6.594, 2.42, 11.42, 8.597, 7.192, 5.211, 10.72, 5.715, 4.648, 4.648, 9.472, 6.021, 6.563, 4.192, 8.669, 12.85, 4.774, 8.1, 10.37, 5.167, 1.084, 2.692, 6.693, 2.923, 4.961, 6.135, 5.103, 7.134, 0.6459, 4.991, 6.722]"
8,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,60-69,male,"[5.708, 4.471, 1.144, 2.764, 0.7764, 4.586, 3.194, 4.036, 7.498, 1.676, 2.714, 6.315, 5.866, 7.563, 0.6548, 1.348, 1.966, 1.092, 2.683, 6.241, 5.485, 1.015, 1.511, 2.078, 3.596, 0.6009, 1.98, 1.561, 1.576, 0.5164, 0.6861, 8.264, 0.5655, 10.87, 0.4506, 4.914, 12.17, 16.33, 3.122, 7.506, 5.003, 0.9955, 11.41, 1.254, 4.201, 2.557, 3.433, 4.317, 7.2, 4.022, 5.779, 1.15, 0.877, 7.551, 6.635, 2.646, 2.936, 3.581, 2.478, 2.058, 5.603, 6.08, 2.608, 1.295, 13.34, 1.593, 1.749, 4.978, 2.088, 1.171, 6.765, 2.084, 1.039, 7.572, 2.1, 2.938, 8.513, 4.487, 0.3589, 6.831, 5.798, 5.41, 3.749, 1.52, 0.7403, 4.098, 6.533, 3.507, 4.291, 4.291, 8.711, 4.416, 4.914, 6.369, 5.586, 5.107, 16.24, 5.571, 3.883, 4.117, 5.209, 6.969, 4.82, 4.184, 4.365, 3.478, 1.842]"
9,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,60-69,female,"[6.569, 5.221, 2.66, 1.593, 7.007, 1.193, 4.858, 6.185, 1.913, 3.953, 12.54, 2.637, 5.768, 2.225, 3.03, 5.356, 3.592, 4.795, 12.49, 6.485, 1.505, 0.8956, 1.202, 3.603, 2.398, 1.872, 1.124, 6.276, 9.109, 9.302, 1.037, 1.949, 7.833, 4.761, 1.647, 4.291, 4.291, 3.747, 1.625, 1.384, 1.847, 2.72, 3.585, 3.477, 4.551, 8.59, 4.715]"
10,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,70-79,male,"[1.954, 0.5555, 0.8201, 6.571, 3.684, 1.873, 0.7402, 8.485, 1.962, 9.406, 1.086]"
11,TP53BP1,ENSG00000067369.13,Heart_Left_Ventricle,70-79,female,"[9.426, 1.657, 1.086, 2.382]"
