,gene,gencodeId,tissue,age,gender,TPMs
0,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,20-29,male,"[18.25, 58.41, 32.65, 17.34, 65.24, 10.55, 24.88, 10.25, 10.82, 28.39]"
1,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,20-29,female,"[30.37, 11.05, 32.62, 33.31, 14.12]"
2,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,30-39,male,"[6.222, 38.22, 29.99, 23.35, 11.43, 83.75, 47.16, 25.58, 22.99, 26.97, 26.97, 39.68]"
3,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,30-39,female,"[8.53, 30.69, 25.58, 13.01, 18.7, 10.93, 35.59, 5.728]"
4,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,40-49,male,"[26.01, 25.59, 29.77, 11.46, 14.92, 52.68, 70.94, 14.92, 5.589, 19.42, 29.73, 21.69, 6.968, 41.26, 42.33, 13.75, 7.409, 28.43, 24.53, 25.85, 44.81, 16.88, 29.08, 25.6, 106.3, 42.64, 5.898, 28.5, 16.42, 26.97, 24.84, 23.03, 28.95, 23.03, 16.89, 31.95, 24.53, 23.28, 26.97, 73.16, 27.37, 50.22, 24.65]"
5,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,40-49,female,"[7.422, 22.71, 23.25, 23.25, 15.93, 11.9, 26.64, 22.25, 27.63, 6.62, 4.432, 24.47, 5.037, 14.82, 12.59, 14.67, 7.613, 10.4, 14.67, 13.91, 14.01, 26.99, 26.71, 27.63, 17.85, 31.35, 28.43]"
6,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,50-59,male,"[4.657, 35.23, 24.11, 40.85, 33.15, 125.7, 7.424, 40.85, 44.93, 9.42, 18.47, 39.59, 7.67, 78.28, 14.92, 28.17, 40.67, 36.36, 20.08, 69.11, 23.33, 61.93, 36.8, 9.848, 66.31, 52.33, 21.12, 41.37, 14.92, 29.56, 21.76, 23.95, 9.756, 13.57, 61.47, 14.74, 22.9, 19.02, 213.9, 78.91, 52.7, 40.18, 26.5, 29.89, 27.9, 31.36, 21.86, 41.27, 24.53, 26.38, 47.92, 30.62, 33.68, 46.22, 19.17, 44.33, 11.99, 91.72, 49.23, 22.58, 14.07, 12.01, 10.26, 25.09, 39.59, 35.05, 25.58, 22.44, 31.54, 25.27, 33.85, 40.0, 3.077, 3.152, 28.48, 53.7, 53.7, 21.05, 27.94, 7.079, 12.28, 17.44, 42.18, 12.1, 18.11, 13.1, 13.1, 27.61, 25.42, 25.42, 20.93, 20.87, 23.88, 44.67, 22.4, 19.34, 22.13, 24.53, 62.7, 93.66, 15.59, 23.81, 158.6, 13.27, 5.894, 23.99, 11.63, 28.86, 39.01, 11.73, 27.8, 70.85, 13.64, 42.09, 47.39, 33.85, 9.67, 5.476]"
7,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,50-59,female,"[15.82, 43.78, 25.42, 25.42, 22.96, 26.69, 25.58, 23.25, 17.33, 23.25, 32.27, 53.7, 53.7, 16.06, 42.14, 50.41, 37.61, 25.92, 44.33, 22.44, 24.1, 11.95, 26.52, 13.52, 11.32, 16.39, 26.45, 33.42, 12.89, 13.27, 22.96, 39.17, 14.67, 23.33, 26.44, 8.195, 9.135, 10.68, 58.26, 12.91, 14.67, 16.06, 28.01, 10.23, 16.69, 69.91, 20.83, 15.9, 20.95, 16.99, 7.723, 10.07, 81.58, 13.1, 13.1, 32.73]"
8,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,60-69,male,"[42.79, 24.18, 32.83, 14.88, 42.15, 45.76, 40.85, 38.06, 34.57, 23.24, 39.42, 16.61, 14.21, 18.31, 16.85, 40.85, 9.81, 48.87, 39.59, 8.73, 57.34, 14.2, 15.55, 86.34, 38.85, 60.25, 12.85, 30.9, 30.9, 16.28, 12.02, 27.16, 22.86, 36.68, 31.07, 16.09, 23.33, 24.45, 30.73, 31.16, 24.56, 17.4, 43.68, 31.13, 13.68, 37.36, 4.604, 24.0, 33.13, 47.15, 56.88, 14.41, 67.98, 39.49, 22.17, 34.09, 9.14, 21.55, 13.22, 13.22, 34.18, 28.43, 63.96, 22.77, 13.22, 13.22, 124.1, 26.57, 26.57, 50.56, 54.94, 16.58, 13.83, 16.41, 16.41, 34.35, 25.53, 19.13, 30.9, 30.9, 44.33, 10.7, 77.25, 37.45, 47.01, 28.24, 21.47, 29.46, 12.9, 39.59, 27.96, 22.44, 22.72, 40.79, 22.85, 55.06, 63.98, 51.77, 52.91, 16.9, 39.9, 45.61, 33.85, 53.22, 19.05, 27.23, 10.46, 44.24, 39.35, 28.68, 19.39, 29.31, 17.84, 23.03, 9.989, 23.03, 15.17, 74.26, 63.59, 40.22, 13.27, 33.23, 34.7, 23.57, 26.89, 20.19, 33.85]"
9,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,60-69,female,"[33.11, 39.72, 25.51, 12.18, 58.36, 10.54, 16.63, 28.74, 22.96, 16.41, 16.41, 23.37, 38.05, 8.243, 13.06, 34.25, 16.06, 35.37, 8.875, 17.9, 19.35, 27.25, 25.32, 19.13, 13.37, 27.63, 25.71, 44.33, 68.91, 22.44, 15.77, 21.06, 13.27, 26.57, 26.57, 22.96, 38.65, 23.33, 23.01, 21.59, 17.83, 9.06, 11.62, 40.9, 16.06, 12.46, 5.264, 28.9, 20.88, 12.19, 27.63, 15.19, 6.192, 28.43, 17.0, 41.23, 6.239]"
10,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,70-79,male,"[15.95, 12.5, 20.22, 41.63, 19.08, 16.07, 47.73, 19.13, 8.429, 40.63, 54.97, 20.36, 30.54]"
11,UCHL1,ENSG00000154277.12,Heart_Atrial_Appendage,70-79,female,"[19.13, 31.77, 13.6, 19.52, 43.79]"
