,gene,gencodeId,tissue,age,gender,TPMs
0,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,20-29,male,"[0.8512, 1.213, 4.18, 1.642, 5.75]"
1,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,20-29,female,"[1.363, 1.21, 1.452]"
2,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,30-39,male,"[1.499, 1.42, 0.6021]"
3,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,30-39,female,"[2.048, 3.014]"
4,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,40-49,male,"[2.981, 2.494, 1.48, 1.735, 1.64, 1.523, 1.171, 0.9116, 1.735, 6.13, 1.523, 1.479, 2.111, 2.026]"
5,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,40-49,female,"[1.312, 1.282, 4.858, 1.171, 2.116, 2.155, 2.635]"
6,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,50-59,male,"[1.831, 5.192, 2.022, 1.054, 1.012, 1.207, 0.9091, 1.577, 1.446, 2.329, 1.648, 0.9526, 1.403, 1.098, 1.098, 1.244, 1.446, 1.34, 1.908, 1.462, 1.226, 1.46, 2.174, 1.225, 8.532, 2.731, 4.476, 1.373, 1.174, 1.027, 1.098, 1.098, 1.575, 1.067, 1.369, 1.095, 1.441, 0.5208, 5.019, 1.86, 1.923, 1.151, 1.171, 1.464, 1.234, 5.182, 1.423, 3.372, 1.175, 2.35, 1.096, 1.231, 19.57, 1.008]"
7,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,50-59,female,"[1.663, 0.5078, 13.2, 1.364, 0.7274, 1.429, 1.364, 2.099, 1.171, 5.393, 3.723, 0.6314, 1.151, 0.9758, 1.57, 2.83, 1.647]"
8,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,60-69,male,"[1.861, 2.626, 2.907, 0.503, 0.9051, 1.632, 1.247, 2.16, 1.624, 1.742, 1.545, 0.895, 1.268, 2.5, 3.124, 1.209, 2.358, 3.128, 0.8422, 3.264, 1.351, 1.946, 4.717, 1.62, 3.346, 2.169, 1.754, 1.838, 1.838, 3.84, 1.89, 2.005, 2.758, 2.093, 1.413, 1.346, 1.255, 1.401, 2.747, 1.945, 1.553, 3.728, 3.199, 2.488, 3.058, 2.335, 1.735, 2.763, 2.553, 0.8523, 1.572, 4.427, 1.523, 1.681, 2.739, 3.112, 2.232, 2.513, 1.151, 3.73, 0.94, 4.166, 1.415, 2.865, 2.147, 0.831, 1.876, 1.735, 1.465, 0.9499, 1.523, 1.883, 2.233, 2.338, 1.083, 1.296, 1.019, 1.63, 1.036, 0.4963]"
9,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,60-69,female,"[0.5218, 1.838, 1.838, 2.012, 1.671, 1.549, 2.25, 1.548, 1.364, 1.769, 1.149, 4.464, 1.087, 1.126, 2.85, 2.158, 1.364, 1.216, 2.118, 0.65, 1.151, 0.8171, 1.389, 5.164, 4.37, 7.161, 5.106, 2.123, 2.285, 2.966, 1.164, 1.583]"
10,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,70-79,male,"[1.601, 1.446, 1.983, 1.446, 5.396, 1.163, 0.9368, 9.136, 4.745, 1.325, 1.708, 1.696]"
11,UCP2,ENSG00000175567.8,Brain_Cerebellar_Hemisphere,70-79,female,"[21.52, 2.182]"
