,gene,gencodeId,tissue,age,gender,TPMs
0,UCP2,ENSG00000175567.8,Kidney_Cortex,20-29,male,[7.667]
1,UCP2,ENSG00000175567.8,Kidney_Cortex,20-29,female,[]
2,UCP2,ENSG00000175567.8,Kidney_Cortex,30-39,male,"[41.38, 26.34, 17.27, 25.88, 9.06, 47.34]"
3,UCP2,ENSG00000175567.8,Kidney_Cortex,30-39,female,"[77.14, 13.65]"
4,UCP2,ENSG00000175567.8,Kidney_Cortex,40-49,male,"[11.26, 14.74, 3.466, 7.851, 8.713, 59.65]"
5,UCP2,ENSG00000175567.8,Kidney_Cortex,40-49,female,"[8.055, 4.404]"
6,UCP2,ENSG00000175567.8,Kidney_Cortex,50-59,male,"[33.44, 14.07, 5.673, 36.57, 10.42, 66.87, 6.498, 15.69, 8.001, 14.29, 12.73, 9.445, 3.605, 8.534, 12.35, 15.35, 16.0, 61.79, 19.07, 59.74, 5.529, 16.03, 47.98]"
7,UCP2,ENSG00000175567.8,Kidney_Cortex,50-59,female,"[21.99, 11.71, 12.16, 7.053, 12.83, 26.55]"
8,UCP2,ENSG00000175567.8,Kidney_Cortex,60-69,male,"[12.41, 11.29, 30.28, 17.66, 35.27, 18.76, 8.268, 6.768, 66.79, 16.45, 13.62, 12.01, 5.111, 8.78, 6.415, 11.8, 4.07, 19.98, 51.94, 6.203, 9.847, 22.34, 1.79, 8.106, 11.44, 43.75]"
9,UCP2,ENSG00000175567.8,Kidney_Cortex,60-69,female,"[45.0, 58.82, 6.45, 29.86, 71.3, 30.59, 5.937, 12.27, 71.48]"
10,UCP2,ENSG00000175567.8,Kidney_Cortex,70-79,male,"[16.81, 9.295, 20.74, 21.64]"
11,UCP2,ENSG00000175567.8,Kidney_Cortex,70-79,female,[]
