,gene,gencodeId,tissue,age,gender,TPMs
0,UCP3,ENSG00000175564.12,Brain_Cerebellum,20-29,male,"[5.745, 7.375, 5.921, 5.931, 6.188]"
1,UCP3,ENSG00000175564.12,Brain_Cerebellum,20-29,female,"[7.288, 6.238]"
2,UCP3,ENSG00000175564.12,Brain_Cerebellum,30-39,male,"[7.317, 5.87, 6.379, 8.064, 7.34, 5.247]"
3,UCP3,ENSG00000175564.12,Brain_Cerebellum,30-39,female,"[7.144, 8.027, 11.47]"
4,UCP3,ENSG00000175564.12,Brain_Cerebellum,40-49,male,"[6.177, 7.287, 5.841, 7.12, 5.125, 7.599, 6.425, 3.356, 5.567, 7.177, 11.05, 8.156, 6.267, 6.264, 4.434, 6.602]"
5,UCP3,ENSG00000175564.12,Brain_Cerebellum,40-49,female,"[7.283, 5.719, 4.355, 4.409, 5.861, 9.287, 5.841, 7.731]"
6,UCP3,ENSG00000175564.12,Brain_Cerebellum,50-59,male,"[7.243, 7.373, 6.29, 7.644, 6.763, 10.98, 6.214, 5.582, 5.773, 6.658, 5.841, 8.41, 6.884, 7.689, 6.423, 9.491, 6.834, 6.788, 6.125, 7.267, 4.998, 6.666, 5.999, 6.182, 6.408, 6.841, 4.792, 7.409, 7.686, 6.612, 6.612, 6.784, 7.824, 5.537, 7.558, 6.408, 5.789, 7.759, 7.257, 3.517, 2.786, 4.563, 3.878, 7.622, 6.612, 6.612, 5.608, 7.257, 5.162, 7.762, 6.617, 4.124, 7.409, 7.018, 7.067, 6.708, 5.868, 7.374, 5.425, 7.561, 7.896, 7.194, 7.367, 4.718, 5.399]"
7,UCP3,ENSG00000175564.12,Brain_Cerebellum,50-59,female,"[6.008, 6.076, 9.697, 11.09, 5.11, 6.301, 6.359, 6.155, 4.202, 3.898, 6.465, 5.841, 4.126, 11.13, 13.44, 8.063, 6.708]"
8,UCP3,ENSG00000175564.12,Brain_Cerebellum,60-69,male,"[6.077, 5.873, 7.266, 8.939, 4.918, 6.282, 7.635, 5.327, 6.419, 7.416, 8.087, 7.512, 5.302, 5.543, 5.744, 7.806, 6.751, 4.968, 5.663, 8.257, 6.811, 5.455, 4.073, 5.723, 5.596, 8.392, 6.408, 5.823, 4.475, 5.326, 7.409, 2.192, 10.59, 1.594, 3.641, 5.483, 7.3, 8.762, 6.408, 5.37, 6.328, 9.76, 7.257, 4.701, 4.701, 7.763, 7.763, 1.815, 6.733, 6.946, 7.2, 6.401, 4.109, 6.83, 4.542, 8.493, 6.024, 6.501, 5.673, 5.291, 7.257, 7.704, 7.856, 6.63, 8.578, 6.33, 3.574, 6.451, 7.763, 7.763, 7.409, 4.505, 7.974, 2.523, 4.957, 6.975, 6.708, 7.345, 10.75, 5.392, 8.892, 7.402, 6.031, 7.407, 5.577]"
9,UCP3,ENSG00000175564.12,Brain_Cerebellum,60-69,female,"[8.296, 6.087, 7.007, 4.144, 4.701, 4.701, 3.815, 7.261, 6.325, 5.066, 7.914, 6.644, 5.12, 5.281, 6.848, 4.934, 5.769, 5.064, 5.846, 6.803, 5.173, 6.736, 3.416, 5.602, 8.167, 4.155, 6.96, 7.403, 4.285, 4.402, 3.86, 5.778, 6.92, 6.577, 6.277, 5.955, 6.445, 6.708]"
10,UCP3,ENSG00000175564.12,Brain_Cerebellum,70-79,male,"[8.786, 6.809, 6.719, 3.598, 8.457, 6.969, 7.181, 7.275, 3.94, 6.063]"
11,UCP3,ENSG00000175564.12,Brain_Cerebellum,70-79,female,"[7.109, 4.443]"
