,gene,gencodeId,tissue,age,gender,TPMs
0,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[55.79]
1,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[62.13, 35.84, 92.71]"
2,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[66.37, 87.62, 98.59]"
3,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[55.61]
4,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[56.26, 42.15, 15.94, 44.81, 40.34, 53.78, 18.44, 73.1, 58.36, 13.39, 79.8, 34.24, 82.78, 73.1, 96.71, 120.7, 108.5, 59.77]"
5,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[31.3, 54.47, 56.66, 27.76, 64.11, 107.7, 126.3]"
6,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[72.37, 40.1, 59.62, 16.15, 39.7, 97.45, 31.67, 41.2, 59.74, 52.96, 29.04, 34.82, 70.19, 66.87, 47.61, 34.4, 31.25, 99.39, 32.87, 99.54, 84.66, 51.13, 47.77, 37.03, 31.82, 62.05, 56.16, 28.45, 69.96, 100.2, 114.3, 64.53]"
7,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[13.13, 64.36, 65.47, 81.47, 46.03, 76.64, 75.3, 68.14, 85.31]"
8,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[93.67, 19.76, 57.68, 42.29, 29.68, 52.17, 49.73, 45.78, 60.04, 30.57, 107.3, 73.35, 61.54, 48.7, 65.6, 55.73, 31.39, 18.4, 65.17, 50.85, 102.3, 26.17, 27.01, 43.75, 83.66, 73.31, 62.61, 61.39, 36.43, 17.93, 77.36, 22.02, 40.25, 46.47, 87.32, 73.1, 42.39, 72.04, 27.44, 20.15, 41.61, 57.84, 57.15, 31.01, 88.49, 27.3, 47.13, 71.63, 80.37, 31.97, 65.68, 97.3, 42.9, 73.1, 56.18, 55.97, 73.62, 17.8, 117.2, 42.05, 63.65, 53.65, 57.05, 36.02, 28.77, 28.77]"
9,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[28.77, 28.77, 21.81, 25.8, 84.16, 57.51, 17.72, 53.77, 43.76, 116.5, 60.67, 88.09, 36.95, 22.2, 30.92, 75.88, 44.86, 21.52, 43.74, 19.0, 61.99, 85.69, 47.24, 131.4, 106.2, 20.97, 40.75]"
10,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[44.47, 13.98, 89.91, 43.51, 32.6, 21.09, 28.88, 17.48, 38.29, 80.77, 94.26]"
11,VCP,ENSG00000165280.15,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[55.34, 81.04]"
