,gene,gencodeId,tissue,age,gender,TPMs
0,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,20-29,male,"[29.89, 43.99, 64.81]"
1,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,20-29,female,[14.02]
2,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,30-39,male,"[11.18, 45.85, 10.88]"
3,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,30-39,female,"[39.66, 26.83]"
4,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,40-49,male,"[17.09, 26.77, 14.33, 3.232, 14.33, 41.5, 65.7, 38.66, 63.38, 21.17, 17.64, 8.858, 22.25]"
5,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,40-49,female,"[13.64, 29.39, 14.33, 22.76, 24.9]"
6,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,50-59,male,"[24.45, 44.09, 17.15, 5.898, 11.5, 16.61, 31.07, 33.18, 14.73, 12.55, 21.35, 10.54, 27.49, 19.77, 16.51, 6.455, 22.46, 15.52, 44.93, 13.15, 14.29, 41.47, 12.45, 53.91, 13.79, 14.33, 5.798, 14.33, 25.67, 11.42, 20.23, 20.59, 39.76, 11.33, 5.229, 23.72, 72.66, 51.91, 6.881, 15.89, 16.87, 25.41, 29.08, 76.8, 14.73, 30.37, 9.048]"
7,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,50-59,female,"[20.88, 6.132, 49.63, 35.89, 11.42, 14.1, 14.66, 6.099, 27.86, 18.93, 26.22, 21.03, 8.398, 14.33, 18.57, 33.25, 174.0]"
8,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,60-69,male,"[18.06, 11.06, 3.295, 12.71, 67.59, 17.78, 5.488, 20.87, 3.918, 14.77, 4.063, 9.059, 14.73, 58.66, 23.25, 66.31, 14.76, 47.91, 4.585, 11.7, 17.18, 11.44, 21.02, 2.587, 6.585, 10.92, 35.73, 18.14, 6.117, 11.64, 23.92, 30.32, 9.128, 34.65, 37.13, 10.7, 13.95, 13.95, 13.33, 9.993, 19.42, 14.33, 32.1, 23.81, 6.956, 14.33, 8.025, 11.42, 44.5, 8.929, 16.38, 19.78, 11.09, 23.36, 9.763, 22.42, 21.34, 18.17, 4.099, 8.091, 12.36, 12.36, 26.7, 16.72, 15.56, 18.42, 18.42, 6.961, 25.93, 28.47, 13.95, 13.95, 28.94, 22.67, 14.73, 2.783, 18.36, 34.03, 15.71, 18.34, 16.99, 5.07, 8.717]"
9,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,60-69,female,"[6.223, 34.54, 14.52, 12.85, 7.205, 12.36, 12.36, 22.51, 13.78, 8.406, 24.72, 6.457, 11.42, 12.63, 23.6, 12.81, 18.42, 18.42, 8.056, 19.54, 5.772, 14.33, 8.03, 6.484, 24.38, 12.4, 6.51, 46.34, 12.56, 172.8, 14.9, 10.11]"
10,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,70-79,male,"[20.83, 26.47, 17.76, 50.29, 30.46, 20.55, 42.7, 8.802, 45.04]"
11,VEGFA,ENSG00000112715.21,Brain_Hypothalamus,70-79,female,"[36.21, 40.74, 1.326]"
