,gene,gencodeId,tissue,age,gender,TPMs
0,WRN,ENSG00000165392.9,Artery_Coronary,20-29,male,"[12.07, 8.477, 10.49, 18.66, 7.87, 6.596, 10.23, 9.223, 10.49]"
1,WRN,ENSG00000165392.9,Artery_Coronary,20-29,female,"[10.64, 3.829, 8.496, 6.596, 10.79, 9.112, 8.602]"
2,WRN,ENSG00000165392.9,Artery_Coronary,30-39,male,"[4.383, 10.06, 7.589, 11.65, 9.315, 13.63, 7.702]"
3,WRN,ENSG00000165392.9,Artery_Coronary,30-39,female,"[5.739, 8.303, 13.84, 8.58, 8.718]"
4,WRN,ENSG00000165392.9,Artery_Coronary,40-49,male,"[8.032, 5.281, 10.27, 3.988, 8.319, 8.725, 5.061, 7.054, 6.698, 7.567, 8.572, 6.596, 7.31, 5.715, 4.851, 7.199, 4.097, 8.445, 8.345]"
5,WRN,ENSG00000165392.9,Artery_Coronary,40-49,female,"[7.294, 6.41, 6.957, 8.973, 14.16, 6.04, 6.596, 10.09, 8.822, 8.494, 10.03, 9.678, 15.96, 6.022, 7.79, 6.434, 7.224, 7.468, 15.38]"
6,WRN,ENSG00000165392.9,Artery_Coronary,50-59,male,"[7.844, 8.686, 10.21, 5.967, 6.541, 8.587, 6.564, 8.805, 7.044, 8.736, 7.968, 7.731, 4.585, 7.864, 7.498, 8.683, 7.156, 8.891, 9.514, 9.934, 12.9, 7.466, 6.659, 13.79, 7.484, 8.333, 8.792, 8.344, 11.85, 8.184, 13.72, 15.15, 8.46, 8.867, 6.915, 11.13, 9.698, 7.686, 12.19, 7.169, 11.33, 10.49, 8.714, 7.696, 6.309, 6.92, 9.123, 9.943, 4.559, 5.796, 8.16, 8.016, 6.557, 9.263, 6.823, 6.387, 8.156, 5.6, 9.902, 6.646, 1.465, 10.49, 8.664, 8.961, 4.443, 7.393]"
7,WRN,ENSG00000165392.9,Artery_Coronary,50-59,female,"[7.772, 6.888, 5.376, 6.365, 8.042, 8.356, 7.913, 5.493, 7.357, 7.44, 17.45, 11.73, 9.455, 9.141, 6.951, 7.67, 10.81, 13.03, 9.299, 8.018, 9.218, 10.32, 8.979, 8.139, 9.807, 10.02, 5.15, 8.742, 7.751, 6.593]"
8,WRN,ENSG00000165392.9,Artery_Coronary,60-69,male,"[6.713, 11.38, 4.939, 5.737, 8.842, 8.197, 6.796, 9.612, 7.581, 6.728, 5.034, 9.069, 8.55, 6.906, 9.061, 9.061, 14.21, 6.403, 7.483, 11.53, 6.232, 8.102, 12.57, 7.545, 4.949, 9.645, 11.64, 9.733, 10.62, 9.061, 9.061, 10.14, 8.388, 6.473, 7.174, 6.995, 8.794, 8.35, 5.02, 6.766, 5.851, 6.819, 6.912, 8.487, 7.64]"
9,WRN,ENSG00000165392.9,Artery_Coronary,60-69,female,"[9.735, 11.2, 11.19, 8.126, 6.926, 9.407, 3.918, 14.17, 9.916, 7.854, 9.107, 10.54, 8.66, 9.811, 7.433, 10.96, 7.181, 5.266, 14.41, 10.34, 9.801, 9.579, 9.535, 8.117, 7.487, 11.25, 10.75, 8.738, 7.564, 9.273, 6.033, 7.214, 6.592]"
10,WRN,ENSG00000165392.9,Artery_Coronary,70-79,male,"[9.091, 5.131, 4.308, 11.5, 6.807]"
11,WRN,ENSG00000165392.9,Artery_Coronary,70-79,female,[8.05]
