,gene,gencodeId,tissue,age,gender,TPMs
0,XPA,ENSG00000136936.10,Liver,20-29,male,"[7.507, 6.823, 11.4, 9.866]"
1,XPA,ENSG00000136936.10,Liver,20-29,female,"[8.366, 12.17, 9.079]"
2,XPA,ENSG00000136936.10,Liver,30-39,male,"[12.89, 6.818, 10.92, 11.08, 11.14, 8.779, 12.91, 7.936, 4.689, 3.155, 9.52, 11.45, 3.524, 10.04]"
3,XPA,ENSG00000136936.10,Liver,30-39,female,"[12.89, 12.33, 9.407, 12.33, 15.47]"
4,XPA,ENSG00000136936.10,Liver,40-49,male,"[9.476, 9.083, 9.337, 10.66, 8.046, 8.046, 8.152, 10.45, 8.71, 6.744, 12.28, 10.7, 7.919, 10.7, 4.539, 10.7, 6.637, 4.495, 12.34, 7.648, 7.479, 9.017, 13.53, 8.235, 9.244, 10.71, 14.2]"
5,XPA,ENSG00000136936.10,Liver,40-49,female,"[14.86, 10.71, 8.48, 11.64, 9.943, 7.998, 10.67, 9.014, 8.046, 8.046, 11.97, 13.67, 9.007]"
6,XPA,ENSG00000136936.10,Liver,50-59,male,"[12.59, 12.89, 11.62, 9.608, 8.432, 9.026, 7.44, 6.28, 10.6, 8.418, 11.9, 12.41, 6.186, 12.04, 4.424, 7.212, 8.565, 7.369, 5.761, 10.09, 9.298, 4.994, 9.586, 10.12, 5.761, 9.207, 21.16, 8.149, 8.657, 10.58, 7.144, 12.72, 11.17, 4.593, 8.381, 9.765, 8.666, 7.671, 12.72, 7.701, 10.7, 10.87, 8.317, 14.47, 10.7, 9.906, 10.7, 9.303, 8.497, 11.31, 9.111, 8.653, 10.02, 8.592, 8.586, 4.504, 7.805, 10.9, 6.906, 10.39, 5.313, 9.578, 12.51, 12.16, 8.881]"
7,XPA,ENSG00000136936.10,Liver,50-59,female,"[7.75, 12.25, 8.227, 11.81, 9.603, 12.89, 6.991, 13.69, 5.689, 8.352, 9.189, 10.86, 8.908, 10.75, 9.983, 8.859, 14.89, 8.67, 10.43, 11.36, 11.98, 5.563, 10.55]"
8,XPA,ENSG00000136936.10,Liver,60-69,male,"[9.499, 8.571, 9.539, 5.548, 12.95, 9.808, 8.211, 8.7, 4.195, 8.029, 14.08, 8.855, 9.252, 10.23, 8.372, 11.66, 5.761, 5.324, 8.452, 9.638, 7.679, 6.868, 5.761, 9.813, 13.14, 7.837, 10.62, 8.828, 9.145, 9.864, 9.281, 12.72, 6.861, 6.882, 9.144, 9.563, 7.529, 7.191, 5.936, 12.72, 10.59, 9.24, 10.7, 8.621, 7.241, 9.431, 10.7, 9.186, 10.7, 6.802, 5.983, 15.06, 12.11, 7.774, 9.618, 8.188, 18.28, 8.336, 6.661, 11.3, 10.71]"
9,XPA,ENSG00000136936.10,Liver,60-69,female,"[8.059, 7.541, 8.797, 9.081, 8.792, 8.793, 5.644, 10.91, 6.698, 12.33, 10.71, 6.98, 13.03, 11.3, 11.83, 10.99, 12.33, 8.572, 9.26, 7.141, 6.455, 10.21, 10.79, 13.29, 10.93]"
10,XPA,ENSG00000136936.10,Liver,70-79,male,"[11.71, 12.09, 12.53, 11.3]"
11,XPA,ENSG00000136936.10,Liver,70-79,female,"[11.3, 10.97]"
